stage,little,medium,big,vulkan,device,run
1,139.0,67.2581,44.3617,0.8493,9b034f1b,1
2,11.9226,3.8893,2.4913,0.3714,9b034f1b,1
3,362.8333,181.4167,114.5789,0.6481,9b034f1b,1
4,6.6611,1.9297,1.2555,0.2946,9b034f1b,1
5,343.3333,171.6667,103.0,0.5551,9b034f1b,1
6,603.25,402.1667,219.3636,0.9805,9b034f1b,1
7,624.5,416.3333,249.8,1.0134,9b034f1b,1
8,3.4399,0.9547,0.6306,0.2646,9b034f1b,1
9,1.2054,0.7319,0.4656,1.4121,9b034f1b,1
1,141.2,68.3226,46.0435,0.8617,9b034f1b,2
2,13.9236,3.9084,2.4938,0.4042,9b034f1b,2
3,360.6667,180.3333,113.8947,0.5868,9b034f1b,2
4,6.7057,1.9353,1.2563,0.2942,9b034f1b,2
5,377.0,188.5,113.1,0.6696,9b034f1b,2
6,610.75,407.1667,222.0909,0.9919,9b034f1b,2
7,601.75,401.1667,240.7,0.9773,9b034f1b,2
8,3.3818,0.952,0.6329,0.2644,9b034f1b,2
9,1.2068,0.7341,0.4674,1.4158,9b034f1b,2
1,143.2857,66.8667,43.6087,0.8248,9b034f1b,3
2,11.9286,3.8913,2.4925,0.3697,9b034f1b,3
3,349.5,174.75,110.3684,0.5691,9b034f1b,3
4,6.8061,1.9352,1.2569,0.2955,9b034f1b,3
5,357.5,178.75,107.25,0.6346,9b034f1b,3
6,688.6667,344.3333,206.6,0.9026,9b034f1b,3
7,618.5,412.3333,224.9091,1.0077,9b034f1b,3
8,3.4577,0.9611,0.6388,0.2619,9b034f1b,3
9,1.184,0.7311,0.4664,1.4232,9b034f1b,3
