stage,little,medium,big,vulkan,device,run
1,22.3667,5.4511,3.9332,6.9103,3A021JEHN02756,1
2,22.9886,12.9419,10.5737,10.7059,3A021JEHN02756,1
3,10.0804,2.966,2.1422,5.7045,3A021JEHN02756,1
4,13.026,6.3885,5.3673,5.7257,3A021JEHN02756,1
5,5.6827,1.6838,1.2615,3.1895,3A021JEHN02756,1
6,5.6404,1.6776,1.2931,3.2375,3A021JEHN02756,1
7,5.6742,1.672,1.2768,3.2622,3A021JEHN02756,1
8,6.8469,3.4956,2.9543,2.4894,3A021JEHN02756,1
9,0.0241,0.0118,0.0102,0.5158,3A021JEHN02756,1
1,19.1429,5.5877,3.9585,8.5726,3A021JEHN02756,2
2,23.0805,12.4907,10.7957,7.5356,3A021JEHN02756,2
3,10.005,2.9255,2.1667,5.7948,3A021JEHN02756,2
4,12.6792,6.4919,5.3753,5.3556,3A021JEHN02756,2
5,5.6451,1.6874,1.2791,3.2287,3A021JEHN02756,2
6,5.6376,1.6418,1.2931,3.2655,3A021JEHN02756,2
7,5.632,1.6303,1.3814,2.2633,3A021JEHN02756,2
8,6.8231,3.4416,2.9298,3.3754,3A021JEHN02756,2
9,0.0241,0.0119,0.0101,0.5249,3A021JEHN02756,2
1,19.0857,5.6078,3.9722,9.2627,3A021JEHN02756,3
2,22.9091,12.9806,11.0275,9.3738,3A021JEHN02756,3
3,9.99,2.9298,2.1761,5.7839,3A021JEHN02756,3
4,12.319,6.4645,5.5877,5.5877,3A021JEHN02756,3
5,5.6451,1.6692,1.2842,3.1727,3A021JEHN02756,3
6,5.8798,1.6282,1.2964,3.2375,3A021JEHN02756,3
7,5.6771,1.6298,1.338,3.2326,3A021JEHN02756,3
8,6.7872,3.4256,2.9312,2.7228,3A021JEHN02756,3
9,0.0242,0.0115,0.0099,0.5395,3A021JEHN02756,3
1,20.3939,5.4457,3.9683,8.807,3A021JEHN02756,1
2,23.5465,12.525,10.474,9.9257,3A021JEHN02756,1
3,10.02,2.8764,2.1667,4.8998,3A021JEHN02756,1
4,12.6352,6.4887,5.6742,5.4189,3A021JEHN02756,1
5,5.6423,1.6614,1.2899,3.1743,3A021JEHN02756,1
6,5.6451,1.6917,1.2825,3.1232,3A021JEHN02756,1
7,5.6451,1.672,1.3152,3.1981,3A021JEHN02756,1
8,6.777,3.5175,3.0045,3.2323,3A021JEHN02756,1
9,0.0244,0.0119,0.0102,0.585,3A021JEHN02756,1
1,19.7843,5.4781,4.0567,10.1414,3A021JEHN02756,2
2,22.9318,12.319,10.5474,10.1364,3A021JEHN02756,2
3,10.3179,2.9689,2.1856,5.7672,3A021JEHN02756,2
4,12.6164,6.6172,5.4605,5.3663,3A021JEHN02756,2
5,5.6563,1.6866,1.2908,3.2874,3A021JEHN02756,2
6,5.6742,1.6832,1.3042,3.1844,3A021JEHN02756,2
7,5.632,1.6932,1.296,2.3983,3A021JEHN02756,2
8,6.8464,3.5595,2.9184,3.2549,3A021JEHN02756,2
9,0.0242,0.0116,0.0103,0.5316,3A021JEHN02756,2
1,19.2095,5.5922,3.9762,10.2551,3A021JEHN02756,3
2,22.9091,12.525,10.534,9.4623,3A021JEHN02756,3
3,9.99,2.8725,2.1843,5.8397,3A021JEHN02756,3
4,12.3129,6.3822,5.6162,4.5835,3A021JEHN02756,3
5,5.6582,1.6889,1.2971,3.2537,3A021JEHN02756,3
6,5.6404,1.6697,1.2948,3.2342,3A021JEHN02756,3
7,5.6771,1.6356,1.3293,3.2099,3A021JEHN02756,3
8,6.7973,3.4774,2.9528,2.3298,3A021JEHN02756,3
9,0.0242,0.0118,0.0101,0.52,3A021JEHN02756,3
1,19.5825,5.4282,3.9644,8.9464,3A021JEHN02756,1
2,23.0114,12.4658,10.9781,10.01,3A021JEHN02756,1
3,10.02,2.8725,2.1915,5.6989,3A021JEHN02756,1
4,13.5676,6.4167,5.6106,3.4965,3A021JEHN02756,1
5,5.7123,1.6348,1.2864,3.2961,3A021JEHN02756,1
6,5.6771,1.6739,1.2924,3.2115,3A021JEHN02756,1
7,5.6348,1.6532,1.2939,3.006,3A021JEHN02756,1
8,6.7517,3.414,2.8931,3.2411,3A021JEHN02756,1
9,0.0242,0.0116,0.0102,0.5448,3A021JEHN02756,1
1,19.219,5.4363,4.6343,10.1777,3A021JEHN02756,2
2,22.8864,12.2761,10.5474,10.035,3A021JEHN02756,2
3,10.045,2.8711,2.1856,4.8759,3A021JEHN02756,2
4,12.6226,6.3683,5.5234,5.8116,3A021JEHN02756,2
5,5.6667,1.6298,1.285,3.2099,3A021JEHN02756,2
6,5.6451,1.6282,1.2931,3.2874,3A021JEHN02756,2
7,5.6989,1.6303,1.2964,2.6175,3A021JEHN02756,2
8,6.8299,3.4637,2.8655,2.6999,3A021JEHN02756,2
9,0.0241,0.0118,0.0101,0.4695,3A021JEHN02756,2
1,19.1333,5.4363,3.9663,10.203,3A021JEHN02756,3
2,22.9545,12.9161,10.3557,10.4041,3A021JEHN02756,3
3,9.995,2.9255,2.183,5.696,3A021JEHN02756,3
4,12.5031,6.5705,5.5429,5.6667,3A021JEHN02756,3
5,5.6799,1.6276,1.2891,3.2484,3A021JEHN02756,3
6,5.6162,1.6437,1.3042,3.2638,3A021JEHN02756,3
7,5.6423,1.6303,1.3241,3.259,3A021JEHN02756,3
8,6.7872,3.5105,2.9127,3.1775,3A021JEHN02756,3
9,0.0241,0.0118,0.0102,0.5298,3A021JEHN02756,3
