stage,little,medium,big,vulkan,device,run
1,36.2857,7.8456,5.0173,4.944,9b034f1b,1
2,28.8143,15.1654,9.8873,2.0923,9b034f1b,1
3,18.4771,4.1018,2.643,2.4294,9b034f1b,1
4,14.9925,7.8171,5.125,1.475,9b034f1b,1
5,9.9406,2.3241,1.5317,1.3531,9b034f1b,1
6,10.1111,2.347,1.5471,1.3472,9b034f1b,1
7,10.3782,2.3264,1.5267,1.3425,9b034f1b,1
8,8.3278,4.0959,2.7493,0.8647,9b034f1b,1
9,0.0834,0.0169,0.0147,0.2897,9b034f1b,1
1,36.5455,7.7308,5.0758,2.7089,9b034f1b,2
2,28.4507,15.188,9.8537,2.726,9b034f1b,2
3,18.0901,4.0566,2.6456,2.431,9b034f1b,2
4,15.0827,7.9603,5.1568,1.4826,9b034f1b,2
5,10.25,2.3306,1.5266,1.3456,9b034f1b,2
6,10.2143,2.3333,1.5282,1.3391,9b034f1b,2
7,10.3144,2.3295,1.5275,1.3403,9b034f1b,2
8,8.3112,4.0878,2.7401,0.8682,9b034f1b,2
9,0.1159,0.0168,0.0144,0.2883,9b034f1b,2
1,35.2807,7.7346,4.9777,2.7473,9b034f1b,3
2,30.0597,15.374,9.7767,2.0914,9b034f1b,3
3,17.8839,4.0547,2.6321,2.4133,9b034f1b,3
4,15.1742,7.8858,5.1228,1.4739,9b034f1b,3
5,10.2143,2.3171,1.558,1.34,9b034f1b,3
6,10.1675,2.3264,1.529,1.3416,9b034f1b,3
7,10.2923,2.3337,1.5321,1.3488,9b034f1b,3
8,8.1545,4.1276,2.7404,0.8703,9b034f1b,3
9,0.1086,0.0169,0.0143,0.2891,9b034f1b,3
