stage,little,medium,big,vulkan,device,run
1,19.3558,5.8739,4.2458,7.337,3A021JEHN02756,1
2,23.1839,12.7452,10.3557,9.3442,3A021JEHN02756,1
3,10.1162,3.1543,2.3372,5.6799,3A021JEHN02756,1
4,12.9359,6.5822,5.3871,4.3917,3A021JEHN02756,1
5,5.7179,1.8808,1.3816,3.1528,3A021JEHN02756,1
6,5.7045,1.8401,1.3757,3.1297,3A021JEHN02756,1
7,5.7017,1.8461,1.3816,3.2729,3A021JEHN02756,1
8,6.9241,3.522,2.8847,3.1198,3A021JEHN02756,1
9,0.0248,0.0121,0.0099,0.4813,3A021JEHN02756,1
1,19.5631,5.9379,4.2799,10.1364,3A021JEHN02756,2
2,23.1034,12.3519,10.5579,9.5429,3A021JEHN02756,2
3,10.1364,3.2048,2.3829,4.3004,3A021JEHN02756,2
4,12.8718,6.2915,5.4904,5.1624,3A021JEHN02756,2
5,5.8006,1.9031,1.4036,3.1895,3A021JEHN02756,2
6,5.6989,1.8755,1.3741,2.3509,3A021JEHN02756,2
7,5.6827,1.8546,1.3804,2.8973,3A021JEHN02756,2
8,6.8904,3.4441,2.9341,3.0211,3A021JEHN02756,2
9,0.0246,0.0121,0.0103,0.5468,3A021JEHN02756,2
1,19.4038,6.0758,4.3026,7.4981,3A021JEHN02756,3
2,23.1149,12.8089,10.5368,9.4366,3A021JEHN02756,3
3,10.1156,3.2287,2.34,5.2763,3A021JEHN02756,3
4,12.9484,6.6291,5.5414,5.213,3A021JEHN02756,3
5,5.7017,1.8571,1.4196,3.1232,3A021JEHN02756,3
6,5.7151,1.8109,1.6338,3.2131,3A021JEHN02756,3
7,5.6903,1.8959,1.4133,3.1743,3A021JEHN02756,3
8,6.921,3.5514,2.9807,3.0565,3A021JEHN02756,3
9,0.0245,0.0121,0.0102,0.4642,3A021JEHN02756,3
1,19.3816,5.9114,4.3075,6.9034,3A021JEHN02756,1
2,23.1092,12.1824,10.5752,9.4704,3A021JEHN02756,1
3,10.0501,3.1535,2.3785,4.9201,3A021JEHN02756,1
4,13.0915,6.3587,5.4375,5.6,3A021JEHN02756,1
5,5.6809,1.8362,1.4266,2.2578,3A021JEHN02756,1
6,5.678,1.8542,1.4165,3.0635,3A021JEHN02756,1
7,5.6984,1.8811,1.4163,2.3617,3A021JEHN02756,1
8,7.0848,3.4381,2.9448,3.4705,3A021JEHN02756,1
9,0.0245,0.0117,0.0101,0.5829,3A021JEHN02756,1
1,19.5756,5.9086,4.3265,7.5226,3A021JEHN02756,2
2,23.0977,12.2348,10.4974,9.4528,3A021JEHN02756,2
3,10.1058,3.1364,2.4237,4.2711,3A021JEHN02756,2
4,13.0717,6.3239,5.4986,5.4523,3A021JEHN02756,2
5,5.6851,1.855,1.441,3.2624,3A021JEHN02756,2
6,5.6823,1.8333,1.4416,2.3152,3A021JEHN02756,2
7,5.7133,1.8257,1.4694,3.2067,3A021JEHN02756,2
8,6.993,3.3678,2.9007,3.4826,3A021JEHN02756,2
9,0.0245,0.0116,0.0102,0.5775,3A021JEHN02756,2
1,19.3333,5.9086,4.3749,8.416,3A021JEHN02756,3
2,23.1207,12.2853,10.6138,9.6019,3A021JEHN02756,3
3,10.2872,3.147,2.4447,4.8241,3A021JEHN02756,3
4,12.9323,6.4525,5.4863,5.3427,3A021JEHN02756,3
5,5.6956,1.8337,1.4617,3.0604,3A021JEHN02756,3
6,5.7027,1.8554,1.4588,3.2119,3A021JEHN02756,3
7,5.6837,1.8183,1.4609,3.1168,3A021JEHN02756,3
8,7.0616,3.4164,2.9557,3.4488,3A021JEHN02756,3
9,0.0246,0.0117,0.0102,0.5632,3A021JEHN02756,3
