stage,little,medium,big,vulkan,device,run
1,156.0,57.0563,47.8452,1.1971,3A021JEHN02756,1
2,6.3218,3.1055,2.592,0.7609,3A021JEHN02756,1
3,350.1667,132.871,115.6571,1.0325,3A021JEHN02756,1
4,3.6536,1.5337,1.3253,0.586,3A021JEHN02756,1
5,339.75,132.7742,117.1143,1.5013,3A021JEHN02756,1
6,655.8571,252.875,234.8333,2.4688,3A021JEHN02756,1
7,656.1429,248.4706,225.3889,2.4013,3A021JEHN02756,1
8,1.7452,0.7668,0.6583,0.614,3A021JEHN02756,1
9,1.0801,0.5705,0.4681,1.3509,3A021JEHN02756,1
1,156.0,56.8028,47.7381,1.2021,3A021JEHN02756,2
2,6.3239,3.0136,2.6102,0.752,3A021JEHN02756,2
3,369.7273,132.1935,122.2121,0.996,3A021JEHN02756,2
4,3.6364,1.5176,1.3265,0.6972,3A021JEHN02756,2
5,332.5385,127.5312,115.1429,1.5343,3A021JEHN02756,2
6,655.7143,250.4375,237.0588,2.2565,3A021JEHN02756,2
7,656.0,250.4375,238.9412,2.3104,3A021JEHN02756,2
8,1.7675,0.7751,0.6649,0.5993,3A021JEHN02756,2
9,1.0874,0.5715,0.4723,1.3585,3A021JEHN02756,2
1,155.8077,56.9437,48.2892,1.2108,3A021JEHN02756,3
2,6.3323,3.0848,2.6301,0.7319,3A021JEHN02756,3
3,349.3333,131.7419,117.3429,1.0078,3A021JEHN02756,3
4,3.518,1.5592,1.3151,0.6428,3A021JEHN02756,3
5,332.0,128.0625,113.9167,1.5053,3A021JEHN02756,3
6,656.1429,248.7647,229.3889,2.5063,3A021JEHN02756,3
7,655.8571,246.7647,227.3333,2.1029,3A021JEHN02756,3
8,1.7528,0.764,0.6617,0.6342,3A021JEHN02756,3
9,1.0862,0.573,0.4734,1.3656,3A021JEHN02756,3
