stage,little,medium,big,vulkan,device,run
1,42.0417,10.2437,7.259,3.7301,3A021JEHN02756,1
2,24.5854,12.7595,11.7895,2.2203,3A021JEHN02756,1
3,11.546,3.3262,3.0578,2.2778,3A021JEHN02756,1
4,13.4,7.3358,7.3358,1.8207,3A021JEHN02756,1
5,6.7248,1.8729,1.9068,1.8906,3A021JEHN02756,1
6,6.7736,1.9242,1.9466,1.795,3A021JEHN02756,1
7,6.8596,1.8685,1.9753,1.4176,3A021JEHN02756,1
8,7.1064,3.5595,3.7598,1.1497,3A021JEHN02756,1
9,0.0421,0.0152,0.0128,0.2869,3A021JEHN02756,1
1,20.14,6.1402,5.1378,3.7505,3A021JEHN02756,2
2,25.15,12.7342,12.3436,2.2455,3A021JEHN02756,2
3,11.3277,3.3417,3.1377,2.2732,3A021JEHN02756,2
4,12.6899,6.5523,6.843,1.795,3A021JEHN02756,2
5,6.8197,1.8951,1.9316,1.3695,3A021JEHN02756,2
6,6.9412,1.8996,2.0831,1.4097,3A021JEHN02756,2
7,6.9308,1.8529,2.0212,1.6874,3A021JEHN02756,2
8,7.2609,3.4913,3.8317,1.2138,3A021JEHN02756,2
9,0.0513,0.014,0.0122,0.3286,3A021JEHN02756,2
1,20.701,6.9481,5.5778,3.6576,3A021JEHN02756,3
2,26.1688,13.0,12.4383,2.2364,3A021JEHN02756,3
3,11.8412,3.2208,3.2679,2.2849,3A021JEHN02756,3
4,12.7595,6.5455,6.9517,2.1677,3A021JEHN02756,3
5,6.9241,1.8926,2.0161,1.8997,3A021JEHN02756,3
6,9.3209,1.8888,2.8305,1.4284,3A021JEHN02756,3
7,8.9865,1.8995,2.734,1.9214,3A021JEHN02756,3
8,8.1008,3.8635,4.6613,1.0436,3A021JEHN02756,3
9,0.0499,0.0136,0.0145,0.3622,3A021JEHN02756,3
1,20.9271,6.3879,5.5041,3.6829,3A021JEHN02756,1
2,25.929,12.7184,13.4866,2.5615,3A021JEHN02756,1
3,12.32,3.2109,3.6633,2.5949,3A021JEHN02756,1
4,15.4577,6.643,8.606,2.077,3A021JEHN02756,1
5,8.9044,2.0507,3.031,1.6249,3A021JEHN02756,1
6,8.5577,2.0248,2.8264,1.919,3A021JEHN02756,1
7,8.2557,2.0974,2.8357,1.3564,3A021JEHN02756,1
8,8.2449,4.0516,4.953,1.0235,3A021JEHN02756,1
9,0.0444,0.0171,0.0146,0.3527,3A021JEHN02756,1
1,21.2116,6.1488,5.5681,4.5975,3A021JEHN02756,2
2,26.4276,12.514,13.6633,2.5833,3A021JEHN02756,2
3,12.6962,3.2303,3.7356,3.0143,3A021JEHN02756,2
4,17.9731,6.7023,10.4648,1.6686,3A021JEHN02756,2
5,9.0633,2.1241,2.963,1.8094,3A021JEHN02756,2
6,8.8,2.1366,3.08,1.7439,3A021JEHN02756,2
7,8.3612,2.0773,2.9191,1.8999,3A021JEHN02756,2
8,8.5394,4.1204,4.8195,1.267,3A021JEHN02756,2
9,0.0622,0.0172,0.0143,0.3614,3A021JEHN02756,2
1,21.4278,6.0989,5.5808,3.6931,3A021JEHN02756,3
2,26.7933,12.5987,13.9549,2.3866,3A021JEHN02756,3
3,12.7548,3.2535,3.7854,2.5973,3A021JEHN02756,3
4,18.3761,6.8596,11.2213,1.4226,3A021JEHN02756,3
5,8.8606,2.2054,3.0318,1.6091,3A021JEHN02756,3
6,8.7785,2.118,3.0372,1.8048,3A021JEHN02756,3
7,8.8411,2.1696,3.1047,1.2686,3A021JEHN02756,3
8,9.0862,4.2046,4.9166,0.9226,3A021JEHN02756,3
9,0.0537,0.0172,0.0166,0.3417,3A021JEHN02756,3
