[1/2] Processing device: 3A021JEHN02756
Deploying and running 'bm-mini-cifar-sparse-vk' on device: 3A021JEHN02756
build/android/arm64-v8a/release/bm-mini-cifar-sparse-vk: 1 file pushed, 0 skipped. 482.0 MB/s (2275288 bytes in 0.005s)
[2025-04-10 16:35:15.966] [info] Little cores: 0 1 2 3
[2025-04-10 16:35:15.968] [info] Medium cores: 4 5
[2025-04-10 16:35:15.968] [info] Big cores: 6 7
2025-04-10T16:35:15-07:00
Running /data/local/tmp/bm-mini-cifar-sparse-vk
Run on (8 X 1803 MHz CPU s)
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------
Benchmark                           Time             CPU   Iterations
---------------------------------------------------------------------
BM_run_OMP_baseline              49.5 ms         3.93 ms          100
BM_run_OMP_baseline              44.6 ms         3.88 ms          100
BM_run_OMP_baseline              39.9 ms         3.73 ms          100
BM_run_OMP_baseline              50.4 ms         3.98 ms          100
BM_run_OMP_baseline              43.2 ms         3.79 ms          100
BM_run_OMP_baseline              36.4 ms         3.54 ms          100
BM_run_OMP_baseline              44.9 ms         3.87 ms          100
BM_run_OMP_baseline              41.2 ms         3.77 ms          100
BM_run_OMP_baseline              43.7 ms         3.60 ms          100
BM_run_OMP_baseline              39.9 ms         3.64 ms          100
BM_run_OMP_baseline_mean         43.4 ms         3.77 ms           10
BM_run_OMP_baseline_median       43.5 ms         3.78 ms           10
BM_run_OMP_baseline_stddev       4.32 ms        0.147 ms           10
BM_run_OMP_baseline_cv           9.95 %          3.89 %            10
BM_run_OMP_stage/1               7.16 ms        0.436 ms         1306
BM_run_OMP_stage/1               7.15 ms        0.440 ms         1306
BM_run_OMP_stage/1               7.41 ms        0.436 ms         1306
BM_run_OMP_stage/1               8.65 ms        0.447 ms         1306
BM_run_OMP_stage/1               7.74 ms        0.443 ms         1306
BM_run_OMP_stage/1               7.96 ms        0.439 ms         1306
BM_run_OMP_stage/1               7.16 ms        0.443 ms         1306
BM_run_OMP_stage/1               6.71 ms        0.437 ms         1306
BM_run_OMP_stage/1               8.72 ms        0.449 ms         1306
BM_run_OMP_stage/1               8.61 ms        0.447 ms         1306
BM_run_OMP_stage/1_mean          7.73 ms        0.442 ms           10
BM_run_OMP_stage/1_median        7.57 ms        0.441 ms           10
BM_run_OMP_stage/1_stddev       0.731 ms        0.005 ms           10
BM_run_OMP_stage/1_cv            9.45 %          1.07 %            10
BM_run_OMP_stage/2               9.99 ms        0.430 ms         1391
