stage,little,medium,big,vulkan,cuda,device,run
1,33.4355,0.0,0.0,0.0,1.7936,jetson,1
2,2.9909,0.0,0.0,0.0,0.5019,jetson,1
3,83.4705,0.0,0.0,0.0,3.8512,jetson,1
4,1.5178,0.0,0.0,0.0,0.4223,jetson,1
5,81.8469,0.0,0.0,0.0,4.5296,jetson,1
6,166.8016,0.0,0.0,0.0,8.799,jetson,1
7,166.708,0.0,0.0,0.0,8.7904,jetson,1
8,0.7638,0.0,0.0,0.0,0.2593,jetson,1
9,0.3422,0.0,0.0,0.0,0.5906,jetson,1
1,33.1563,0.0,0.0,0.0,1.8024,jetson,2
2,3.0034,0.0,0.0,0.0,0.506,jetson,2
3,83.5431,0.0,0.0,0.0,3.8557,jetson,2
4,1.5113,0.0,0.0,0.0,0.3772,jetson,2
5,81.7415,0.0,0.0,0.0,4.5012,jetson,2
6,161.9184,0.0,0.0,0.0,8.751,jetson,2
7,162.0521,0.0,0.0,0.0,8.7335,jetson,2
8,0.7718,0.0,0.0,0.0,0.2714,jetson,2
9,0.3427,0.0,0.0,0.0,0.4848,jetson,2
1,33.2576,0.0,0.0,0.0,1.819,jetson,3
2,3.0117,0.0,0.0,0.0,0.5104,jetson,3
3,83.5158,0.0,0.0,0.0,3.8763,jetson,3
4,1.5157,0.0,0.0,0.0,0.3902,jetson,3
5,81.7255,0.0,0.0,0.0,4.5202,jetson,3
6,162.0904,0.0,0.0,0.0,8.7812,jetson,3
7,162.2537,0.0,0.0,0.0,8.7783,jetson,3
8,0.7541,0.0,0.0,0.0,0.2553,jetson,3
9,0.3424,0.0,0.0,0.0,0.5662,jetson,3
