stage,little,medium,big,vulkan,cuda,device,run
1,72.1293,0.0,0.0,0.0,7.3387,jetsonlowpower,1
2,8.3163,0.0,0.0,0.0,0.7809,jetsonlowpower,1
3,177.9269,0.0,0.0,0.0,16.2772,jetsonlowpower,1
4,5.486,0.0,0.0,0.0,0.4648,jetsonlowpower,1
5,173.473,0.0,0.0,0.0,15.7703,jetsonlowpower,1
6,344.9967,0.0,0.0,0.0,31.9441,jetsonlowpower,1
7,342.3932,0.0,0.0,0.0,31.7031,jetsonlowpower,1
8,3.2018,0.0,0.0,0.0,0.3851,jetsonlowpower,1
9,0.9705,0.0,0.0,0.0,0.7365,jetsonlowpower,1
1,71.612,0.0,0.0,0.0,7.318,jetsonlowpower,2
2,8.6563,0.0,0.0,0.0,0.7937,jetsonlowpower,2
3,178.0638,0.0,0.0,0.0,16.2897,jetsonlowpower,2
4,5.5218,0.0,0.0,0.0,0.4687,jetsonlowpower,2
5,175.3541,0.0,0.0,0.0,15.9914,jetsonlowpower,2
6,346.1956,0.0,0.0,0.0,32.0551,jetsonlowpower,2
7,344.7811,0.0,0.0,0.0,31.9242,jetsonlowpower,2
8,3.0948,0.0,0.0,0.0,0.4024,jetsonlowpower,2
9,1.0129,0.0,0.0,0.0,0.7596,jetsonlowpower,2
1,72.2278,0.0,0.0,0.0,7.3702,jetsonlowpower,3
2,8.3272,0.0,0.0,0.0,0.7858,jetsonlowpower,3
3,178.3414,0.0,0.0,0.0,16.3151,jetsonlowpower,3
4,5.6139,0.0,0.0,0.0,0.4766,jetsonlowpower,3
5,174.8565,0.0,0.0,0.0,15.896,jetsonlowpower,3
6,341.8037,0.0,0.0,0.0,31.6485,jetsonlowpower,3
7,342.2548,0.0,0.0,0.0,31.6903,jetsonlowpower,3
8,3.0602,0.0,0.0,0.0,0.4152,jetsonlowpower,3
9,0.9995,0.0,0.0,0.0,0.7557,jetsonlowpower,3
