stage,little,medium,big,vulkan,cuda,device,run
1,180.8333,60.2778,54.25,0.7133,0.0,3A021JEHN02756,1
2,9.2202,3.2524,3.1406,0.3449,0.0,3A021JEHN02756,1
3,417.0,156.375,156.375,0.706,0.0,3A021JEHN02756,1
4,5.547,1.6623,1.6846,0.2712,0.0,3A021JEHN02756,1
5,372.6667,139.75,139.75,0.9588,0.0,3A021JEHN02756,1
6,705.0,352.5,352.5,1.7581,0.0,3A021JEHN02756,1
7,690.5,345.25,345.25,1.7241,0.0,3A021JEHN02756,1
8,3.003,0.8344,0.9004,0.2285,0.0,3A021JEHN02756,1
9,1.1638,0.5856,0.5759,0.7091,0.0,3A021JEHN02756,1
1,187.1667,66.0588,56.15,0.7383,0.0,3A021JEHN02756,2
2,9.7476,3.4034,3.0332,0.3506,0.0,3A021JEHN02756,2
3,410.6667,154.0,176.0,0.7109,0.0,3A021JEHN02756,2
4,5.6932,1.6812,1.684,0.2723,0.0,3A021JEHN02756,2
5,401.3333,150.5,172.0,0.937,0.0,3A021JEHN02756,2
6,713.0,285.2,356.5,1.8788,0.0,3A021JEHN02756,2
7,701.5,350.75,350.75,1.6164,0.0,3A021JEHN02756,2
8,2.2,0.857,0.9737,0.2214,0.0,3A021JEHN02756,2
9,1.1967,0.5837,0.5889,0.7031,0.0,3A021JEHN02756,2
1,178.6667,63.0588,59.5556,0.8109,0.0,3A021JEHN02756,3
2,9.7767,3.4965,3.402,0.3418,0.0,3A021JEHN02756,3
3,438.6667,164.5,188.0,0.8372,0.0,3A021JEHN02756,3
4,5.929,1.6897,1.9344,0.2835,0.0,3A021JEHN02756,3
5,420.6667,157.75,180.2857,1.0936,0.0,3A021JEHN02756,3
6,753.5,376.75,376.75,1.9124,0.0,3A021JEHN02756,3
7,752.5,376.25,376.25,1.9027,0.0,3A021JEHN02756,3
8,3.5193,0.8767,0.9356,0.2434,0.0,3A021JEHN02756,3
9,1.2745,0.6086,0.6071,0.7775,0.0,3A021JEHN02756,3
