stage,little,medium,big,vulkan,cuda,device,run
1,21.02,6.2189,4.9112,4.361,0.0,3A021JEHN02756,1
2,28.1316,13.3625,11.6196,2.734,0.0,3A021JEHN02756,1
3,11.1828,3.0861,2.8969,2.4186,0.0,3A021JEHN02756,1
4,13.0247,6.8954,7.0805,1.505,0.0,3A021JEHN02756,1
5,6.5325,1.7226,1.768,1.62,0.0,3A021JEHN02756,1
6,6.7097,1.8538,1.7219,2.0116,0.0,3A021JEHN02756,1
7,6.7742,1.8584,1.8519,2.0192,0.0,3A021JEHN02756,1
8,7.0704,3.5105,3.6377,1.2426,0.0,3A021JEHN02756,1
9,0.0473,0.0153,0.0125,0.3139,0.0,3A021JEHN02756,1
1,21.4694,6.1163,5.0577,4.0618,0.0,3A021JEHN02756,2
2,26.0,13.4937,13.0,2.1889,0.0,3A021JEHN02756,2
3,11.75,3.1621,2.8251,2.1677,0.0,3A021JEHN02756,2
4,13.6316,6.7712,6.6839,1.6444,0.0,3A021JEHN02756,2
5,6.6358,1.7517,1.6897,1.9086,0.0,3A021JEHN02756,2
6,6.777,1.7443,1.6857,1.9476,0.0,3A021JEHN02756,2
7,6.5455,1.726,1.7841,1.9611,0.0,3A021JEHN02756,2
8,6.911,3.8365,3.5654,1.2457,0.0,3A021JEHN02756,2
9,0.0405,0.0167,0.0124,0.3173,0.0,3A021JEHN02756,2
1,20.64,6.1065,4.7339,4.4483,0.0,3A021JEHN02756,3
2,26.1707,13.2469,13.9351,2.3792,0.0,3A021JEHN02756,3
3,11.6067,3.0293,2.8774,2.3318,0.0,3A021JEHN02756,3
4,13.1169,6.5584,6.9178,1.6134,0.0,3A021JEHN02756,3
5,6.5065,1.7548,1.7216,1.9269,0.0,3A021JEHN02756,3
6,7.5109,1.7382,1.8574,1.765,0.0,3A021JEHN02756,3
7,6.5455,1.747,1.7684,1.9497,0.0,3A021JEHN02756,3
8,7.0,3.6129,3.6129,1.4672,0.0,3A021JEHN02756,3
9,0.041,0.0137,0.0138,0.2978,0.0,3A021JEHN02756,3
