stage,little,medium,big,vulkan,cuda,device,run
1,2.6552,0.8293,0.6454,0.8391,0.0,3A021JEHN02756,1
2,3.3579,1.5446,1.4765,21.3617,0.0,3A021JEHN02756,1
3,3.1741,0.327,0.3119,1.4227,0.0,3A021JEHN02756,1
4,9.5524,5.4216,5.2513,1.3518,0.0,3A021JEHN02756,1
5,1.4963,0.2796,0.2337,0.607,0.0,3A021JEHN02756,1
6,1.5167,0.3745,0.391,0.6942,0.0,3A021JEHN02756,1
7,5.6034,2.0263,2.1205,1.5197,0.0,3A021JEHN02756,1
1,2.6438,0.8042,0.6934,0.8281,0.0,3A021JEHN02756,1
2,3.777,1.7279,1.7279,21.617,0.0,3A021JEHN02756,1
3,1.7579,0.4567,0.4125,0.3546,0.0,3A021JEHN02756,1
4,9.0631,5.4674,5.3228,1.3613,0.0,3A021JEHN02756,1
5,1.3188,0.262,0.3201,0.5222,0.0,3A021JEHN02756,1
6,0.9002,0.5717,0.4396,0.4272,0.0,3A021JEHN02756,1
7,5.8256,1.9802,2.1502,1.5182,0.0,3A021JEHN02756,1
