stage,little,medium,big,vulkan,cuda,device,run
1,147.4286,73.4286,86.5,1.5599,0.0,9b034f1b,1
2,8.9204,4.2363,4.2143,1.0448,0.0,9b034f1b,1
3,341.3333,191.0,216.8,1.2426,0.0,9b034f1b,1
4,4.4667,2.1184,2.5113,0.9201,0.0,9b034f1b,1
5,325.0,189.5,204.2,1.1532,0.0,9b034f1b,1
6,637.5,377.3333,219.2,1.6346,0.0,9b034f1b,1
7,635.5,376.6667,362.0,1.5392,0.0,9b034f1b,1
8,2.2692,1.0672,1.2623,0.9126,0.0,9b034f1b,1
9,1.0437,0.7894,0.9497,2.2641,0.0,9b034f1b,1
1,195.1667,81.5385,87.6667,1.5696,0.0,9b034f1b,2
2,8.9911,4.2363,4.9752,0.9235,0.0,9b034f1b,2
3,348.3333,192.1667,189.8333,1.2404,0.0,9b034f1b,2
4,4.5225,2.1139,2.5151,0.9635,0.0,9b034f1b,2
5,325.25,187.8333,202.0,1.2494,0.0,9b034f1b,2
6,653.5,381.0,378.3333,1.5266,0.0,9b034f1b,2
7,647.5,375.3333,370.0,1.5298,0.0,9b034f1b,2
8,2.2438,1.0626,1.261,0.8882,0.0,9b034f1b,2
9,1.0373,0.7857,0.9373,2.3326,0.0,9b034f1b,2
1,148.2857,73.3571,87.9167,1.6006,0.0,9b034f1b,3
2,8.9204,4.2227,4.936,1.0514,0.0,9b034f1b,3
3,353.3333,191.6667,214.6,1.2373,0.0,9b034f1b,3
4,4.4821,2.1118,2.2217,0.9067,0.0,9b034f1b,3
5,323.75,192.5,202.4,1.2017,0.0,9b034f1b,3
6,644.0,376.6667,385.3333,1.5321,0.0,9b034f1b,3
7,636.0,377.6667,390.6667,1.5407,0.0,9b034f1b,3
8,2.2596,1.0672,1.2563,0.8884,0.0,9b034f1b,3
9,1.0373,0.7882,0.9373,2.2744,0.0,9b034f1b,3
