stage,little,medium,big,vulkan,cuda,device,run
1,35.9286,6.6623,4.6574,3.6985,0.0,9b034f1b,1
2,30.1471,15.5303,10.049,3.0415,0.0,9b034f1b,1
3,18.7963,3.625,2.4877,2.4517,0.0,9b034f1b,1
4,15.0448,8.0,5.0909,1.4933,0.0,9b034f1b,1
5,10.02,2.0702,1.4153,1.345,0.0,9b034f1b,1
6,10.5474,2.105,1.4213,1.3468,0.0,9b034f1b,1
7,10.1313,2.1027,1.4247,1.3518,0.0,9b034f1b,1
8,8.2893,4.1618,2.7479,0.8791,0.0,9b034f1b,1
9,0.1197,0.0168,0.0124,0.3292,0.0,9b034f1b,1
1,37.8148,6.8067,4.7269,4.9563,0.0,9b034f1b,2
2,31.625,15.3333,9.9216,3.0209,0.0,9b034f1b,2
3,18.7222,3.5979,2.4719,2.4539,0.0,9b034f1b,2
4,15.9683,7.8594,5.0553,1.4948,0.0,9b034f1b,2
5,9.9208,2.0745,1.4173,1.3486,0.0,9b034f1b,2
6,11.4432,2.1335,1.4324,1.4637,0.0,9b034f1b,2
7,10.09,2.0977,1.4312,1.3562,0.0,9b034f1b,2
8,9.3148,4.157,2.7337,0.9446,0.0,9b034f1b,2
9,0.0928,0.0168,0.0148,0.2894,0.0,9b034f1b,2
1,34.8621,6.7852,4.7023,2.7623,0.0,9b034f1b,3
2,35.1724,15.6923,10.2,2.3944,0.0,9b034f1b,3
3,18.5926,3.5857,2.4975,2.431,0.0,9b034f1b,3
4,15.0448,7.875,5.0909,1.4978,0.0,9b034f1b,3
5,10.6596,2.105,1.4173,1.3486,0.0,9b034f1b,3
6,9.9406,2.0917,1.4161,1.3513,0.0,9b034f1b,3
7,9.9703,2.0936,1.4365,1.3553,0.0,9b034f1b,3
8,8.6724,4.1061,2.7337,0.9272,0.0,9b034f1b,3
9,0.1286,0.0168,0.0126,0.3748,0.0,9b034f1b,3
