stage,little,medium,big,vulkan,cuda,device,run
1,33.7333,7.2,9.3241,6.103,0.0,9b034f1b,1
2,27.4595,17.4483,19.3462,3.8988,0.0,9b034f1b,1
3,17.4483,3.8099,4.9069,3.7011,0.0,9b034f1b,1
4,14.0556,8.4118,9.9901,2.267,0.0,9b034f1b,1
5,9.9505,2.2466,2.6052,2.3295,0.0,9b034f1b,1
6,9.3704,2.2394,2.8174,2.3241,0.0,9b034f1b,1
7,9.4019,2.2517,2.623,2.3241,0.0,9b034f1b,1
8,7.2899,4.4229,4.9653,2.6464,0.0,9b034f1b,1
9,0.0317,0.017,0.046,0.8891,0.0,9b034f1b,1
1,33.6667,7.1786,7.7907,5.8314,0.0,9b034f1b,2
2,27.2973,16.2258,19.2075,3.7011,0.0,9b034f1b,2
3,17.614,3.8206,4.1364,3.3289,0.0,9b034f1b,2
4,14.0694,8.3917,10.1616,2.2647,0.0,9b034f1b,2
5,9.4393,2.2489,2.3419,2.171,0.0,9b034f1b,2
6,9.6538,2.2489,2.3585,2.1757,0.0,9b034f1b,2
7,9.4811,2.2489,1.6852,2.1852,0.0,9b034f1b,2
8,7.2754,4.4229,5.4324,2.2922,0.0,9b034f1b,2
9,0.0333,0.0169,0.0462,0.8602,0.0,9b034f1b,2
1,33.2903,7.2,5.8941,5.4511,0.0,9b034f1b,3
2,27.2973,16.2903,18.5926,3.6949,0.0,9b034f1b,3
3,17.5345,3.8244,4.9801,3.3691,0.0,9b034f1b,3
4,14.1127,8.4118,9.8333,2.3466,0.0,9b034f1b,3
5,9.3519,2.2494,2.896,2.1663,0.0,9b034f1b,3
6,9.3148,2.2466,2.4474,2.1092,0.0,9b034f1b,3
7,9.4811,2.2416,2.3302,2.171,0.0,9b034f1b,3
8,7.4444,4.4079,4.9703,2.3592,0.0,9b034f1b,3
9,0.0333,0.0161,0.0456,0.8675,0.0,9b034f1b,3
