stage,little,medium,big,vulkan,cuda,device,run
1,3.8206,0.901,0.6233,0.5282,0.0,9b034f1b,1
2,2.6824,1.7264,1.825,30.9697,0.0,9b034f1b,1
3,0.6741,0.6696,0.3353,0.4943,0.0,9b034f1b,1
4,8.9643,6.3544,4.1488,1.5305,0.0,9b034f1b,1
5,1.4677,0.2325,0.1723,0.5033,0.0,9b034f1b,1
6,0.3749,0.2865,0.4263,0.454,0.0,9b034f1b,1
7,6.5987,1.9628,1.3702,1.3267,0.0,9b034f1b,1
1,3.7992,0.9069,0.623,0.52,0.0,9b034f1b,1
2,2.8357,1.7225,1.7704,31.8125,0.0,9b034f1b,1
3,0.6942,0.3319,0.681,0.2527,0.0,9b034f1b,1
4,8.5641,6.3418,4.1577,1.4438,0.0,9b034f1b,1
5,1.2389,0.2327,0.1767,0.4656,0.0,9b034f1b,1
6,0.3647,0.2495,0.4556,0.3191,0.0,9b034f1b,1
7,5.9,1.9141,1.3873,1.2292,0.0,9b034f1b,1
