stage,little,medium,big,vulkan,cuda,device,run
1,2.6352,0.9217,1.221,1.6524,0.0,9b034f1b,1
2,1.5696,0.8637,1.5504,43.125,0.0,9b034f1b,1
3,0.691,0.3653,0.6803,0.2194,0.0,9b034f1b,1
4,8.2114,6.8767,8.1545,2.5522,0.0,9b034f1b,1
5,0.7127,0.254,0.307,1.0204,0.0,9b034f1b,1
6,0.3576,0.2745,0.5432,0.1881,0.0,9b034f1b,1
7,4.0898,2.0919,2.6042,2.1343,0.0,9b034f1b,1
1,2.6395,1.0857,1.1468,1.7293,0.0,9b034f1b,1
2,1.5632,0.8644,1.914,42.4583,0.0,9b034f1b,1
3,0.6913,0.3646,0.7079,0.2203,0.0,9b034f1b,1
4,8.2377,6.9583,7.9762,2.2795,0.0,9b034f1b,1
5,0.713,0.2365,0.2446,1.2506,0.0,9b034f1b,1
6,0.3481,0.2745,0.5379,0.1874,0.0,9b034f1b,1
7,4.098,2.0512,2.4716,2.0832,0.0,9b034f1b,1
