stage,little,medium,big,vulkan,cuda,device,run
1,37.4657,0.0,0.0,0.0,1.8161,jetson,1
2,4.8085,0.0,0.0,0.0,0.5135,jetson,1
3,89.4888,0.0,0.0,0.0,4.2278,jetson,1
4,3.0984,0.0,0.0,0.0,0.333,jetson,1
5,87.7155,0.0,0.0,0.0,4.7845,jetson,1
6,173.3317,0.0,0.0,0.0,9.3693,jetson,1
7,174.2338,0.0,0.0,0.0,9.5037,jetson,1
8,1.5663,0.0,0.0,0.0,0.3297,jetson,1
9,0.6786,0.0,0.0,0.0,0.5372,jetson,1
1,38.0036,0.0,0.0,0.0,1.869,jetson,1
2,5.0287,0.0,0.0,0.0,0.5364,jetson,1
3,90.0109,0.0,0.0,0.0,4.3033,jetson,1
4,3.3005,0.0,0.0,0.0,0.3555,jetson,1
5,87.3303,0.0,0.0,0.0,4.8072,jetson,1
6,173.7148,0.0,0.0,0.0,9.5623,jetson,1
7,174.82,0.0,0.0,0.0,9.3654,jetson,1
8,1.525,0.0,0.0,0.0,0.3016,jetson,1
9,0.5968,0.0,0.0,0.0,0.5196,jetson,1
1,37.6436,0.0,0.0,0.0,1.8962,jetson,1
2,4.5176,0.0,0.0,0.0,0.4931,jetson,1
3,90.0418,0.0,0.0,0.0,4.322,jetson,1
4,3.1211,0.0,0.0,0.0,0.3316,jetson,1
5,86.2589,0.0,0.0,0.0,4.705,jetson,1
6,169.8309,0.0,0.0,0.0,9.2635,jetson,1
7,169.1943,0.0,0.0,0.0,9.1456,jetson,1
8,1.5416,0.0,0.0,0.0,0.3156,jetson,1
9,0.6011,0.0,0.0,0.0,0.5223,jetson,1
