stage,little,medium,big,vulkan,cuda,device,run
1,36.5226,0.0,0.0,0.0,2.0292,jetson,1
2,3.2952,0.0,0.0,0.0,0.6569,jetson,1
3,87.8192,0.0,0.0,0.0,3.9853,jetson,1
4,1.6745,0.0,0.0,0.0,0.5158,jetson,1
5,85.7306,0.0,0.0,0.0,4.7027,jetson,1
6,170.3786,0.0,0.0,0.0,9.2065,jetson,1
7,170.1973,0.0,0.0,0.0,9.0939,jetson,1
8,0.8479,0.0,0.0,0.0,0.2583,jetson,1
9,0.385,0.0,0.0,0.0,0.6716,jetson,1
1,36.7787,0.0,0.0,0.0,2.0152,jetson,1
2,3.2868,0.0,0.0,0.0,0.6777,jetson,1
3,89.726,0.0,0.0,0.0,3.9897,jetson,1
4,1.7227,0.0,0.0,0.0,0.5629,jetson,1
5,86.0494,0.0,0.0,0.0,4.6857,jetson,1
6,169.1295,0.0,0.0,0.0,9.1648,jetson,1
7,169.4829,0.0,0.0,0.0,9.0833,jetson,1
8,0.8569,0.0,0.0,0.0,0.2666,jetson,1
9,0.4293,0.0,0.0,0.0,0.6631,jetson,1
1,35.8182,0.0,0.0,0.0,1.8827,jetson,1
2,3.2821,0.0,0.0,0.0,0.6363,jetson,1
3,90.3887,0.0,0.0,0.0,4.0007,jetson,1
4,1.8877,0.0,0.0,0.0,0.4989,jetson,1
5,86.2935,0.0,0.0,0.0,4.6995,jetson,1
6,181.1567,0.0,0.0,0.0,9.1874,jetson,1
7,190.5509,0.0,0.0,0.0,9.0499,jetson,1
8,0.845,0.0,0.0,0.0,0.2514,jetson,1
9,0.3843,0.0,0.0,0.0,0.5948,jetson,1
