stage,little,medium,big,vulkan,cuda,device,run
1,4.338,0.0,0.0,0.0,3.8542,jetson,1
2,8.6625,0.0,0.0,0.0,1.4355,jetson,1
3,2.4227,0.0,0.0,0.0,2.7116,jetson,1
4,4.8722,0.0,0.0,0.0,1.2195,jetson,1
5,1.4435,0.0,0.0,0.0,1.949,jetson,1
6,1.4581,0.0,0.0,0.0,2.3851,jetson,1
7,1.5657,0.0,0.0,0.0,1.812,jetson,1
8,3.3564,0.0,0.0,0.0,0.9287,jetson,1
9,0.0467,0.0,0.0,0.0,0.4784,jetson,1
1,4.2907,0.0,0.0,0.0,3.7186,jetson,1
2,8.7117,0.0,0.0,0.0,1.4251,jetson,1
3,2.4477,0.0,0.0,0.0,3.0336,jetson,1
4,5.0831,0.0,0.0,0.0,1.2517,jetson,1
5,1.4402,0.0,0.0,0.0,2.4119,jetson,1
6,1.5385,0.0,0.0,0.0,1.8223,jetson,1
7,1.4694,0.0,0.0,0.0,1.7587,jetson,1
8,2.8984,0.0,0.0,0.0,0.9794,jetson,1
9,0.0321,0.0,0.0,0.0,0.6462,jetson,1
1,4.3741,0.0,0.0,0.0,3.8751,jetson,1
2,8.8789,0.0,0.0,0.0,1.4499,jetson,1
3,2.5036,0.0,0.0,0.0,2.4248,jetson,1
4,4.9154,0.0,0.0,0.0,1.1646,jetson,1
5,1.4699,0.0,0.0,0.0,1.9325,jetson,1
6,1.4829,0.0,0.0,0.0,1.7408,jetson,1
7,1.493,0.0,0.0,0.0,1.92,jetson,1
8,2.9765,0.0,0.0,0.0,0.8858,jetson,1
9,0.0358,0.0,0.0,0.0,0.4912,jetson,1
1,4.2701,0.0,0.0,0.0,3.6015,jetson,1
2,13.4138,0.0,0.0,0.0,1.458,jetson,1
3,2.4561,0.0,0.0,0.0,3.0367,jetson,1
4,4.7868,0.0,0.0,0.0,1.2926,jetson,1
5,1.4591,0.0,0.0,0.0,1.9666,jetson,1
6,1.484,0.0,0.0,0.0,1.812,jetson,1
7,1.4822,0.0,0.0,0.0,1.6814,jetson,1
8,2.7995,0.0,0.0,0.0,1.0022,jetson,1
9,0.0465,0.0,0.0,0.0,0.1843,jetson,1
