stage,little,medium,big,vulkan,cuda,device,run
1,1.088,0.0,0.0,0.0,0.3464,jetson,1
2,5.7432,0.0,0.0,0.0,2.4514,jetson,1
3,0.9388,0.0,0.0,0.0,1.8481,jetson,1
4,4.6302,0.0,0.0,0.0,1.0824,jetson,1
5,0.2988,0.0,0.0,0.0,0.2835,jetson,1
6,0.8347,0.0,0.0,0.0,1.9959,jetson,1
7,1.3858,0.0,0.0,0.0,1.3558,jetson,1
1,1.1866,0.0,0.0,0.0,0.3607,jetson,1
2,5.6832,0.0,0.0,0.0,1.9385,jetson,1
3,0.9107,0.0,0.0,0.0,2.0284,jetson,1
4,4.2677,0.0,0.0,0.0,1.059,jetson,1
5,0.3076,0.0,0.0,0.0,0.3304,jetson,1
6,0.8829,0.0,0.0,0.0,1.6687,jetson,1
7,1.7892,0.0,0.0,0.0,1.2242,jetson,1
1,1.1202,0.0,0.0,0.0,0.3574,jetson,1
2,4.7127,0.0,0.0,0.0,2.0238,jetson,1
3,0.9021,0.0,0.0,0.0,2.2231,jetson,1
4,4.2454,0.0,0.0,0.0,1.0404,jetson,1
5,0.3053,0.0,0.0,0.0,0.2776,jetson,1
6,0.8491,0.0,0.0,0.0,1.5902,jetson,1
7,1.4223,0.0,0.0,0.0,1.2209,jetson,1
