stage,little,medium,big,vulkan,cuda,device,run
1,77.4887,0.0,0.0,0.0,7.8089,jetsonlowpower,1
2,8.7874,0.0,0.0,0.0,0.9909,jetsonlowpower,1
3,193.1973,0.0,0.0,0.0,18.3997,jetsonlowpower,1
4,5.5602,0.0,0.0,0.0,0.6197,jetsonlowpower,1
5,186.4352,0.0,0.0,0.0,18.0421,jetsonlowpower,1
6,360.5281,0.0,0.0,0.0,33.7995,jetsonlowpower,1
7,366.3024,0.0,0.0,0.0,34.3408,jetsonlowpower,1
8,3.3263,0.0,0.0,0.0,0.4387,jetsonlowpower,1
9,1.1043,0.0,0.0,0.0,0.9667,jetsonlowpower,1
1,79.9615,0.0,0.0,0.0,8.185,jetsonlowpower,1
2,8.7986,0.0,0.0,0.0,1.1529,jetsonlowpower,1
3,189.5274,0.0,0.0,0.0,18.642,jetsonlowpower,1
4,5.3767,0.0,0.0,0.0,0.588,jetsonlowpower,1
5,184.2714,0.0,0.0,0.0,17.5497,jetsonlowpower,1
6,369.8545,0.0,0.0,0.0,34.6739,jetsonlowpower,1
7,385.5906,0.0,0.0,0.0,36.1491,jetsonlowpower,1
8,3.5475,0.0,0.0,0.0,0.4368,jetsonlowpower,1
9,1.1225,0.0,0.0,0.0,1.006,jetsonlowpower,1
1,80.196,0.0,0.0,0.0,8.0818,jetsonlowpower,1
2,8.6541,0.0,0.0,0.0,1.0009,jetsonlowpower,1
3,186.6192,0.0,0.0,0.0,17.7733,jetsonlowpower,1
4,5.065,0.0,0.0,0.0,0.6104,jetsonlowpower,1
5,183.1487,0.0,0.0,0.0,17.4427,jetsonlowpower,1
6,376.4756,0.0,0.0,0.0,35.2946,jetsonlowpower,1
7,379.9573,0.0,0.0,0.0,35.621,jetsonlowpower,1
8,3.3642,0.0,0.0,0.0,0.442,jetsonlowpower,1
9,1.1342,0.0,0.0,0.0,1.0156,jetsonlowpower,1
