stage,little,medium,big,vulkan,cuda,device,run
1,8.8786,0.0,0.0,0.0,11.916,jetsonlowpower,1
2,17.2193,0.0,0.0,0.0,2.9308,jetsonlowpower,1
3,4.4615,0.0,0.0,0.0,4.8449,jetsonlowpower,1
4,8.6499,0.0,0.0,0.0,1.8096,jetsonlowpower,1
5,2.5562,0.0,0.0,0.0,2.7339,jetsonlowpower,1
6,2.5092,0.0,0.0,0.0,2.6651,jetsonlowpower,1
7,2.5312,0.0,0.0,0.0,2.7104,jetsonlowpower,1
8,4.8519,0.0,0.0,0.0,1.3505,jetsonlowpower,1
9,0.0245,0.0,0.0,0.0,0.3117,jetsonlowpower,1
1,8.3578,0.0,0.0,0.0,9.2994,jetsonlowpower,1
2,16.2884,0.0,0.0,0.0,2.9409,jetsonlowpower,1
3,4.4524,0.0,0.0,0.0,5.04,jetsonlowpower,1
4,8.6875,0.0,0.0,0.0,1.9586,jetsonlowpower,1
5,2.4968,0.0,0.0,0.0,2.6724,jetsonlowpower,1
6,2.5576,0.0,0.0,0.0,2.5744,jetsonlowpower,1
7,2.6095,0.0,0.0,0.0,2.6043,jetsonlowpower,1
8,4.7561,0.0,0.0,0.0,1.3459,jetsonlowpower,1
9,0.0238,0.0,0.0,0.0,0.5457,jetsonlowpower,1
1,8.4272,0.0,0.0,0.0,9.5275,jetsonlowpower,1
2,16.4558,0.0,0.0,0.0,3.1751,jetsonlowpower,1
3,4.3746,0.0,0.0,0.0,5.0356,jetsonlowpower,1
4,8.6256,0.0,0.0,0.0,2.0185,jetsonlowpower,1
5,2.5484,0.0,0.0,0.0,2.7946,jetsonlowpower,1
6,2.5556,0.0,0.0,0.0,3.057,jetsonlowpower,1
7,2.5901,0.0,0.0,0.0,2.8332,jetsonlowpower,1
8,4.7828,0.0,0.0,0.0,1.3096,jetsonlowpower,1
9,0.024,0.0,0.0,0.0,0.5662,jetsonlowpower,1
1,8.4811,0.0,0.0,0.0,9.5793,jetsonlowpower,1
2,16.5203,0.0,0.0,0.0,3.0057,jetsonlowpower,1
3,4.3995,0.0,0.0,0.0,4.986,jetsonlowpower,1
4,8.6196,0.0,0.0,0.0,2.0336,jetsonlowpower,1
5,2.57,0.0,0.0,0.0,2.7087,jetsonlowpower,1
6,2.5591,0.0,0.0,0.0,2.6638,jetsonlowpower,1
7,2.6633,0.0,0.0,0.0,2.7293,jetsonlowpower,1
8,4.6557,0.0,0.0,0.0,1.2947,jetsonlowpower,1
9,0.0237,0.0,0.0,0.0,0.2752,jetsonlowpower,1
