stage,little,medium,big,vulkan,cuda,device,run
1,1.8395,0.0,0.0,0.0,0.791,jetsonlowpower,1
2,6.6555,0.0,0.0,0.0,3.988,jetsonlowpower,1
3,1.3203,0.0,0.0,0.0,3.2964,jetsonlowpower,1
4,8.3043,0.0,0.0,0.0,2.3477,jetsonlowpower,1
5,0.5573,0.0,0.0,0.0,0.5867,jetsonlowpower,1
6,1.2213,0.0,0.0,0.0,3.543,jetsonlowpower,1
7,2.8776,0.0,0.0,0.0,2.1722,jetsonlowpower,1
1,2.2559,0.0,0.0,0.0,0.5021,jetsonlowpower,1
2,7.1609,0.0,0.0,0.0,3.8858,jetsonlowpower,1
3,1.3652,0.0,0.0,0.0,2.917,jetsonlowpower,1
4,8.12,0.0,0.0,0.0,2.4618,jetsonlowpower,1
5,0.5383,0.0,0.0,0.0,0.8417,jetsonlowpower,1
6,1.396,0.0,0.0,0.0,3.3796,jetsonlowpower,1
7,2.8339,0.0,0.0,0.0,2.2839,jetsonlowpower,1
1,2.2548,0.0,0.0,0.0,0.516,jetsonlowpower,1
2,7.1298,0.0,0.0,0.0,3.669,jetsonlowpower,1
3,1.3194,0.0,0.0,0.0,3.5954,jetsonlowpower,1
4,8.1667,0.0,0.0,0.0,2.5823,jetsonlowpower,1
5,0.6503,0.0,0.0,0.0,0.4729,jetsonlowpower,1
6,1.084,0.0,0.0,0.0,3.2662,jetsonlowpower,1
7,2.8498,0.0,0.0,0.0,2.1558,jetsonlowpower,1
