stage,little,medium,big,vulkan,device,run
1,175.75,62.0294,63.9091,0.6768,3A021JEHN02756,1
2,10.4531,3.3174,3.7797,0.3053,3A021JEHN02756,1
3,421.4,150.5,191.5455,0.5125,3A021JEHN02756,1
4,5.6106,1.8176,2.321,0.2694,3A021JEHN02756,1
5,429.8,134.3125,195.3636,0.8375,3A021JEHN02756,1
6,747.0,280.125,373.5,1.4666,3A021JEHN02756,1
7,744.3333,279.125,372.1667,1.263,3A021JEHN02756,1
8,3.4374,0.9466,1.2051,0.253,3A021JEHN02756,1
9,1.4638,0.6929,0.7079,0.5797,3A021JEHN02756,1
1,169.75,59.9118,61.7273,0.5712,3A021JEHN02756,2
2,10.025,3.6061,3.916,0.3295,3A021JEHN02756,2
3,448.2,149.4,203.7273,0.5938,3A021JEHN02756,2
4,5.0453,1.7741,2.297,0.2689,3A021JEHN02756,2
5,525.5,140.1333,191.0909,0.8128,3A021JEHN02756,2
6,820.0,307.5,410.0,1.6037,3A021JEHN02756,2
7,759.0,284.625,379.5,1.4912,3A021JEHN02756,2
8,2.5866,0.9497,1.2458,0.2361,3A021JEHN02756,2
9,1.4699,0.6944,0.698,0.5514,3A021JEHN02756,2
1,172.5,60.8824,62.7273,0.6399,3A021JEHN02756,3
2,10.0905,3.3245,4.1148,0.2985,3A021JEHN02756,3
3,442.2,157.9286,201.0,0.5367,3A021JEHN02756,3
4,5.3583,1.8888,2.2466,0.2821,3A021JEHN02756,3
5,386.3333,165.5714,210.7273,0.9539,3A021JEHN02756,3
6,750.0,281.25,375.0,1.4349,3A021JEHN02756,3
7,737.3333,316.0,368.6667,1.3671,3A021JEHN02756,3
8,2.7367,1.0193,1.2187,0.2477,3A021JEHN02756,3
9,1.3443,0.6905,0.667,0.5692,3A021JEHN02756,3
