stage,little,medium,big,vulkan,device,run
1,35.9286,6.2484,5.3228,2.7637,9b034f1b,1
2,29.0857,15.4242,10.0792,2.7663,9b034f1b,1
3,19.3269,3.3278,2.4632,2.5379,9b034f1b,1
4,15.7188,7.8594,5.1066,1.4926,9b034f1b,1
5,10.2653,1.9648,1.4371,1.3613,9b034f1b,1
6,9.9901,1.9746,1.4312,1.3617,9b034f1b,1
7,10.7634,1.998,1.4219,1.4219,9b034f1b,1
8,8.7895,4.1405,2.7603,0.8721,9b034f1b,1
9,0.0794,0.017,0.0148,0.2909,9b034f1b,1
1,37.5185,6.2531,4.6898,4.9657,9b034f1b,1
2,29.7647,15.1045,9.9216,2.7425,9b034f1b,1
3,19.7451,3.3125,2.4621,2.4383,9b034f1b,1
4,15.5077,7.814,5.0653,1.4955,9b034f1b,1
5,10.3711,1.9764,1.4249,1.3558,9b034f1b,1
6,10.828,1.9784,1.4284,1.3553,9b034f1b,1
7,11.0769,1.9726,1.4278,1.4379,9b034f1b,1
8,9.5,4.1612,2.7665,0.8764,9b034f1b,1
9,0.0816,0.0168,0.0148,0.2911,9b034f1b,1
1,36.25,6.227,4.6991,4.9512,9b034f1b,2
2,29.6176,15.2576,9.9703,2.2938,9b034f1b,2
3,19.1132,3.3322,2.5136,2.4528,9b034f1b,2
4,15.4923,7.8062,5.0603,1.4896,9b034f1b,2
5,10.7742,1.957,1.5345,1.3504,9b034f1b,2
6,10.2551,1.9667,1.4255,1.3526,9b034f1b,2
7,10.05,1.9667,1.4235,1.3636,9b034f1b,2
8,8.3667,4.1148,2.7357,0.8715,9b034f1b,2
9,0.1383,0.0167,0.0124,0.3525,9b034f1b,2
1,35.4828,6.3913,4.831,2.8347,9b034f1b,1
2,31.6562,15.3485,9.7404,2.5262,9b034f1b,1
3,18.4182,3.3322,2.4889,2.4828,9b034f1b,1
4,15.75,7.875,5.0909,1.5484,9b034f1b,1
5,11.022,1.9628,1.4227,1.3554,9b034f1b,1
6,10.7128,1.9862,1.4243,1.4183,9b034f1b,1
7,10.9239,1.9745,1.4276,1.3526,9b034f1b,1
8,8.2541,4.127,2.7818,0.8711,9b034f1b,1
9,0.0847,0.0167,0.0148,0.2891,9b034f1b,1
1,35.1379,6.2515,4.7395,2.6958,9b034f1b,2
2,31.8438,15.4394,9.9902,3.0059,9b034f1b,2
3,18.4,3.3289,2.4988,2.4504,9b034f1b,2
4,15.4,7.8203,5.1071,1.4896,9b034f1b,2
5,10.1414,1.9725,1.4241,1.3549,9b034f1b,2
6,10.4021,1.9784,1.4332,1.3617,9b034f1b,2
7,10.734,1.9746,1.4353,1.358,9b034f1b,2
8,8.2049,4.1193,2.7961,0.8674,9b034f1b,2
9,0.087,0.0172,0.0146,0.2901,9b034f1b,2
1,37.6111,6.2879,4.7233,2.6619,9b034f1b,1
2,29.9701,15.0977,9.8431,2.3241,9b034f1b,1
3,18.3273,3.2995,2.4645,2.4318,9b034f1b,1
4,15.6797,7.8706,5.1069,1.5462,9b034f1b,1
5,10.1675,1.9484,1.4135,1.3488,9b034f1b,1
6,10.3679,1.9832,1.4151,1.3466,9b034f1b,1
7,10.2245,1.957,1.4143,1.3477,9b034f1b,1
8,8.4244,4.0918,2.8003,0.8627,9b034f1b,1
9,0.1235,0.0168,0.0144,0.2932,9b034f1b,1
1,35.5439,6.2338,4.7226,2.4322,9b034f1b,2
2,29.5294,15.2121,9.8431,2.1685,9b034f1b,2
3,18.6019,3.2989,2.462,2.4176,9b034f1b,2
4,15.9286,7.9016,5.0682,1.5356,9b034f1b,2
5,10.4375,1.9609,1.4183,1.3477,9b034f1b,2
6,10.3196,1.9724,1.4168,1.3436,9b034f1b,2
7,10.3351,1.9523,1.415,1.3484,9b034f1b,2
8,9.6298,4.1214,2.7326,0.9479,9b034f1b,2
9,0.1281,0.0168,0.0141,0.2942,9b034f1b,2
1,35.3684,6.2031,4.6775,2.4086,9b034f1b,3
2,29.3333,15.218,9.9216,2.1532,9b034f1b,3
3,18.785,3.3059,2.4602,2.4217,9b034f1b,3
4,15.9048,7.7977,5.0863,1.4801,9b034f1b,3
5,10.2296,1.958,1.416,1.3474,9b034f1b,3
6,10.2923,1.958,1.4194,1.3479,9b034f1b,3
7,10.3938,1.9609,1.4207,1.3499,9b034f1b,3
8,8.4873,4.1299,2.7178,0.866,9b034f1b,3
9,0.1213,0.0167,0.0143,0.2881,9b034f1b,3
