stage,little,medium,big,vulkan,device,run
1,142.8,57.6286,48.6667,1.0631,3A021JEHN02756,1
2,6.3981,3.1559,2.6587,0.7581,3A021JEHN02756,1
3,324.0,131.875,114.2778,0.9222,3A021JEHN02756,1
4,3.4075,1.5329,1.3143,0.5569,3A021JEHN02756,1
5,306.4286,135.0667,112.3333,1.1944,3A021JEHN02756,1
6,609.25,252.75,226.2222,1.9637,3A021JEHN02756,1
7,602.25,251.0,231.3333,1.8218,3A021JEHN02756,1
8,1.7247,0.7711,0.6647,0.5097,3A021JEHN02756,1
9,1.0547,0.5653,0.4786,1.3034,3A021JEHN02756,1
1,142.5333,60.0882,47.0698,1.1685,3A021JEHN02756,2
2,6.3587,3.1071,2.6751,0.7079,3A021JEHN02756,2
3,322.8571,131.5625,125.8125,1.0126,3A021JEHN02756,2
4,3.4349,1.5612,1.3162,0.5763,3A021JEHN02756,2
5,307.0,131.375,113.5,1.428,3A021JEHN02756,2
6,608.75,245.6667,222.5,2.0789,3A021JEHN02756,2
7,606.75,260.0,220.8,2.1548,3A021JEHN02756,2
8,1.702,0.7954,0.6679,0.5277,3A021JEHN02756,2
9,1.034,0.5701,0.4767,1.3107,3A021JEHN02756,2
1,141.9333,58.1714,49.1707,1.1323,3A021JEHN02756,3
2,6.4121,3.146,2.6658,0.6732,3A021JEHN02756,3
3,322.8571,130.1875,117.9412,0.9906,3A021JEHN02756,3
4,3.4017,1.5282,1.3364,0.6311,3A021JEHN02756,3
5,305.5714,128.8125,119.8235,1.4536,3A021JEHN02756,3
6,607.5,253.25,231.7778,2.1387,3A021JEHN02756,3
7,612.75,256.375,234.6667,2.2455,3A021JEHN02756,3
8,1.6661,0.7979,0.6743,0.3971,3A021JEHN02756,3
9,1.0362,0.5685,0.4856,1.2889,3A021JEHN02756,3
