stage,little,medium,big,vulkan,device,run
1,140.0667,72.4483,47.75,0.8625,9b034f1b,1
2,11.7824,3.8743,2.5006,0.3733,9b034f1b,1
3,361.0,180.5,114.0,0.6012,9b034f1b,1
4,6.5672,1.9599,1.2542,0.3017,9b034f1b,1
5,356.5,178.25,106.95,0.6195,9b034f1b,1
6,615.5,410.3333,246.2,1.0086,9b034f1b,1
7,629.5,419.6667,251.8,1.0332,9b034f1b,1
8,4.5271,0.9751,0.6228,0.3127,9b034f1b,1
9,1.1627,0.754,0.466,1.4161,9b034f1b,1
1,144.1429,69.5862,45.8636,0.8277,9b034f1b,2
2,11.6127,3.8934,2.505,0.372,9b034f1b,2
3,433.6,180.6667,120.4444,0.6702,9b034f1b,2
4,6.4199,1.9371,1.2534,0.301,9b034f1b,2
5,361.0,180.5,120.3333,0.5908,9b034f1b,2
6,626.75,417.8333,250.7,1.0241,9b034f1b,2
7,630.25,420.1667,252.1,1.0349,9b034f1b,2
8,6.6545,0.9662,0.6293,0.3411,9b034f1b,2
9,1.1674,0.734,0.4687,1.4191,9b034f1b,2
1,149.9286,74.9643,48.814,0.8842,9b034f1b,3
2,14.4029,3.9565,2.4932,0.4267,9b034f1b,3
3,362.1667,181.0833,127.8235,0.5994,9b034f1b,3
4,5.926,1.9428,1.2519,0.2978,9b034f1b,3
5,363.0,181.5,114.6316,0.5964,9b034f1b,3
6,699.6667,349.8333,209.9,0.9275,9b034f1b,3
7,634.75,423.1667,253.9,1.0483,9b034f1b,3
8,3.48,0.9723,0.6292,0.2655,9b034f1b,3
9,1.3188,0.7434,0.4627,1.5224,9b034f1b,3
1,159.3077,71.4138,45.0217,0.9225,9b034f1b,1
2,12.4074,3.9105,2.5156,0.3731,9b034f1b,1
3,360.0,180.0,113.6842,0.5916,9b034f1b,1
4,5.8912,1.9561,1.2726,0.3,9b034f1b,1
5,424.4,176.8333,106.1,0.6297,9b034f1b,1
6,612.5,408.3333,245.0,1.0078,9b034f1b,1
7,696.0,348.0,208.8,0.8533,9b034f1b,1
8,3.8668,0.9681,0.6321,0.2663,9b034f1b,1
9,1.2002,0.732,0.4647,1.4259,9b034f1b,1
1,140.5333,70.2667,47.9091,0.8618,9b034f1b,2
2,10.7112,3.9352,2.5006,0.3676,9b034f1b,2
3,375.3333,187.6667,125.1111,0.6195,9b034f1b,2
4,6.0301,1.9269,1.2528,0.2985,9b034f1b,2
5,357.5,178.75,112.8947,0.5891,9b034f1b,2
6,616.5,411.0,246.6,1.0094,9b034f1b,2
7,704.3333,352.1667,211.3,0.9337,9b034f1b,2
8,3.1168,0.9625,0.6332,0.2634,9b034f1b,2
9,1.1932,0.7386,0.4676,1.4262,9b034f1b,2
1,145.7857,72.8929,45.3556,0.8375,9b034f1b,3
2,10.7742,3.9217,2.5113,0.3673,9b034f1b,3
3,432.6,180.25,113.8421,0.6684,9b034f1b,3
4,6.4581,1.925,1.2567,0.301,9b034f1b,3
5,425.6,177.3333,106.4,0.6285,9b034f1b,3
6,634.5,423.0,253.8,1.1078,9b034f1b,3
7,616.0,410.6667,246.4,1.0157,9b034f1b,3
8,3.7472,0.9648,0.6308,0.2651,9b034f1b,3
9,1.184,0.7419,0.4709,1.4324,9b034f1b,3
1,139.6667,72.2414,47.6136,0.8527,9b034f1b,1
2,11.6628,3.8951,2.5106,0.3727,9b034f1b,1
3,362.0,181.0,114.3158,0.5943,9b034f1b,1
4,6.68,1.9513,1.2556,0.3026,9b034f1b,1
5,358.3333,179.1667,113.1579,0.5833,9b034f1b,1
6,707.3333,353.6667,212.2,0.9461,9b034f1b,1
7,623.25,415.5,249.3,1.0213,9b034f1b,1
8,3.4106,0.9852,0.6378,0.2644,9b034f1b,1
9,1.1748,0.735,0.4686,1.4186,9b034f1b,1
1,148.5,71.6897,46.2,0.852,9b034f1b,2
2,14.8889,3.9105,2.5188,0.4279,9b034f1b,2
3,359.6667,179.8333,113.5789,0.5882,9b034f1b,2
4,6.4757,1.9296,1.2561,0.3016,9b034f1b,2
5,359.3333,179.6667,107.8,0.5851,9b034f1b,2
6,614.5,409.6667,245.8,1.0124,9b034f1b,2
7,703.3333,351.6667,211.0,0.925,9b034f1b,2
8,4.4865,0.9662,0.6279,0.305,9b034f1b,2
9,1.2054,0.7346,0.4712,1.4121,9b034f1b,2
1,150.4286,72.6207,46.8,0.8713,9b034f1b,3
2,17.4435,3.9256,2.5044,0.4464,9b034f1b,3
3,352.3333,192.1818,111.2632,0.5793,9b034f1b,3
4,5.929,1.957,1.2564,0.2999,9b034f1b,3
5,358.1667,179.0833,107.45,0.587,9b034f1b,3
6,751.3333,375.6667,225.4,0.9567,9b034f1b,3
7,615.75,410.5,246.3,1.0127,9b034f1b,3
8,3.4433,0.963,0.6398,0.2678,9b034f1b,3
9,1.2344,0.733,0.4683,1.4811,9b034f1b,3
