stage,little,medium,big,vulkan,device,run
1,129.0625,75.4444,70.3103,1.5503,9b034f1b,1
2,8.9289,4.117,4.7919,0.9935,9b034f1b,1
3,291.2857,192.2727,205.2,1.1613,9b034f1b,1
4,4.4578,2.0682,2.347,0.9611,9b034f1b,1
5,283.5,191.7273,179.5,1.2615,9b034f1b,1
6,549.0,379.8333,346.0,1.4974,9b034f1b,1
7,549.25,377.3333,391.0,1.4624,9b034f1b,1
8,2.2455,1.0341,1.0504,0.9381,9b034f1b,1
9,1.0346,0.7853,0.6843,2.2444,9b034f1b,1
1,125.9375,76.4074,69.0,1.5657,9b034f1b,2
2,8.9244,4.1429,3.006,1.0487,9b034f1b,2
3,297.1429,192.9091,180.6667,1.223,9b034f1b,2
4,4.439,2.0682,1.8985,0.9506,9b034f1b,2
5,280.25,191.1818,203.4,1.2693,9b034f1b,2
6,554.25,378.0,266.75,1.5431,9b034f1b,2
7,557.5,377.6667,257.0,1.5302,9b034f1b,2
8,2.238,1.0341,0.8689,0.8839,9b034f1b,2
9,1.0351,0.7845,0.9251,2.2242,9b034f1b,2
1,125.1875,75.5185,69.1379,1.4486,9b034f1b,3
2,8.8628,4.134,4.9925,1.0346,9b034f1b,3
3,293.4286,191.5455,116.7778,1.2025,9b034f1b,3
4,4.481,2.0671,2.4062,0.9484,9b034f1b,3
5,285.375,191.0909,191.5455,1.2685,9b034f1b,3
6,552.25,378.5,378.6667,1.4819,9b034f1b,3
7,547.0,379.3333,241.5556,1.4706,9b034f1b,3
8,2.2305,1.033,1.0438,0.8769,9b034f1b,3
9,1.0309,0.7853,0.8846,2.2316,9b034f1b,3
1,126.375,74.2222,71.0,1.5053,9b034f1b,1
2,8.9509,4.1193,4.195,1.0341,9b034f1b,1
3,298.0,191.4545,139.6667,1.2184,9b034f1b,1
4,4.491,2.0628,2.5025,0.9565,9b034f1b,1
5,280.125,191.2727,201.0909,1.1375,9b034f1b,1
6,557.75,376.6667,400.6667,1.4574,9b034f1b,1
7,551.5,378.3333,251.375,1.4602,9b034f1b,1
8,2.2405,1.0299,1.2201,0.8966,9b034f1b,1
9,1.0282,0.7832,0.7809,2.2369,9b034f1b,1
1,126.375,75.0741,86.875,1.0729,9b034f1b,2
2,8.8938,4.1004,4.9653,1.003,9b034f1b,2
3,295.8571,191.8182,180.75,1.2297,9b034f1b,2
4,4.4754,2.065,1.4032,0.9466,9b034f1b,2
5,282.25,191.0,179.0,1.262,9b034f1b,2
6,551.25,378.1667,352.1667,1.5325,9b034f1b,2
7,551.0,377.5,374.8333,1.5341,9b034f1b,2
8,2.2441,1.0336,1.2314,0.9104,9b034f1b,2
9,1.0261,0.786,0.9333,2.2108,9b034f1b,2
1,124.7059,73.8214,89.1739,1.5064,9b034f1b,3
2,8.9067,4.1109,4.9238,1.0351,9b034f1b,3
3,296.0,191.7273,181.0,1.2379,9b034f1b,3
4,4.4732,2.0597,1.7161,0.6943,9b034f1b,3
5,283.5,190.2727,114.1111,1.259,9b034f1b,3
6,552.25,378.6667,389.6667,1.54,9b034f1b,3
7,551.5,376.3333,394.6667,1.5302,9b034f1b,3
8,2.2596,1.0309,1.0168,0.8777,9b034f1b,3
9,1.0367,0.785,0.7991,2.2305,9b034f1b,3
1,125.3125,73.6786,57.7143,1.5337,9b034f1b,1
2,8.9111,4.134,3.2135,1.0378,9b034f1b,1
3,294.2857,192.5455,218.0,1.246,9b034f1b,1
4,4.4655,2.0629,2.008,0.9561,9b034f1b,1
5,279.75,190.1818,197.0909,1.2693,9b034f1b,1
6,554.75,378.3333,352.0,1.5267,9b034f1b,1
7,551.25,378.3333,352.0,1.5503,9b034f1b,1
8,2.2444,1.0325,1.2321,0.8819,9b034f1b,1
9,1.0626,0.7838,0.9311,2.2319,9b034f1b,1
1,127.4375,73.7143,61.697,1.5349,9b034f1b,2
2,8.8628,4.1045,4.9044,1.0357,9b034f1b,2
3,294.2857,194.1818,178.75,1.2127,9b034f1b,2
4,4.461,2.0649,2.2802,0.9552,9b034f1b,2
5,281.25,191.7273,196.8182,1.2491,9b034f1b,2
6,551.0,376.6667,347.6667,1.4667,9b034f1b,2
7,552.5,380.3333,379.1667,1.5337,9b034f1b,2
8,2.2444,1.0314,1.0543,0.8762,9b034f1b,2
9,1.0298,0.7853,0.9264,2.233,9b034f1b,2
1,126.1875,74.7037,78.1923,1.5475,9b034f1b,3
2,8.8761,4.132,4.8783,1.0132,9b034f1b,3
3,293.1429,192.3636,213.7,1.1343,9b034f1b,3
4,4.6092,2.0649,1.3156,0.49,9b034f1b,3
5,286.25,192.4545,157.7692,1.2693,9b034f1b,3
6,582.0,380.6667,348.8333,1.4811,9b034f1b,3
7,565.75,376.8333,351.3333,1.5325,9b034f1b,3
8,2.2369,1.0336,1.0487,0.8875,9b034f1b,3
9,1.0256,0.7829,0.8238,2.2011,9b034f1b,3
