stage,little,medium,big,vulkan,device,run
1,33.7333,6.6611,6.4263,5.378,9b034f1b,1
2,27.1351,16.2097,10.1465,3.5896,9b034f1b,1
3,17.2137,3.5353,4.753,3.2998,9b034f1b,1
4,13.9444,8.3849,7.121,1.7252,9b034f1b,1
5,9.6587,2.1096,1.9203,2.1481,9b034f1b,1
6,9.3148,2.1096,2.5038,2.1206,9b034f1b,1
7,9.3598,2.1052,2.7411,2.1309,9b034f1b,1
8,7.1792,4.4141,5.4822,2.2758,9b034f1b,1
9,0.0337,0.0171,0.0164,0.8629,9b034f1b,1
1,33.4,6.6512,5.8455,5.3556,9b034f1b,2
2,27.04,16.2581,19.6373,3.6043,9b034f1b,2
3,17.3276,3.5371,4.7106,3.3124,9b034f1b,2
4,13.8828,8.3891,5.8567,2.2122,9b034f1b,2
5,9.4038,2.1084,2.7806,2.1377,9b034f1b,2
6,9.3395,2.1084,1.9362,2.1274,9b034f1b,2
7,9.3598,2.4296,1.5793,2.1319,9b034f1b,2
8,7.1864,4.4172,5.361,2.3034,9b034f1b,2
9,0.0343,0.017,0.0131,0.8682,9b034f1b,2
1,33.2295,6.6238,9.0588,5.3556,9b034f1b,3
2,27.0946,16.2016,17.4087,3.5943,9b034f1b,3
3,17.3276,3.5371,2.7188,3.2395,9b034f1b,3
4,13.9097,8.3766,8.7304,2.2242,9b034f1b,3
5,9.3535,2.1152,1.5868,2.1106,9b034f1b,3
6,9.3488,2.1118,2.8211,2.1218,9b034f1b,3
7,9.3256,2.1118,1.4613,2.123,9b034f1b,3
8,7.1935,4.4358,4.936,2.3049,9b034f1b,3
9,0.0337,0.0169,0.0122,0.8667,9b034f1b,3
