stage,little,medium,big,vulkan,cuda,device,run
1,25.402,5.7838,6.7221,4.411,0.0,3A021JEHN02756,1
2,32.8627,12.8923,18.4176,2.6025,0.0,3A021JEHN02756,1
3,13.625,3.7113,4.5335,2.6196,0.0,3A021JEHN02756,1
4,16.0769,7.3873,10.4066,2.1667,0.0,3A021JEHN02756,1
5,7.8943,2.0889,2.9476,1.9551,0.0,3A021JEHN02756,1
6,8.2167,2.1375,2.9009,1.9217,0.0,3A021JEHN02756,1
7,9.2362,2.2368,2.7719,1.9187,0.0,3A021JEHN02756,1
8,10.412,5.0798,4.6956,1.4632,0.0,3A021JEHN02756,1
9,0.0761,0.022,0.0172,0.3834,0.0,3A021JEHN02756,1
1,24.5317,5.6002,6.5739,4.3093,0.0,3A021JEHN02756,2
2,32.3419,12.987,18.7753,2.5616,0.0,3A021JEHN02756,2
3,13.892,3.642,4.3991,2.9622,0.0,3A021JEHN02756,2
4,16.4967,7.2892,9.9307,2.189,0.0,3A021JEHN02756,2
5,8.3819,2.0807,2.7738,1.9128,0.0,3A021JEHN02756,2
6,8.1135,2.1587,3.0012,1.6174,0.0,3A021JEHN02756,2
7,9.1239,2.3019,3.3216,1.917,0.0,3A021JEHN02756,2
8,10.6844,5.1874,8.2826,1.4592,0.0,3A021JEHN02756,2
9,0.0873,0.0228,0.0316,0.3948,0.0,3A021JEHN02756,2
1,25.9124,5.6293,6.6058,3.9273,0.0,3A021JEHN02756,3
2,35.7872,13.3492,19.8661,2.2397,0.0,3A021JEHN02756,3
3,14.8083,3.7158,4.7403,2.2653,0.0,3A021JEHN02756,3
4,16.6844,7.5292,10.1455,1.8202,0.0,3A021JEHN02756,3
5,8.168,2.1807,2.7941,1.962,0.0,3A021JEHN02756,3
6,8.2049,2.1371,2.7621,1.9228,0.0,3A021JEHN02756,3
7,9.027,2.371,2.6907,1.924,0.0,3A021JEHN02756,3
8,10.9194,5.4656,8.0709,1.2403,0.0,3A021JEHN02756,3
9,0.0989,0.0222,0.0331,0.4292,0.0,3A021JEHN02756,3
1,21.205,5.6437,5.2518,3.6993,0.0,3A021JEHN02756,1
2,26.9679,12.4827,13.448,2.4014,0.0,3A021JEHN02756,1
3,13.2152,2.9479,3.6433,2.5914,0.0,3A021JEHN02756,1
4,14.0336,6.5576,8.0806,1.8009,0.0,3A021JEHN02756,1
5,8.0466,1.8088,2.4498,1.9081,0.0,3A021JEHN02756,1
6,7.8529,2.2009,2.63,1.6114,0.0,3A021JEHN02756,1
7,7.4731,2.088,2.6201,1.9206,0.0,3A021JEHN02756,1
8,7.8866,3.8434,5.0843,1.265,0.0,3A021JEHN02756,1
9,0.0456,0.0163,0.0149,0.3356,0.0,3A021JEHN02756,1
1,21.1555,5.7216,5.3735,3.6886,0.0,3A021JEHN02756,2
2,27.7912,12.5821,14.5764,2.2928,0.0,3A021JEHN02756,2
3,13.9749,3.0461,3.9597,2.0965,0.0,3A021JEHN02756,2
4,15.4938,7.5489,10.3505,1.8045,0.0,3A021JEHN02756,2
5,7.7686,2.1399,2.7354,1.9228,0.0,3A021JEHN02756,2
6,7.6443,2.1388,2.6534,1.9024,0.0,3A021JEHN02756,2
7,8.1163,2.1056,2.6766,1.6128,0.0,3A021JEHN02756,2
8,10.0522,4.2174,4.6266,1.454,0.0,3A021JEHN02756,2
9,0.0765,0.0172,0.0148,0.3915,0.0,3A021JEHN02756,2
1,23.77,5.657,6.491,3.653,0.0,3A021JEHN02756,3
2,32.25,12.4222,18.8427,2.2281,0.0,3A021JEHN02756,3
3,14.4769,3.4214,4.5536,2.2482,0.0,3A021JEHN02756,3
4,15.4092,7.2161,9.7812,1.7956,0.0,3A021JEHN02756,3
5,7.7975,2.0525,2.6856,1.9517,0.0,3A021JEHN02756,3
6,8.1382,2.0837,2.6384,1.9016,0.0,3A021JEHN02756,3
7,8.3494,2.1481,2.514,1.9389,0.0,3A021JEHN02756,3
8,10.2408,4.9683,4.394,1.452,0.0,3A021JEHN02756,3
9,0.0814,0.0204,0.0144,0.3993,0.0,3A021JEHN02756,3
