stage,little,medium,big,vulkan,cuda,device,run
1,2.0574,0.756,0.5045,1.5422,0.0,3A021JEHN02756,1
2,2.2854,0.7122,0.6452,24.5122,0.0,3A021JEHN02756,1
3,1.5688,0.2391,0.2062,0.2075,0.0,3A021JEHN02756,1
4,10.8065,5.1327,4.3276,4.1529,0.0,3A021JEHN02756,1
5,0.844,0.2042,0.1613,0.7307,0.0,3A021JEHN02756,1
6,0.6508,0.2179,0.2013,0.2066,0.0,3A021JEHN02756,1
7,4.1317,1.6756,1.4382,1.8471,0.0,3A021JEHN02756,1
1,2.0595,0.7371,0.6452,1.5639,0.0,3A021JEHN02756,2
2,2.2802,0.714,0.6614,25.175,0.0,3A021JEHN02756,2
3,1.5639,0.2333,0.2498,0.233,0.0,3A021JEHN02756,2
4,10.5729,5.2408,4.6574,3.7286,0.0,3A021JEHN02756,2
5,0.8385,0.2063,0.1839,0.7859,0.0,3A021JEHN02756,2
6,0.6577,0.2187,0.2269,0.224,0.0,3A021JEHN02756,2
7,4.1446,1.6784,1.6171,1.7907,0.0,3A021JEHN02756,2
1,2.0386,0.7706,0.6454,1.5328,0.0,3A021JEHN02756,3
2,2.3248,0.7349,0.6875,24.8049,0.0,3A021JEHN02756,3
3,1.5962,0.2345,0.2482,0.2375,0.0,3A021JEHN02756,3
4,10.8172,5.1224,4.7762,4.157,0.0,3A021JEHN02756,3
5,0.8713,0.2056,0.1878,0.7907,0.0,3A021JEHN02756,3
6,0.6488,0.224,0.2312,0.217,0.0,3A021JEHN02756,3
7,4.166,1.6812,1.6266,1.837,0.0,3A021JEHN02756,3
1,20.38,6.2485,5.0098,7.9466,0.0,3A021JEHN02756,1
2,23.5227,14.2533,11.9186,8.0758,0.0,3A021JEHN02756,1
3,10.5612,3.2158,2.5787,5.8022,0.0,3A021JEHN02756,1
4,12.9012,7.1678,6.4088,4.444,0.0,3A021JEHN02756,1
5,5.7955,1.8362,1.4949,3.2147,0.0,3A021JEHN02756,1
6,5.8693,1.7692,1.6732,3.0,0.0,3A021JEHN02756,1
7,6.0173,1.8086,1.5043,2.8494,0.0,3A021JEHN02756,1
8,6.9013,3.7662,3.2154,2.6269,0.0,3A021JEHN02756,1
9,0.0252,0.0132,0.0112,0.4604,0.0,3A021JEHN02756,1
1,20.5714,6.6899,4.8905,8.7273,0.0,3A021JEHN02756,2
2,22.9318,14.0789,11.907,7.705,0.0,3A021JEHN02756,2
3,10.3535,3.2091,2.5586,5.2108,0.0,3A021JEHN02756,2
4,15.2353,7.0867,5.9143,4.3388,0.0,3A021JEHN02756,2
5,5.8693,1.8307,1.534,3.346,0.0,3A021JEHN02756,2
6,5.9091,1.8524,1.6128,3.3053,0.0,3A021JEHN02756,2
7,5.875,1.8048,1.5159,3.1898,0.0,3A021JEHN02756,2
8,6.7632,3.7679,3.1091,2.7506,0.0,3A021JEHN02756,2
9,0.0248,0.0126,0.011,0.4473,0.0,3A021JEHN02756,2
1,21.9565,6.5963,4.8454,8.582,0.0,3A021JEHN02756,3
2,24.7857,14.3514,11.4111,7.1769,0.0,3A021JEHN02756,3
3,10.28,3.3091,2.5664,5.7833,0.0,3A021JEHN02756,3
4,12.4337,7.1149,6.0529,4.7703,0.0,3A021JEHN02756,3
5,5.88,1.8207,1.5058,3.1903,0.0,3A021JEHN02756,3
6,5.9034,1.8319,1.6176,3.3031,0.0,3A021JEHN02756,3
7,5.9314,1.8356,1.6172,2.6438,0.0,3A021JEHN02756,3
8,6.7124,3.8129,3.1745,2.4528,0.0,3A021JEHN02756,3
9,0.0247,0.0132,0.0108,0.4614,0.0,3A021JEHN02756,3
1,169.0,64.0,55.5263,1.0394,0.0,3A021JEHN02756,1
2,6.6689,3.573,3.0456,0.6316,0.0,3A021JEHN02756,1
3,366.0,141.375,137.375,0.8685,0.0,3A021JEHN02756,1
4,3.3712,1.6756,1.4735,0.524,0.0,3A021JEHN02756,1
5,331.25,133.375,125.75,1.3604,0.0,3A021JEHN02756,1
6,654.5,258.75,239.6,1.817,0.0,3A021JEHN02756,1
7,656.0,258.25,250.6,2.2461,0.0,3A021JEHN02756,1
8,1.6492,0.82,0.7335,0.4479,0.0,3A021JEHN02756,1
9,1.067,0.588,0.533,1.2322,0.0,3A021JEHN02756,1
1,169.1667,62.75,56.5556,1.0728,0.0,3A021JEHN02756,2
2,6.6424,3.5658,3.0862,0.5732,0.0,3A021JEHN02756,2
3,366.3333,145.1429,134.375,0.8358,0.0,3A021JEHN02756,2
4,3.3533,1.7012,1.5068,0.5452,0.0,3A021JEHN02756,2
5,329.5,136.875,120.7778,1.3572,0.0,3A021JEHN02756,2
6,650.5,246.8,248.0,2.1069,0.0,3A021JEHN02756,2
7,654.0,246.4,239.8,2.3218,0.0,3A021JEHN02756,2
8,1.6755,0.8022,0.7319,0.4669,0.0,3A021JEHN02756,2
9,1.0957,0.5885,0.5396,1.195,0.0,3A021JEHN02756,2
1,167.6667,64.375,56.1667,1.0245,0.0,3A021JEHN02756,3
2,6.6424,3.573,3.0892,0.5989,0.0,3A021JEHN02756,3
3,367.3333,138.5,134.5,0.8868,0.0,3A021JEHN02756,3
4,3.2866,1.6303,1.4978,0.5115,0.0,3A021JEHN02756,3
5,330.0,135.75,124.0,1.2601,0.0,3A021JEHN02756,3
6,652.5,258.75,252.75,2.2483,0.0,3A021JEHN02756,3
7,651.5,258.5,260.0,2.1779,0.0,3A021JEHN02756,3
8,1.621,0.8191,0.7453,0.4912,0.0,3A021JEHN02756,3
9,1.0648,0.5863,0.5192,1.2457,0.0,3A021JEHN02756,3
