stage,little,medium,big,vulkan,cuda,device,run
1,37.7368,6.8659,5.019,2.6305,0.0,9b034f1b,1
2,30.018,15.0994,9.791,2.1872,0.0,9b034f1b,1
3,18.7341,3.5176,2.446,2.4048,0.0,9b034f1b,1
4,15.234,7.7826,5.1723,1.4815,0.0,9b034f1b,1
5,10.1582,2.0754,1.4171,1.3383,0.0,9b034f1b,1
6,9.9483,2.0729,1.418,1.3408,0.0,9b034f1b,1
7,10.1501,2.0999,1.4172,1.338,0.0,9b034f1b,1
8,8.4435,4.2979,2.7406,0.8729,0.0,9b034f1b,1
9,0.0939,0.0166,0.0146,0.2862,0.0,9b034f1b,1
1,35.4366,6.6561,4.6421,3.9653,0.0,9b034f1b,2
2,28.8851,15.2303,9.7973,2.4002,0.0,9b034f1b,2
3,18.2883,3.5165,2.4456,2.4149,0.0,9b034f1b,2
4,15.3558,7.7975,5.1134,1.4819,0.0,9b034f1b,2
5,10.5189,2.0682,1.4164,1.3373,0.0,9b034f1b,2
6,10.3347,2.0868,1.4134,1.3374,0.0,9b034f1b,2
7,10.4593,2.141,1.4177,1.3428,0.0,9b034f1b,2
8,8.7178,4.1527,2.7419,0.8657,0.0,9b034f1b,2
9,0.1328,0.017,0.0129,0.3545,0.0,9b034f1b,2
1,36.442,6.8051,4.6695,2.4424,0.0,9b034f1b,3
2,31.7911,15.2212,9.849,2.8686,0.0,9b034f1b,3
3,18.5519,3.5225,2.4494,2.4093,0.0,9b034f1b,3
4,15.231,7.8297,5.0977,1.4808,0.0,9b034f1b,3
5,10.2643,2.0733,1.4234,1.3389,0.0,9b034f1b,3
6,10.2184,2.0836,1.4132,1.3388,0.0,9b034f1b,3
7,10.5305,2.0764,1.4234,1.3396,0.0,9b034f1b,3
8,8.991,4.3322,2.8915,0.8713,0.0,9b034f1b,3
9,0.1241,0.0181,0.0134,0.3468,0.0,9b034f1b,3
1,35.3239,6.6525,4.7232,2.5922,0.0,9b034f1b,1
2,30.622,15.1722,9.9249,2.6856,0.0,9b034f1b,1
3,18.348,3.52,2.4422,2.4117,0.0,9b034f1b,1
4,15.65,7.8372,5.0484,1.4795,0.0,9b034f1b,1
5,10.4075,2.0677,1.436,1.3389,0.0,9b034f1b,1
6,10.3155,2.0708,1.4129,1.3416,0.0,9b034f1b,1
7,10.0502,2.069,1.4134,1.3422,0.0,9b034f1b,1
8,8.3417,4.1295,2.726,0.8634,0.0,9b034f1b,1
9,0.0788,0.0169,0.0147,0.2849,0.0,9b034f1b,1
1,35.539,6.7082,4.6657,2.6304,0.0,9b034f1b,2
2,29.0,15.2492,9.9347,2.4654,0.0,9b034f1b,2
3,18.3971,3.5116,2.4374,2.4081,0.0,9b034f1b,2
4,15.3119,7.7748,5.0322,1.4718,0.0,9b034f1b,2
5,10.3175,2.0712,1.4144,1.338,0.0,9b034f1b,2
6,10.2082,2.0678,1.4432,1.3364,0.0,9b034f1b,2
7,10.25,2.0712,1.4142,1.3392,0.0,9b034f1b,2
8,8.4544,4.1025,2.75,0.8662,0.0,9b034f1b,2
9,0.0824,0.0166,0.0147,0.2867,0.0,9b034f1b,2
1,35.1888,6.6915,4.6679,2.5261,0.0,9b034f1b,3
2,30.4182,15.1175,9.7836,2.9146,0.0,9b034f1b,3
3,18.2774,3.5193,2.4417,2.417,0.0,9b034f1b,3
4,15.1758,7.8006,5.0586,1.4755,0.0,9b034f1b,3
5,10.1111,2.075,1.4138,1.3379,0.0,9b034f1b,3
6,10.1071,2.0802,1.4125,1.3363,0.0,9b034f1b,3
7,10.1051,2.0798,1.4122,1.3439,0.0,9b034f1b,3
8,8.8151,4.0974,2.7256,0.9117,0.0,9b034f1b,3
9,0.0824,0.0169,0.0148,0.2867,0.0,9b034f1b,3
