stage,little,medium,big,vulkan,cuda,device,run
1,2.6552,0.9312,1.1401,1.6784,0.0,9b034f1b,1
2,1.5854,0.8637,2.1163,43.375,0.0,9b034f1b,1
3,0.6932,0.3654,0.6951,0.22,0.0,9b034f1b,1
4,8.3667,6.8836,7.4851,2.5612,0.0,9b034f1b,1
5,0.7142,0.3219,0.317,1.1335,0.0,9b034f1b,1
6,0.354,0.3368,0.5308,0.1889,0.0,9b034f1b,1
7,4.102,2.1389,2.6342,2.1663,0.0,9b034f1b,1
1,2.672,0.9217,0.8651,1.4247,0.0,9b034f1b,2
2,1.5656,0.9251,2.8931,42.875,0.0,9b034f1b,2
3,0.6849,0.37,0.5225,0.2188,0.0,9b034f1b,2
4,8.2131,6.8562,7.9683,2.5303,0.0,9b034f1b,2
5,0.7266,0.2369,0.3105,1.2632,0.0,9b034f1b,2
6,0.3533,0.303,0.5227,0.1874,0.0,9b034f1b,2
7,4.1317,2.141,2.6909,2.1826,0.0,9b034f1b,2
1,2.6342,0.9226,0.8177,1.6633,0.0,9b034f1b,3
2,1.5755,0.8659,2.7883,42.3333,0.0,9b034f1b,3
3,0.683,0.3646,0.6796,0.2195,0.0,9b034f1b,3
4,8.2623,6.8973,8.281,2.2922,0.0,9b034f1b,3
5,0.7114,0.2417,0.292,1.1451,0.0,9b034f1b,3
6,0.3497,0.2969,0.4583,0.1873,0.0,9b034f1b,3
7,4.1066,2.0983,2.4963,2.1524,0.0,9b034f1b,3
1,35.4483,7.1857,10.7128,5.8488,0.0,9b034f1b,1
2,27.3784,16.3065,19.7451,3.7463,0.0,9b034f1b,1
3,17.5,3.8213,4.386,3.3725,0.0,9b034f1b,1
4,14.0986,8.4,9.6923,2.8905,0.0,9b034f1b,1
5,9.3925,2.2539,2.8931,2.1826,0.0,9b034f1b,1
6,9.4486,2.2489,2.8793,2.157,0.0,9b034f1b,1
7,9.4112,2.2461,2.8931,2.2596,0.0,9b034f1b,1
8,7.3043,4.4425,5.4216,2.2613,0.0,9b034f1b,1
9,0.0341,0.0168,0.046,0.858,0.0,9b034f1b,1
1,33.7667,7.2014,8.1707,5.4728,0.0,9b034f1b,2
2,27.0811,16.2419,18.7407,3.6974,0.0,9b034f1b,2
3,17.3966,3.8244,4.0732,3.3624,0.0,9b034f1b,2
4,14.3286,8.3917,9.6731,2.338,0.0,9b034f1b,2
5,9.3519,2.2444,2.4062,2.1456,0.0,9b034f1b,2
6,9.3241,2.2489,2.7255,2.1319,0.0,9b034f1b,2
7,9.3519,2.2489,2.8466,2.2141,0.0,9b034f1b,2
8,7.3139,4.4185,5.01,2.3403,0.0,9b034f1b,2
9,0.0313,0.0167,0.0392,0.8645,0.0,9b034f1b,2
1,33.6333,7.1929,8.2377,5.4432,0.0,9b034f1b,3
2,27.1351,16.2419,19.7451,3.6509,0.0,9b034f1b,3
3,17.3448,3.8137,4.5225,3.3612,0.0,9b034f1b,3
4,14.0278,8.375,10.1515,2.29,0.0,9b034f1b,3
5,9.4112,2.2494,2.7729,2.1874,0.0,9b034f1b,3
6,9.5619,2.2444,2.3171,2.1783,0.0,9b034f1b,3
7,9.4528,2.2489,1.8922,2.2168,0.0,9b034f1b,3
8,7.4044,4.4273,5.3069,2.3679,0.0,9b034f1b,3
9,0.0347,0.0169,0.0457,0.8668,0.0,9b034f1b,3
1,149.0,73.4286,88.25,1.5439,0.0,9b034f1b,1
2,9.0541,4.2321,4.9703,1.0405,0.0,9b034f1b,1
3,348.3333,191.6667,201.2,1.2444,0.0,9b034f1b,1
4,4.5475,2.1205,2.0811,0.9625,0.0,9b034f1b,1
5,327.75,191.1667,205.8,1.2447,0.0,9b034f1b,1
6,646.0,378.3333,361.0,1.5455,0.0,9b034f1b,1
7,638.0,380.3333,368.3333,1.5526,0.0,9b034f1b,1
8,2.2545,1.0593,1.2594,0.8915,0.0,9b034f1b,1
9,1.0362,0.7882,0.9524,2.2922,0.0,9b034f1b,1
1,147.7143,73.2143,78.5385,1.5583,0.0,9b034f1b,2
2,9.0631,4.2415,4.5339,1.0879,0.0,9b034f1b,2
3,346.0,192.1667,214.8,1.2475,0.0,9b034f1b,2
4,4.5067,2.1184,2.4988,0.9625,0.0,9b034f1b,2
5,326.25,190.5,205.0,1.3468,0.0,9b034f1b,2
6,640.0,377.0,354.6667,1.5376,0.0,9b034f1b,2
7,644.0,376.3333,366.0,1.5455,0.0,9b034f1b,2
8,2.2411,1.0637,1.2752,0.8931,0.0,9b034f1b,2
9,1.0372,0.7869,0.9338,2.2664,0.0,9b034f1b,2
1,150.1429,72.9286,77.1538,1.5535,0.0,9b034f1b,3
2,9.0811,4.2236,4.2101,1.047,0.0,9b034f1b,3
3,347.6667,190.1667,186.5,1.2383,0.0,9b034f1b,3
4,4.5067,2.1139,2.0597,0.9598,0.0,9b034f1b,3
5,326.0,189.3333,202.0,1.2429,0.0,9b034f1b,3
6,636.5,380.6667,363.0,1.536,0.0,9b034f1b,3
7,639.5,375.0,360.0,1.5502,0.0,9b034f1b,3
8,2.259,1.0626,0.6998,0.8358,0.0,9b034f1b,3
9,1.0351,0.7882,0.9488,2.2568,0.0,9b034f1b,3
