stage,little,medium,big,vulkan,cuda,device,run
1,3.9409,0.898,0.6212,0.5107,0.0,9b034f1b,1
2,1.9226,1.0652,1.343,25.206,0.0,9b034f1b,1
3,0.6736,0.3416,0.6257,0.3728,0.0,9b034f1b,1
4,8.3123,6.3262,4.2015,1.4371,0.0,9b034f1b,1
5,1.5238,0.2316,0.1714,0.5141,0.0,9b034f1b,1
6,0.3482,0.2877,0.4094,0.3463,0.0,9b034f1b,1
7,6.2369,1.9128,1.3734,1.2803,0.0,9b034f1b,1
1,3.3713,0.9057,0.6277,0.4703,0.0,9b034f1b,1
2,1.8179,1.0131,1.5154,25.6923,0.0,9b034f1b,1
3,0.6833,0.3897,0.514,0.4168,0.0,9b034f1b,1
4,8.9659,6.3977,4.1381,1.5197,0.0,9b034f1b,1
5,1.0804,0.237,0.1874,0.3832,0.0,9b034f1b,1
6,0.3456,0.2548,0.4773,0.3021,0.0,9b034f1b,1
7,6.2084,1.9107,1.3732,1.3323,0.0,9b034f1b,1
1,3.4284,0.9148,0.6261,0.4671,0.0,9b034f1b,1
2,2.0763,1.1418,1.4223,25.6821,0.0,9b034f1b,1
3,0.6905,0.3644,0.5582,0.4367,0.0,9b034f1b,1
4,8.3679,6.3583,4.5,1.4509,0.0,9b034f1b,1
5,1.0595,0.238,0.189,0.3832,0.0,9b034f1b,1
6,0.353,0.2901,0.4598,0.2759,0.0,9b034f1b,1
7,6.4555,1.9635,1.3673,1.3331,0.0,9b034f1b,1
