stage,little,medium,big,vulkan,cuda,device,run
1,58.2105,0.0,36.8667,2.9651,0.0,R9TR30814KJ,1
2,426.3333,0.0,319.75,75.2353,0.0,R9TR30814KJ,1
3,250.6,0.0,78.3125,139.2222,0.0,R9TR30814KJ,1
4,215.6,0.0,179.6667,11.4681,0.0,R9TR30814KJ,1
5,76.4667,0.0,47.7917,2.336,0.0,R9TR30814KJ,1
6,116.0,0.0,61.4118,54.9474,0.0,R9TR30814KJ,1
7,193.0,0.0,128.6667,11.3529,0.0,R9TR30814KJ,1
1,48.4783,0.0,22.7551,3.6799,0.0,R9TR30814KJ,2
2,370.0,0.0,222.0,65.2941,0.0,R9TR30814KJ,2
3,257.4,0.0,85.8,143.0,0.0,R9TR30814KJ,2
4,242.6,0.0,202.1667,14.1047,0.0,R9TR30814KJ,2
5,73.2,0.0,43.92,2.3462,0.0,R9TR30814KJ,2
6,104.0,0.0,61.1765,52.0,0.0,R9TR30814KJ,2
7,217.1667,0.0,162.875,12.4095,0.0,R9TR30814KJ,2
1,46.3913,0.0,22.2292,3.8659,0.0,R9TR30814KJ,3
2,273.75,0.0,182.5,64.4118,0.0,R9TR30814KJ,3
3,246.4,0.0,77.0,136.8889,0.0,R9TR30814KJ,3
4,219.0,0.0,182.5,12.033,0.0,R9TR30814KJ,3
5,66.9333,0.0,41.8333,1.9842,0.0,R9TR30814KJ,3
6,113.2,0.0,80.8571,87.0769,0.0,R9TR30814KJ,3
7,208.5,0.0,139.0,12.7653,0.0,R9TR30814KJ,3
1,372.0,0.0,496.0,48.0,0.0,R9TR30814KJ,1
2,398.6667,0.0,398.6667,22.566,0.0,R9TR30814KJ,1
3,183.8333,0.0,183.8333,19.6964,0.0,R9TR30814KJ,1
4,256.6,0.0,256.6,12.219,0.0,R9TR30814KJ,1
5,134.375,0.0,153.5714,10.0467,0.0,R9TR30814KJ,1
6,110.7,0.0,110.7,10.3458,0.0,R9TR30814KJ,1
7,112.9,0.0,125.4444,10.8558,0.0,R9TR30814KJ,1
8,116.8889,0.0,116.8889,5.1823,0.0,R9TR30814KJ,1
9,3.9375,0.0,1.7439,0.7185,0.0,R9TR30814KJ,1
1,403.3333,0.0,403.3333,39.0323,0.0,R9TR30814KJ,2
2,409.6667,0.0,409.6667,24.58,0.0,R9TR30814KJ,2
3,225.5,0.0,225.5,24.1607,0.0,R9TR30814KJ,2
4,258.0,0.0,258.0,10.32,0.0,R9TR30814KJ,2
5,116.0,0.0,104.4,9.6667,0.0,R9TR30814KJ,2
6,106.0,0.0,106.0,9.6364,0.0,R9TR30814KJ,2
7,98.8182,0.0,98.8182,10.2547,0.0,R9TR30814KJ,2
8,128.875,0.0,114.5556,5.0539,0.0,R9TR30814KJ,2
9,2.9588,0.0,2.8258,0.5388,0.0,R9TR30814KJ,2
1,380.25,0.0,507.0,49.0645,0.0,R9TR30814KJ,3
2,399.0,0.0,399.0,22.5849,0.0,R9TR30814KJ,3
3,203.6667,0.0,203.6667,23.5,0.0,R9TR30814KJ,3
4,285.25,0.0,228.2,11.0777,0.0,R9TR30814KJ,3
5,115.4444,0.0,115.4444,9.6204,0.0,R9TR30814KJ,3
6,116.2222,0.0,104.6,9.4234,0.0,R9TR30814KJ,3
7,91.5833,0.0,91.5833,10.4667,0.0,R9TR30814KJ,3
8,117.7778,0.0,117.7778,5.1961,0.0,R9TR30814KJ,3
9,3.6473,0.0,4.4978,0.6805,0.0,R9TR30814KJ,3
1,5970.0,0.0,5970.0,24.5679,0.0,R9TR30814KJ,1
2,152.7143,0.0,39.5926,3.0113,0.0,R9TR30814KJ,1
3,18679.0,0.0,18679.0,58.9243,0.0,R9TR30814KJ,1
4,99.1818,0.0,30.3056,1.7074,0.0,R9TR30814KJ,1
5,14053.0,0.0,14053.0,30.818,0.0,R9TR30814KJ,1
6,27150.0,0.0,27150.0,85.9177,0.0,R9TR30814KJ,1
7,27289.0,0.0,27289.0,85.8145,0.0,R9TR30814KJ,1
8,52.3,0.0,18.0345,1.0275,0.0,R9TR30814KJ,1
9,24.561,0.0,20.9792,4.0442,0.0,R9TR30814KJ,1
1,5842.0,0.0,5842.0,23.5565,0.0,R9TR30814KJ,2
2,158.7143,0.0,50.5,3.0861,0.0,R9TR30814KJ,2
3,14825.0,0.0,14825.0,57.4612,0.0,R9TR30814KJ,2
4,102.5,0.0,17.9825,1.6776,0.0,R9TR30814KJ,2
5,13830.0,0.0,13830.0,40.7965,0.0,R9TR30814KJ,2
6,27055.0,0.0,27055.0,85.347,0.0,R9TR30814KJ,2
7,27186.0,0.0,27186.0,87.4148,0.0,R9TR30814KJ,2
8,68.0667,0.0,23.7442,1.0261,0.0,R9TR30814KJ,2
9,22.5556,0.0,19.5192,4.0438,0.0,R9TR30814KJ,2
1,5866.0,0.0,5866.0,29.1841,0.0,R9TR30814KJ,3
2,144.0,0.0,42.0,2.7466,0.0,R9TR30814KJ,3
3,14366.0,0.0,14366.0,55.4672,0.0,R9TR30814KJ,3
4,126.875,0.0,37.5926,1.7233,0.0,R9TR30814KJ,3
5,13828.0,0.0,13828.0,40.4327,0.0,R9TR30814KJ,3
6,27518.0,0.0,27518.0,88.1987,0.0,R9TR30814KJ,3
7,27059.0,0.0,27059.0,86.1752,0.0,R9TR30814KJ,3
8,53.8947,0.0,18.2857,1.0089,0.0,R9TR30814KJ,3
9,23.4318,0.0,19.4528,3.722,0.0,R9TR30814KJ,3
