stage,little,medium,big,vulkan,cuda,device,run
1,173.8333,61.3529,52.15,0.6884,0.0,3A021JEHN02756,1
2,9.036,3.246,3.0862,0.3423,0.0,3A021JEHN02756,1
3,383.3333,143.75,164.2857,0.7219,0.0,3A021JEHN02756,1
4,5.2021,1.6064,1.6988,0.2631,0.0,3A021JEHN02756,1
5,371.0,139.125,139.125,0.9587,0.0,3A021JEHN02756,1
6,653.0,326.5,326.5,1.6143,0.0,3A021JEHN02756,1
7,658.0,329.0,329.0,1.5057,0.0,3A021JEHN02756,1
8,3.1709,0.8743,0.8371,0.2354,0.0,3A021JEHN02756,1
9,1.1708,0.58,0.5524,0.797,0.0,3A021JEHN02756,1
1,176.8333,58.9444,55.8421,0.7164,0.0,3A021JEHN02756,1
2,9.0631,3.3533,3.0578,0.3521,0.0,3A021JEHN02756,1
3,396.6667,148.75,148.75,0.7508,0.0,3A021JEHN02756,1
4,5.4457,1.6672,1.6869,0.2659,0.0,3A021JEHN02756,1
5,364.0,136.5,156.0,0.9176,0.0,3A021JEHN02756,1
6,671.5,335.75,335.75,1.6872,0.0,3A021JEHN02756,1
7,661.5,330.75,330.75,1.66,0.0,3A021JEHN02756,1
8,3.5158,0.852,0.866,0.2387,0.0,3A021JEHN02756,1
9,1.1802,0.5943,0.5722,0.6901,0.0,3A021JEHN02756,1
1,178.5,59.5,59.5,0.7055,0.0,3A021JEHN02756,1
2,10.5684,3.3355,3.3245,0.3438,0.0,3A021JEHN02756,1
3,434.0,162.75,217.0,0.7286,0.0,3A021JEHN02756,1
4,6.6358,1.7012,1.7925,0.2864,0.0,3A021JEHN02756,1
5,392.0,147.0,168.0,1.0164,0.0,3A021JEHN02756,1
6,720.5,360.25,360.25,1.8194,0.0,3A021JEHN02756,1
7,714.5,357.25,357.25,1.7975,0.0,3A021JEHN02756,1
8,3.5532,0.897,0.9672,0.2443,0.0,3A021JEHN02756,1
9,1.2636,0.6259,0.6087,0.6887,0.0,3A021JEHN02756,1
