stage,little,medium,big,vulkan,cuda,device,run
1,230.8,76.1429,95.2727,0.8857,0.0,3A021JEHN02756,1
2,8.9386,4.3276,5.1827,0.5176,0.0,3A021JEHN02756,1
3,457.3333,176.8333,225.8,0.7681,0.0,3A021JEHN02756,1
4,4.3532,2.0881,2.5945,0.4234,0.0,3A021JEHN02756,1
5,437.0,171.0,205.6,1.2192,0.0,3A021JEHN02756,1
6,863.5,325.0,388.6667,1.8828,0.0,3A021JEHN02756,1
7,762.5,328.5,404.6667,1.6471,0.0,3A021JEHN02756,1
8,1.8059,1.0163,1.1976,0.4152,0.0,3A021JEHN02756,1
9,1.1284,0.6929,0.8524,1.0904,0.0,3A021JEHN02756,1
1,155.7143,58.6111,54.1579,1.1094,0.0,3A021JEHN02756,1
2,6.526,3.181,2.7658,0.5585,0.0,3A021JEHN02756,1
3,348.3333,134.875,126.25,0.8005,0.0,3A021JEHN02756,1
4,3.3986,1.573,1.3726,0.4764,0.0,3A021JEHN02756,1
5,331.25,130.25,119.4444,1.3219,0.0,3A021JEHN02756,1
6,660.0,255.25,226.6,1.4578,0.0,3A021JEHN02756,1
7,654.0,262.5,227.6,1.9363,0.0,3A021JEHN02756,1
8,1.675,0.7814,0.6849,0.4343,0.0,3A021JEHN02756,1
9,1.1393,0.6107,0.5091,1.2367,0.0,3A021JEHN02756,1
1,154.4286,61.3529,57.2778,1.0648,0.0,3A021JEHN02756,1
2,6.5325,3.2323,2.8385,0.6123,0.0,3A021JEHN02756,1
3,348.3333,137.625,134.0,0.9143,0.0,3A021JEHN02756,1
4,3.5618,1.578,1.3994,0.4601,0.0,3A021JEHN02756,1
5,335.6667,132.375,122.2222,1.3124,0.0,3A021JEHN02756,1
6,663.5,263.5,244.8,1.8818,0.0,3A021JEHN02756,1
7,655.0,256.75,249.4,1.6874,0.0,3A021JEHN02756,1
8,1.768,0.8274,0.7357,0.4196,0.0,3A021JEHN02756,1
9,1.1395,0.5888,0.5285,1.2909,0.0,3A021JEHN02756,1
1,154.0,57.4444,56.4444,1.0879,0.0,3A021JEHN02756,1
2,6.4839,3.2704,2.9157,0.5949,0.0,3A021JEHN02756,1
3,345.0,137.375,128.625,0.9681,0.0,3A021JEHN02756,1
4,3.2532,1.5739,1.4314,0.5268,0.0,3A021JEHN02756,1
5,332.0,133.875,122.4444,1.2781,0.0,3A021JEHN02756,1
6,650.5,264.25,244.0,2.125,0.0,3A021JEHN02756,1
7,651.0,265.25,244.6,2.2137,0.0,3A021JEHN02756,1
8,1.7285,0.8315,0.7303,0.5364,0.0,3A021JEHN02756,1
9,1.0524,0.6137,0.5333,1.2463,0.0,3A021JEHN02756,1
1,161.7143,62.5882,57.0556,1.0924,0.0,3A021JEHN02756,1
2,8.3583,3.5532,2.8905,0.5627,0.0,3A021JEHN02756,1
3,363.6667,141.625,133.125,0.8623,0.0,3A021JEHN02756,1
4,3.4486,1.6426,1.4543,0.5138,0.0,3A021JEHN02756,1
5,330.5,133.625,127.625,1.3285,0.0,3A021JEHN02756,1
6,648.0,262.25,249.2,2.1383,0.0,3A021JEHN02756,1
7,650.0,254.25,258.75,2.2619,0.0,3A021JEHN02756,1
8,1.6941,0.7913,0.7224,0.4845,0.0,3A021JEHN02756,1
9,1.0579,0.593,0.5282,1.2797,0.0,3A021JEHN02756,1
1,173.0,62.4706,57.0,1.1118,0.0,3A021JEHN02756,1
2,7.3285,3.5623,3.0272,0.615,0.0,3A021JEHN02756,1
3,376.3333,151.8571,133.75,0.9036,0.0,3A021JEHN02756,1
4,3.6655,1.7128,1.5306,0.4799,0.0,3A021JEHN02756,1
5,329.5,135.875,136.25,1.3302,0.0,3A021JEHN02756,1
6,647.5,268.25,245.6,2.1545,0.0,3A021JEHN02756,1
7,656.5,262.5,268.25,2.0875,0.0,3A021JEHN02756,1
8,1.7114,0.8252,0.7637,0.4432,0.0,3A021JEHN02756,1
9,1.1116,0.5878,0.5713,1.1595,0.0,3A021JEHN02756,1
1,153.5714,64.0625,57.0,1.0974,0.0,3A021JEHN02756,1
2,6.513,3.1981,3.0151,0.6059,0.0,3A021JEHN02756,1
3,345.3333,139.25,132.625,0.9193,0.0,3A021JEHN02756,1
4,3.6223,1.6562,1.437,0.4897,0.0,3A021JEHN02756,1
5,330.5,127.875,130.875,1.2748,0.0,3A021JEHN02756,1
6,648.0,264.75,263.0,1.6551,0.0,3A021JEHN02756,1
7,649.0,253.75,247.6,2.2217,0.0,3A021JEHN02756,1
8,1.7179,0.8245,0.7147,0.4567,0.0,3A021JEHN02756,1
9,1.0691,0.5901,0.5316,1.1884,0.0,3A021JEHN02756,1
