stage,little,medium,big,vulkan,cuda,device,run
1,154.7143,56.4444,51.95,1.0704,0.0,3A021JEHN02756,1
2,6.327,3.2115,3.003,0.6086,0.0,3A021JEHN02756,1
3,353.3333,140.125,131.375,0.89,0.0,3A021JEHN02756,1
4,3.2244,1.6083,1.4308,0.5361,0.0,3A021JEHN02756,1
5,331.0,125.25,123.2222,1.4008,0.0,3A021JEHN02756,1
6,651.5,251.75,255.5,2.2489,0.0,3A021JEHN02756,1
7,650.0,257.5,226.2,2.2066,0.0,3A021JEHN02756,1
8,1.6965,0.7884,0.7198,0.4511,0.0,3A021JEHN02756,1
9,1.096,0.6085,0.5192,1.0973,0.0,3A021JEHN02756,1
1,153.2857,57.0,51.45,1.0121,0.0,3A021JEHN02756,2
2,6.3,3.2013,2.8067,0.638,0.0,3A021JEHN02756,2
3,350.0,136.125,125.125,0.8791,0.0,3A021JEHN02756,2
4,3.3455,1.5632,1.3821,0.5355,0.0,3A021JEHN02756,2
5,330.25,130.625,117.3333,1.3373,0.0,3A021JEHN02756,2
6,652.0,258.25,238.8,2.0407,0.0,3A021JEHN02756,2
7,653.5,258.75,231.8,2.3824,0.0,3A021JEHN02756,2
8,1.6823,0.7845,0.713,0.5293,0.0,3A021JEHN02756,2
9,1.0959,0.6087,0.4936,1.2214,0.0,3A021JEHN02756,2
1,152.8571,57.1111,53.1053,1.034,0.0,3A021JEHN02756,3
2,6.2812,3.3179,2.9384,0.5197,0.0,3A021JEHN02756,3
3,375.6667,131.375,131.5,0.957,0.0,3A021JEHN02756,3
4,3.4403,1.6346,1.437,0.5436,0.0,3A021JEHN02756,3
5,335.3333,131.25,126.75,1.3577,0.0,3A021JEHN02756,3
6,650.5,247.0,236.8,2.1453,0.0,3A021JEHN02756,3
7,649.0,263.0,246.4,2.2562,0.0,3A021JEHN02756,3
8,1.7256,0.8022,0.7395,0.5186,0.0,3A021JEHN02756,3
9,1.1178,0.5987,0.5378,1.1828,0.0,3A021JEHN02756,3
