stage,little,medium,big,vulkan,cuda,device,run
1,21.9149,5.6593,4.7032,4.2041,0.0,3A021JEHN02756,1
2,26.8462,13.0875,12.0345,2.6777,0.0,3A021JEHN02756,1
3,11.5618,3.1957,2.7079,3.0901,0.0,3A021JEHN02756,1
4,13.0988,6.9346,6.8452,1.9832,0.0,3A021JEHN02756,1
5,7.1528,1.7428,1.6721,2.0559,0.0,3A021JEHN02756,1
6,6.3145,1.8388,1.6568,1.9457,0.0,3A021JEHN02756,1
7,6.4013,1.8207,1.675,1.9862,0.0,3A021JEHN02756,1
8,7.0069,3.528,3.5035,1.2457,0.0,3A021JEHN02756,1
9,0.035,0.0151,0.0135,0.3001,0.0,3A021JEHN02756,1
1,21.7917,5.9771,4.8651,4.3583,0.0,3A021JEHN02756,1
2,26.575,13.2875,12.5059,2.3781,0.0,3A021JEHN02756,1
3,11.5843,3.0324,2.8961,2.087,0.0,3A021JEHN02756,1
4,13.8052,6.9477,6.9026,1.4909,0.0,3A021JEHN02756,1
5,6.9527,1.7179,1.8053,1.649,0.0,3A021JEHN02756,1
6,6.649,1.7707,1.6959,1.9648,0.0,3A021JEHN02756,1
7,6.931,1.7268,1.7063,1.9402,0.0,3A021JEHN02756,1
8,7.4126,3.7857,3.8828,1.2802,0.0,3A021JEHN02756,1
9,0.0344,0.0189,0.0127,0.2699,0.0,3A021JEHN02756,1
1,21.8696,5.6517,5.2396,4.9314,0.0,3A021JEHN02756,1
2,28.1053,13.6923,13.8701,2.7385,0.0,3A021JEHN02756,1
3,12.679,3.1894,3.2603,2.7169,0.0,3A021JEHN02756,1
4,14.4857,6.76,7.0417,2.214,0.0,3A021JEHN02756,1
5,7.9134,1.757,1.9327,1.6502,0.0,3A021JEHN02756,1
6,7.6136,1.6891,2.0594,1.9706,0.0,3A021JEHN02756,1
7,7.937,1.7379,2.0488,2.2252,0.0,3A021JEHN02756,1
8,8.1371,3.5528,4.1352,1.456,0.0,3A021JEHN02756,1
9,0.0597,0.0138,0.0135,0.3163,0.0,3A021JEHN02756,1
