stage,little,medium,big,vulkan,cuda,device,run
1,29.7941,6.3949,5.1538,4.3233,0.0,3A021JEHN02756,1
2,107.5,15.0896,14.3,4.0526,0.0,3A021JEHN02756,1
3,14.2394,3.5352,3.229,3.0181,0.0,3A021JEHN02756,1
4,16.2419,7.0704,8.0806,2.4255,0.0,3A021JEHN02756,1
5,7.9291,2.008,1.8336,1.7811,0.0,3A021JEHN02756,1
6,7.4925,1.8087,1.8853,2.1481,0.0,3A021JEHN02756,1
7,7.9603,2.0325,1.9032,1.4963,0.0,3A021JEHN02756,1
8,8.2114,4.2101,4.5294,1.8152,0.0,3A021JEHN02756,1
9,0.0335,0.0137,0.0156,0.3686,0.0,3A021JEHN02756,1
1,19.9216,5.8343,4.2983,4.4957,0.0,3A021JEHN02756,1
2,23.6591,13.4304,10.9891,4.7162,0.0,3A021JEHN02756,1
3,10.4286,3.1138,2.2484,4.2169,0.0,3A021JEHN02756,1
4,14.1918,6.8431,5.6593,4.6079,0.0,3A021JEHN02756,1
5,5.908,1.8055,1.3662,3.3146,0.0,3A021JEHN02756,1
6,5.9711,1.8296,1.3119,3.186,0.0,3A021JEHN02756,1
7,6.1053,1.7409,1.3,2.047,0.0,3A021JEHN02756,1
8,6.4906,3.6414,3.0151,2.4,0.0,3A021JEHN02756,1
9,0.025,0.0129,0.0106,0.4297,0.0,3A021JEHN02756,1
1,19.7647,5.462,4.4739,7.6475,0.0,3A021JEHN02756,1
2,23.5682,12.8902,10.9894,6.5875,0.0,3A021JEHN02756,1
3,10.4848,3.064,2.3656,3.7695,0.0,3A021JEHN02756,1
4,13.0625,6.8269,5.6033,3.0171,0.0,3A021JEHN02756,1
5,5.9257,1.7829,1.3438,2.0629,0.0,3A021JEHN02756,1
6,6.0457,1.777,1.3507,2.4128,0.0,3A021JEHN02756,1
7,5.9767,1.8268,1.4913,3.0767,0.0,3A021JEHN02756,1
8,6.7647,3.7158,3.1307,2.5799,0.0,3A021JEHN02756,1
9,0.0259,0.0132,0.0105,0.4866,0.0,3A021JEHN02756,1
1,19.4231,5.7322,4.4113,7.2483,0.0,3A021JEHN02756,1
2,23.5,13.359,11.011,7.8,0.0,3A021JEHN02756,1
3,10.26,3.1712,2.3288,4.907,0.0,3A021JEHN02756,1
4,12.6707,7.1769,5.6409,4.4515,0.0,3A021JEHN02756,1
5,5.8701,1.6535,1.377,3.1848,0.0,3A021JEHN02756,1
6,5.8523,1.8127,1.3556,2.0817,0.0,3A021JEHN02756,1
7,5.9205,1.7897,1.395,2.5851,0.0,3A021JEHN02756,1
8,6.6382,3.6737,3.0592,2.6131,0.0,3A021JEHN02756,1
9,0.025,0.0131,0.0116,0.4678,0.0,3A021JEHN02756,1
1,19.2642,6.0229,5.2938,8.8983,0.0,3A021JEHN02756,1
2,22.9091,13.443,11.7674,7.7591,0.0,3A021JEHN02756,1
3,10.38,3.1017,2.5761,5.8619,0.0,3A021JEHN02756,1
4,12.3415,7.06,6.0058,4.7022,0.0,3A021JEHN02756,1
5,5.9205,1.7318,1.506,2.9943,0.0,3A021JEHN02756,1
6,5.8418,1.8247,1.4884,2.4556,0.0,3A021JEHN02756,1
7,5.8864,1.8319,1.4585,1.9159,0.0,3A021JEHN02756,1
8,6.8301,3.8058,3.1748,2.4522,0.0,3A021JEHN02756,1
9,0.0264,0.0132,0.0109,0.4988,0.0,3A021JEHN02756,1
1,20.34,6.2857,4.9757,6.7871,0.0,3A021JEHN02756,1
2,22.9318,14.527,11.4886,7.9328,0.0,3A021JEHN02756,1
3,10.08,3.1928,2.585,5.8462,0.0,3A021JEHN02756,1
4,12.7805,7.0733,5.9253,4.6332,0.0,3A021JEHN02756,1
5,5.9655,1.7815,1.5483,3.391,0.0,3A021JEHN02756,1
6,5.9375,1.8176,1.5295,3.2222,0.0,3A021JEHN02756,1
7,5.9261,1.811,1.5244,2.2388,0.0,3A021JEHN02756,1
8,6.8684,3.8014,3.4781,1.8768,0.0,3A021JEHN02756,1
9,0.0252,0.0132,0.011,0.4627,0.0,3A021JEHN02756,1
1,19.8039,5.9548,4.9275,7.137,0.0,3A021JEHN02756,1
2,22.9318,13.7179,11.3258,8.0451,0.0,3A021JEHN02756,1
3,10.3939,3.1922,2.5235,5.8352,0.0,3A021JEHN02756,1
4,13.0759,7.0265,6.3827,4.5862,0.0,3A021JEHN02756,1
5,5.875,1.7426,1.4993,3.284,0.0,3A021JEHN02756,1
6,5.858,1.8034,1.4785,2.4753,0.0,3A021JEHN02756,1
7,5.7273,1.8241,1.5264,2.2416,0.0,3A021JEHN02756,1
8,6.8571,3.8218,3.2586,2.4682,0.0,3A021JEHN02756,1
9,0.0262,0.0131,0.011,0.4722,0.0,3A021JEHN02756,1
