stage,little,medium,big,vulkan,cuda,device,run
1,29.7941,6.3949,5.1538,4.3233,0.0,3A021JEHN02756,1
2,107.5,15.0896,14.3,4.0526,0.0,3A021JEHN02756,1
3,14.2394,3.5352,3.229,3.0181,0.0,3A021JEHN02756,1
4,16.2419,7.0704,8.0806,2.4255,0.0,3A021JEHN02756,1
5,7.9291,2.008,1.8336,1.7811,0.0,3A021JEHN02756,1
6,7.4925,1.8087,1.8853,2.1481,0.0,3A021JEHN02756,1
7,7.9603,2.0325,1.9032,1.4963,0.0,3A021JEHN02756,1
8,8.2114,4.2101,4.5294,1.8152,0.0,3A021JEHN02756,1
9,0.0335,0.0137,0.0156,0.3686,0.0,3A021JEHN02756,1
1,19.9216,5.8343,4.2983,4.4957,0.0,3A021JEHN02756,1
2,23.6591,13.4304,10.9891,4.7162,0.0,3A021JEHN02756,1
3,10.4286,3.1138,2.2484,4.2169,0.0,3A021JEHN02756,1
4,14.1918,6.8431,5.6593,4.6079,0.0,3A021JEHN02756,1
5,5.908,1.8055,1.3662,3.3146,0.0,3A021JEHN02756,1
6,5.9711,1.8296,1.3119,3.186,0.0,3A021JEHN02756,1
7,6.1053,1.7409,1.3,2.047,0.0,3A021JEHN02756,1
8,6.4906,3.6414,3.0151,2.4,0.0,3A021JEHN02756,1
9,0.025,0.0129,0.0106,0.4297,0.0,3A021JEHN02756,1
1,19.7647,5.462,4.4739,7.6475,0.0,3A021JEHN02756,1
2,23.5682,12.8902,10.9894,6.5875,0.0,3A021JEHN02756,1
3,10.4848,3.064,2.3656,3.7695,0.0,3A021JEHN02756,1
4,13.0625,6.8269,5.6033,3.0171,0.0,3A021JEHN02756,1
5,5.9257,1.7829,1.3438,2.0629,0.0,3A021JEHN02756,1
6,6.0457,1.777,1.3507,2.4128,0.0,3A021JEHN02756,1
7,5.9767,1.8268,1.4913,3.0767,0.0,3A021JEHN02756,1
8,6.7647,3.7158,3.1307,2.5799,0.0,3A021JEHN02756,1
9,0.0259,0.0132,0.0105,0.4866,0.0,3A021JEHN02756,1
