stage,little,medium,big,vulkan,cuda,device,run
1,3.7011,0.8814,0.8407,0.8762,0.0,3A021JEHN02756,1
2,5.0,2.2727,2.2727,22.3404,0.0,3A021JEHN02756,1
3,2.8851,0.756,0.5015,0.4068,0.0,3A021JEHN02756,1
4,13.4533,6.1524,7.259,1.2565,0.0,3A021JEHN02756,1
5,2.1118,0.2993,0.3474,0.6005,0.0,3A021JEHN02756,1
6,2.1481,0.523,0.4453,0.9833,0.0,3A021JEHN02756,1
7,7.6718,2.2137,2.731,1.5927,0.0,3A021JEHN02756,1
1,2.7425,0.9133,0.6538,0.742,0.0,3A021JEHN02756,1
2,3.4088,1.6353,1.5173,24.0238,0.0,3A021JEHN02756,1
3,1.7798,0.5765,0.3817,0.2955,0.0,3A021JEHN02756,1
4,9.2202,5.2344,5.2344,1.8011,0.0,3A021JEHN02756,1
5,1.5889,0.4089,0.2723,0.701,0.0,3A021JEHN02756,1
6,0.91,0.5512,0.4645,0.4441,0.0,3A021JEHN02756,1
7,6.6733,2.1343,2.1714,1.3509,0.0,3A021JEHN02756,1
1,2.6935,0.866,0.6779,0.7915,0.0,3A021JEHN02756,1
2,3.6618,1.5984,1.7422,23.9762,0.0,3A021JEHN02756,1
3,3.7148,0.3282,0.3204,1.647,0.0,3A021JEHN02756,1
4,10.2347,5.3069,5.4809,1.6416,0.0,3A021JEHN02756,1
5,1.3017,0.3491,0.3066,0.5733,0.0,3A021JEHN02756,1
6,0.8307,0.6001,0.4749,0.4097,0.0,3A021JEHN02756,1
7,6.6928,2.1695,2.2213,1.5015,0.0,3A021JEHN02756,1
1,2.7008,0.8638,0.657,0.8392,0.0,3A021JEHN02756,1
2,3.0854,1.6563,1.6811,21.5319,0.0,3A021JEHN02756,1
3,3.4792,0.3239,0.3215,1.6346,0.0,3A021JEHN02756,1
4,9.7905,5.3264,5.4392,1.2915,0.0,3A021JEHN02756,1
5,1.4424,0.2659,0.27,0.5652,0.0,3A021JEHN02756,1
6,1.6617,0.3814,0.361,0.7568,0.0,3A021JEHN02756,1
7,6.275,1.9803,2.0324,1.5737,0.0,3A021JEHN02756,1
1,2.6791,0.8329,0.7277,0.8441,0.0,3A021JEHN02756,1
2,3.3227,1.719,1.719,22.1277,0.0,3A021JEHN02756,1
3,1.8054,0.4774,0.4201,0.3833,0.0,3A021JEHN02756,1
4,9.6635,5.2895,5.4918,1.3824,0.0,3A021JEHN02756,1
5,1.5353,0.2583,0.2899,0.5428,0.0,3A021JEHN02756,1
6,1.5213,0.8081,0.5543,0.592,0.0,3A021JEHN02756,1
7,8.5508,2.0343,2.6907,1.6248,0.0,3A021JEHN02756,1
1,3.1609,0.8571,0.7608,0.8413,0.0,3A021JEHN02756,1
2,4.9951,3.7836,4.6091,22.0435,0.0,3A021JEHN02756,1
3,2.5201,0.6292,0.5178,0.4094,0.0,3A021JEHN02756,1
4,11.4,5.2615,6.6194,1.2971,0.0,3A021JEHN02756,1
5,1.6383,0.2802,0.4365,0.5,0.0,3A021JEHN02756,1
6,2.1734,0.5472,0.5095,1.0378,0.0,3A021JEHN02756,1
7,8.1463,1.9724,2.6299,1.6135,0.0,3A021JEHN02756,1
