stage,little,medium,big,vulkan,cuda,device,run
1,2.0553,0.7568,0.4953,1.4502,0.0,3A021JEHN02756,1
2,2.287,0.7227,0.6319,25.575,0.0,3A021JEHN02756,1
3,1.61,0.2531,0.2002,0.2047,0.0,3A021JEHN02756,1
4,10.8172,5.0758,4.2585,3.8321,0.0,3A021JEHN02756,1
5,0.8115,0.2075,0.1616,0.7428,0.0,3A021JEHN02756,1
6,0.656,0.2182,0.1972,0.2008,0.0,3A021JEHN02756,1
7,4.1276,1.6756,1.3432,1.5407,0.0,3A021JEHN02756,1
1,2.0553,0.7588,0.5102,1.4721,0.0,3A021JEHN02756,1
2,2.2854,0.7145,0.6264,24.2857,0.0,3A021JEHN02756,1
3,1.5111,0.2533,0.2012,0.2082,0.0,3A021JEHN02756,1
4,9.9901,5.0812,4.3463,3.9684,0.0,3A021JEHN02756,1
5,0.9167,0.2096,0.165,0.7708,0.0,3A021JEHN02756,1
6,0.6504,0.218,0.204,0.2053,0.0,3A021JEHN02756,1
7,4.1235,1.624,1.3509,1.8285,0.0,3A021JEHN02756,1
1,2.0595,0.7587,0.5131,1.4042,0.0,3A021JEHN02756,1
2,2.3034,0.7409,0.6247,24.8293,0.0,3A021JEHN02756,1
3,1.5688,0.2548,0.2006,0.2053,0.0,3A021JEHN02756,1
4,10.1212,5.0863,4.2821,4.1317,0.0,3A021JEHN02756,1
5,0.8364,0.2064,0.1644,0.7938,0.0,3A021JEHN02756,1
6,0.6296,0.2238,0.1999,0.1996,0.0,3A021JEHN02756,1
7,4.1364,1.6204,1.3745,1.6513,0.0,3A021JEHN02756,1
