stage,little,medium,big,vulkan,cuda,device,run
1,195.8077,59.1977,68.7973,0.7883,0.0,3A021JEHN02756,1
2,12.4813,3.3501,4.356,0.3416,0.0,3A021JEHN02756,1
3,478.4545,150.3714,210.52,0.6919,0.0,3A021JEHN02756,1
4,5.1429,1.8623,2.4785,0.2753,0.0,3A021JEHN02756,1
5,437.6667,154.4706,202.0,0.9151,0.0,3A021JEHN02756,1
6,923.3333,346.25,369.3333,1.3976,0.0,3A021JEHN02756,1
7,951.5,380.6,407.7857,1.4571,0.0,3A021JEHN02756,1
8,3.7375,1.2848,1.4926,0.2665,0.0,3A021JEHN02756,1
9,1.8858,0.9621,1.1794,0.829,0.0,3A021JEHN02756,1
1,197.0,59.5581,70.1644,0.7046,0.0,3A021JEHN02756,2
2,9.8718,3.2971,4.9117,0.3278,0.0,3A021JEHN02756,2
3,469.7273,147.6286,224.6522,0.6774,0.0,3A021JEHN02756,2
4,6.9404,1.8575,2.3829,0.2854,0.0,3A021JEHN02756,2
5,491.2727,158.9412,207.8462,0.9443,0.0,3A021JEHN02756,2
6,957.5,359.0625,359.0625,1.4648,0.0,3A021JEHN02756,2
7,1040.4,346.8,346.8,1.5386,0.0,3A021JEHN02756,2
8,3.5344,1.3823,1.2591,0.2666,0.0,3A021JEHN02756,2
9,2.0092,0.935,0.9584,0.8284,0.0,3A021JEHN02756,2
1,195.6923,58.4828,67.84,0.7984,0.0,3A021JEHN02756,3
2,10.1768,3.338,4.8896,0.333,0.0,3A021JEHN02756,3
3,517.7,143.8056,215.7083,0.6816,0.0,3A021JEHN02756,3
4,7.3776,1.8097,2.3594,0.2891,0.0,3A021JEHN02756,3
5,468.0909,151.4412,198.0385,0.9019,0.0,3A021JEHN02756,3
6,954.5,336.8824,381.8,1.4558,0.0,3A021JEHN02756,3
7,1053.8,329.3125,351.2667,1.2302,0.0,3A021JEHN02756,3
8,3.1314,1.5235,1.2687,0.2594,0.0,3A021JEHN02756,3
9,2.0574,0.9287,1.062,0.8194,0.0,3A021JEHN02756,3
