stage,little,medium,big,vulkan,cuda,device,run
1,301.0,86.0847,99.2157,1.1759,0.0,3A021JEHN02756,1
2,8.2789,3.7191,4.6311,0.7829,0.0,3A021JEHN02756,1
3,350.0,140.5556,171.4333,1.0469,0.0,3A021JEHN02756,1
4,3.4644,1.5749,1.6847,0.6651,0.0,3A021JEHN02756,1
5,329.25,123.6585,126.05,1.4758,0.0,3A021JEHN02756,1
6,649.125,243.0476,252.3,2.3804,0.0,3A021JEHN02756,1
7,650.875,245.2857,249.2381,2.3966,0.0,3A021JEHN02756,1
8,1.7116,0.7711,0.7674,0.6497,0.0,3A021JEHN02756,1
9,1.1316,0.5769,0.5394,1.317,0.0,3A021JEHN02756,1
1,233.8636,85.7966,100.94,1.1853,0.0,3A021JEHN02756,2
2,7.4407,3.8443,4.6317,0.7683,0.0,3A021JEHN02756,2
3,348.4667,134.8421,172.8276,1.0034,0.0,3A021JEHN02756,2
4,3.3747,1.5247,1.666,0.6899,0.0,3A021JEHN02756,2
5,330.0625,124.0,133.5263,1.4693,0.0,3A021JEHN02756,2
6,649.625,245.0476,278.2105,2.4393,0.0,3A021JEHN02756,2
7,651.875,244.6667,252.0,2.2098,0.0,3A021JEHN02756,2
8,1.7118,0.7766,0.7641,0.6372,0.0,3A021JEHN02756,2
9,1.1393,0.5768,0.5154,1.3535,0.0,3A021JEHN02756,2
1,645.875,86.5517,90.1607,1.2089,0.0,3A021JEHN02756,3
2,8.375,3.9427,4.1746,0.7718,0.0,3A021JEHN02756,3
3,362.4286,142.8611,168.3333,1.0102,0.0,3A021JEHN02756,3
4,3.4078,1.5287,1.6746,0.6776,0.0,3A021JEHN02756,3
5,329.3125,123.561,136.3514,1.4982,0.0,3A021JEHN02756,3
6,650.75,243.9524,276.8947,2.3849,0.0,3A021JEHN02756,3
7,657.125,246.5714,274.9474,2.3943,0.0,3A021JEHN02756,3
8,1.7153,0.7699,0.8425,0.6231,0.0,3A021JEHN02756,3
9,1.1427,0.5734,0.5381,1.3577,0.0,3A021JEHN02756,3
