stage,little,medium,big,vulkan,cuda,device,run
1,25.402,5.7838,6.7221,4.411,0.0,3A021JEHN02756,1
2,32.8627,12.8923,18.4176,2.6025,0.0,3A021JEHN02756,1
3,13.625,3.7113,4.5335,2.6196,0.0,3A021JEHN02756,1
4,16.0769,7.3873,10.4066,2.1667,0.0,3A021JEHN02756,1
5,7.8943,2.0889,2.9476,1.9551,0.0,3A021JEHN02756,1
6,8.2167,2.1375,2.9009,1.9217,0.0,3A021JEHN02756,1
7,9.2362,2.2368,2.7719,1.9187,0.0,3A021JEHN02756,1
8,10.412,5.0798,4.6956,1.4632,0.0,3A021JEHN02756,1
9,0.0761,0.022,0.0172,0.3834,0.0,3A021JEHN02756,1
1,24.5317,5.6002,6.5739,4.3093,0.0,3A021JEHN02756,2
2,32.3419,12.987,18.7753,2.5616,0.0,3A021JEHN02756,2
3,13.892,3.642,4.3991,2.9622,0.0,3A021JEHN02756,2
4,16.4967,7.2892,9.9307,2.189,0.0,3A021JEHN02756,2
5,8.3819,2.0807,2.7738,1.9128,0.0,3A021JEHN02756,2
6,8.1135,2.1587,3.0012,1.6174,0.0,3A021JEHN02756,2
7,9.1239,2.3019,3.3216,1.917,0.0,3A021JEHN02756,2
8,10.6844,5.1874,8.2826,1.4592,0.0,3A021JEHN02756,2
9,0.0873,0.0228,0.0316,0.3948,0.0,3A021JEHN02756,2
1,25.9124,5.6293,6.6058,3.9273,0.0,3A021JEHN02756,3
2,35.7872,13.3492,19.8661,2.2397,0.0,3A021JEHN02756,3
3,14.8083,3.7158,4.7403,2.2653,0.0,3A021JEHN02756,3
4,16.6844,7.5292,10.1455,1.8202,0.0,3A021JEHN02756,3
5,8.168,2.1807,2.7941,1.962,0.0,3A021JEHN02756,3
6,8.2049,2.1371,2.7621,1.9228,0.0,3A021JEHN02756,3
7,9.027,2.371,2.6907,1.924,0.0,3A021JEHN02756,3
8,10.9194,5.4656,8.0709,1.2403,0.0,3A021JEHN02756,3
9,0.0989,0.0222,0.0331,0.4292,0.0,3A021JEHN02756,3
