stage,little,medium,big,vulkan,cuda,device,run
1,25.402,5.7838,6.7221,4.411,0.0,3A021JEHN02756,1
2,32.8627,12.8923,18.4176,2.6025,0.0,3A021JEHN02756,1
3,13.625,3.7113,4.5335,2.6196,0.0,3A021JEHN02756,1
4,16.0769,7.3873,10.4066,2.1667,0.0,3A021JEHN02756,1
5,7.8943,2.0889,2.9476,1.9551,0.0,3A021JEHN02756,1
6,8.2167,2.1375,2.9009,1.9217,0.0,3A021JEHN02756,1
7,9.2362,2.2368,2.7719,1.9187,0.0,3A021JEHN02756,1
8,10.412,5.0798,4.6956,1.4632,0.0,3A021JEHN02756,1
9,0.0761,0.022,0.0172,0.3834,0.0,3A021JEHN02756,1
1,24.5317,5.6002,6.5739,4.3093,0.0,3A021JEHN02756,2
2,32.3419,12.987,18.7753,2.5616,0.0,3A021JEHN02756,2
3,13.892,3.642,4.3991,2.9622,0.0,3A021JEHN02756,2
4,16.4967,7.2892,9.9307,2.189,0.0,3A021JEHN02756,2
5,8.3819,2.0807,2.7738,1.9128,0.0,3A021JEHN02756,2
6,8.1135,2.1587,3.0012,1.6174,0.0,3A021JEHN02756,2
7,9.1239,2.3019,3.3216,1.917,0.0,3A021JEHN02756,2
8,10.6844,5.1874,8.2826,1.4592,0.0,3A021JEHN02756,2
9,0.0873,0.0228,0.0316,0.3948,0.0,3A021JEHN02756,2
1,25.9124,5.6293,6.6058,3.9273,0.0,3A021JEHN02756,3
2,35.7872,13.3492,19.8661,2.2397,0.0,3A021JEHN02756,3
3,14.8083,3.7158,4.7403,2.2653,0.0,3A021JEHN02756,3
4,16.6844,7.5292,10.1455,1.8202,0.0,3A021JEHN02756,3
5,8.168,2.1807,2.7941,1.962,0.0,3A021JEHN02756,3
6,8.2049,2.1371,2.7621,1.9228,0.0,3A021JEHN02756,3
7,9.027,2.371,2.6907,1.924,0.0,3A021JEHN02756,3
8,10.9194,5.4656,8.0709,1.2403,0.0,3A021JEHN02756,3
9,0.0989,0.0222,0.0331,0.4292,0.0,3A021JEHN02756,3
1,195.8077,59.1977,68.7973,0.7883,0.0,3A021JEHN02756,1
2,12.4813,3.3501,4.356,0.3416,0.0,3A021JEHN02756,1
3,478.4545,150.3714,210.52,0.6919,0.0,3A021JEHN02756,1
4,5.1429,1.8623,2.4785,0.2753,0.0,3A021JEHN02756,1
5,437.6667,154.4706,202.0,0.9151,0.0,3A021JEHN02756,1
6,923.3333,346.25,369.3333,1.3976,0.0,3A021JEHN02756,1
7,951.5,380.6,407.7857,1.4571,0.0,3A021JEHN02756,1
8,3.7375,1.2848,1.4926,0.2665,0.0,3A021JEHN02756,1
9,1.8858,0.9621,1.1794,0.829,0.0,3A021JEHN02756,1
1,197.0,59.5581,70.1644,0.7046,0.0,3A021JEHN02756,2
2,9.8718,3.2971,4.9117,0.3278,0.0,3A021JEHN02756,2
3,469.7273,147.6286,224.6522,0.6774,0.0,3A021JEHN02756,2
4,6.9404,1.8575,2.3829,0.2854,0.0,3A021JEHN02756,2
5,491.2727,158.9412,207.8462,0.9443,0.0,3A021JEHN02756,2
6,957.5,359.0625,359.0625,1.4648,0.0,3A021JEHN02756,2
7,1040.4,346.8,346.8,1.5386,0.0,3A021JEHN02756,2
8,3.5344,1.3823,1.2591,0.2666,0.0,3A021JEHN02756,2
9,2.0092,0.935,0.9584,0.8284,0.0,3A021JEHN02756,2
1,195.6923,58.4828,67.84,0.7984,0.0,3A021JEHN02756,3
2,10.1768,3.338,4.8896,0.333,0.0,3A021JEHN02756,3
3,517.7,143.8056,215.7083,0.6816,0.0,3A021JEHN02756,3
4,7.3776,1.8097,2.3594,0.2891,0.0,3A021JEHN02756,3
5,468.0909,151.4412,198.0385,0.9019,0.0,3A021JEHN02756,3
6,954.5,336.8824,381.8,1.4558,0.0,3A021JEHN02756,3
7,1053.8,329.3125,351.2667,1.2302,0.0,3A021JEHN02756,3
8,3.1314,1.5235,1.2687,0.2594,0.0,3A021JEHN02756,3
9,2.0574,0.9287,1.062,0.8194,0.0,3A021JEHN02756,3
