stage,little,medium,big,vulkan,cuda,device,run
1,19.2923,5.5354,4.6602,8.5194,0.0,3A021JEHN02756,1
2,22.9315,12.4788,11.8376,9.7025,0.0,3A021JEHN02756,1
3,10.1288,2.8947,2.6106,5.4077,0.0,3A021JEHN02756,1
4,12.6809,6.6491,6.0179,5.7073,0.0,3A021JEHN02756,1
5,5.7341,1.6712,1.5511,2.6471,0.0,3A021JEHN02756,1
6,5.7295,1.7009,1.5623,2.8061,0.0,3A021JEHN02756,1
7,5.7338,1.6666,1.5672,3.2858,0.0,3A021JEHN02756,1
8,6.8667,3.4687,3.2092,3.4136,0.0,3A021JEHN02756,1
9,0.0242,0.0119,0.0105,0.6402,0.0,3A021JEHN02756,1
1,114.0,7.7419,5.8107,7.9398,0.0,3A021JEHN02756,2
2,30.1807,15.8265,15.7053,9.9109,0.0,3A021JEHN02756,2
3,10.0968,3.1765,3.0788,5.8762,0.0,3A021JEHN02756,2
4,12.6692,6.3515,6.7571,5.386,0.0,3A021JEHN02756,2
5,5.6716,1.6443,1.5592,2.9505,0.0,3A021JEHN02756,2
6,5.7762,1.6791,1.5802,2.7101,0.0,3A021JEHN02756,2
7,5.6757,1.6514,1.5621,3.2438,0.0,3A021JEHN02756,2
8,6.8043,3.3997,3.6268,3.4644,0.0,3A021JEHN02756,2
9,0.0242,0.0117,0.0126,0.6441,0.0,3A021JEHN02756,2
1,56.2584,8.5849,8.2947,8.9482,0.0,3A021JEHN02756,3
2,29.2924,14.695,19.076,9.9012,0.0,3A021JEHN02756,3
3,10.1172,2.9982,2.7733,5.7838,0.0,3A021JEHN02756,3
4,12.5879,6.3707,7.0778,5.2574,0.0,3A021JEHN02756,3
5,5.694,1.6894,1.5814,2.5499,0.0,3A021JEHN02756,3
6,5.694,1.6416,1.5557,3.2727,0.0,3A021JEHN02756,3
7,5.6917,1.6581,1.5578,3.2515,0.0,3A021JEHN02756,3
8,6.7676,3.4534,3.5343,3.3763,0.0,3A021JEHN02756,3
9,0.0241,0.0118,0.0122,0.6421,0.0,3A021JEHN02756,3
1,301.0,86.0847,99.2157,1.1759,0.0,3A021JEHN02756,1
2,8.2789,3.7191,4.6311,0.7829,0.0,3A021JEHN02756,1
3,350.0,140.5556,171.4333,1.0469,0.0,3A021JEHN02756,1
4,3.4644,1.5749,1.6847,0.6651,0.0,3A021JEHN02756,1
5,329.25,123.6585,126.05,1.4758,0.0,3A021JEHN02756,1
6,649.125,243.0476,252.3,2.3804,0.0,3A021JEHN02756,1
7,650.875,245.2857,249.2381,2.3966,0.0,3A021JEHN02756,1
8,1.7116,0.7711,0.7674,0.6497,0.0,3A021JEHN02756,1
9,1.1316,0.5769,0.5394,1.317,0.0,3A021JEHN02756,1
1,233.8636,85.7966,100.94,1.1853,0.0,3A021JEHN02756,2
2,7.4407,3.8443,4.6317,0.7683,0.0,3A021JEHN02756,2
3,348.4667,134.8421,172.8276,1.0034,0.0,3A021JEHN02756,2
4,3.3747,1.5247,1.666,0.6899,0.0,3A021JEHN02756,2
5,330.0625,124.0,133.5263,1.4693,0.0,3A021JEHN02756,2
6,649.625,245.0476,278.2105,2.4393,0.0,3A021JEHN02756,2
7,651.875,244.6667,252.0,2.2098,0.0,3A021JEHN02756,2
8,1.7118,0.7766,0.7641,0.6372,0.0,3A021JEHN02756,2
9,1.1393,0.5768,0.5154,1.3535,0.0,3A021JEHN02756,2
1,645.875,86.5517,90.1607,1.2089,0.0,3A021JEHN02756,3
2,8.375,3.9427,4.1746,0.7718,0.0,3A021JEHN02756,3
3,362.4286,142.8611,168.3333,1.0102,0.0,3A021JEHN02756,3
4,3.4078,1.5287,1.6746,0.6776,0.0,3A021JEHN02756,3
5,329.3125,123.561,136.3514,1.4982,0.0,3A021JEHN02756,3
6,650.75,243.9524,276.8947,2.3849,0.0,3A021JEHN02756,3
7,657.125,246.5714,274.9474,2.3943,0.0,3A021JEHN02756,3
8,1.7153,0.7699,0.8425,0.6231,0.0,3A021JEHN02756,3
9,1.1427,0.5734,0.5381,1.3577,0.0,3A021JEHN02756,3
