stage,little,medium,big,vulkan,cuda,device,run
1,2.8941,0.8054,0.8034,0.8173,0.0,3A021JEHN02756,1
2,3.9309,1.748,1.8645,18.7566,0.0,3A021JEHN02756,1
3,2.5837,0.8249,0.5761,0.4454,0.0,3A021JEHN02756,1
4,10.1996,6.1148,7.5764,1.0673,0.0,3A021JEHN02756,1
5,1.5092,0.3147,0.365,0.5979,0.0,3A021JEHN02756,1
6,0.9528,0.7046,0.5484,0.4689,0.0,3A021JEHN02756,1
7,6.1462,2.4345,2.8638,1.523,0.0,3A021JEHN02756,1
1,3.5526,0.8448,0.9756,0.8195,0.0,3A021JEHN02756,2
2,4.1733,2.0468,2.257,18.8502,0.0,3A021JEHN02756,2
3,3.0668,0.4509,0.4603,0.8791,0.0,3A021JEHN02756,2
4,10.6645,6.0228,7.3976,1.3683,0.0,3A021JEHN02756,2
5,1.6476,0.3187,0.357,0.6108,0.0,3A021JEHN02756,2
6,0.9325,0.7037,0.5147,0.4991,0.0,3A021JEHN02756,2
7,6.5484,2.4804,3.0469,1.5133,0.0,3A021JEHN02756,2
1,3.6134,0.8697,1.0196,0.8208,0.0,3A021JEHN02756,1
2,4.2821,2.411,2.6053,18.9057,0.0,3A021JEHN02756,1
3,2.1404,0.5952,0.5578,0.4871,0.0,3A021JEHN02756,1
4,12.155,6.4442,7.9683,1.0828,0.0,3A021JEHN02756,1
5,1.5196,0.3168,0.4476,0.5678,0.0,3A021JEHN02756,1
6,0.9632,0.8071,0.5591,0.4686,0.0,3A021JEHN02756,1
7,7.6296,2.7883,3.8559,1.5259,0.0,3A021JEHN02756,1
