stage,little,medium,big,vulkan,cuda,device,run
1,2.0441,0.7366,0.5329,2.0194,0.0,3A021JEHN02756,1
2,2.2861,0.7123,0.6358,22.895,0.0,3A021JEHN02756,1
3,1.6588,0.2334,0.2229,0.2022,0.0,3A021JEHN02756,1
4,11.2748,5.1198,4.3762,4.3904,0.0,3A021JEHN02756,1
5,0.8606,0.2062,0.1713,0.8249,0.0,3A021JEHN02756,1
6,0.6571,0.2183,0.2131,0.1969,0.0,3A021JEHN02756,1
7,4.1321,1.6666,1.5353,1.8901,0.0,3A021JEHN02756,1
1,3.2578,0.8116,0.6694,1.9845,0.0,3A021JEHN02756,2
2,2.4064,0.7435,0.6791,22.9041,0.0,3A021JEHN02756,2
3,1.6561,0.2333,0.2649,0.2309,0.0,3A021JEHN02756,2
4,11.8274,5.1166,4.782,4.3733,0.0,3A021JEHN02756,2
5,0.863,0.2063,0.1985,0.8435,0.0,3A021JEHN02756,2
6,0.6559,0.2181,0.2463,0.2138,0.0,3A021JEHN02756,2
7,4.1381,1.6709,1.7316,1.8936,0.0,3A021JEHN02756,2
1,2.2419,0.7378,0.6308,1.1861,0.0,3A021JEHN02756,1
2,2.4018,0.7116,0.6877,23.0183,0.0,3A021JEHN02756,1
3,1.6401,0.237,0.2755,0.2385,0.0,3A021JEHN02756,1
4,13.0417,5.1376,4.9427,4.3362,0.0,3A021JEHN02756,1
5,0.858,0.2051,0.2061,0.8359,0.0,3A021JEHN02756,1
6,0.654,0.2183,0.2588,0.2254,0.0,3A021JEHN02756,1
7,5.0885,1.6729,1.8149,1.8794,0.0,3A021JEHN02756,1
