stage,little,medium,big,vulkan,cuda,device,run
1,159.2857,74.3333,48.4783,0.9755,0.0,9b034f1b,1
2,16.1613,3.9605,2.5431,0.4366,0.0,9b034f1b,1
3,392.0,196.0,117.6,0.693,0.0,9b034f1b,1
4,10.1212,1.9306,1.2684,0.3764,0.0,9b034f1b,1
5,365.3333,182.6667,109.6,0.647,0.0,9b034f1b,1
6,653.0,435.3333,261.2,1.1143,0.0,9b034f1b,1
7,650.0,433.3333,260.0,1.1285,0.0,9b034f1b,1
8,3.7811,0.9543,0.635,0.3113,0.0,9b034f1b,1
9,1.222,0.7439,0.466,1.4911,0.0,9b034f1b,1
1,158.2857,73.8667,48.1739,0.9552,0.0,9b034f1b,1
2,14.5942,3.9031,2.5238,0.4342,0.0,9b034f1b,1
3,390.3333,195.1667,117.1,0.6309,0.0,9b034f1b,1
4,7.1135,1.9744,1.2616,0.3508,0.0,9b034f1b,1
5,356.6667,178.3333,107.0,0.5774,0.0,9b034f1b,1
6,623.5,415.6667,249.4,1.0155,0.0,9b034f1b,1
7,646.0,430.6667,258.4,1.0513,0.0,9b034f1b,1
8,4.3991,0.9589,0.6273,0.3134,0.0,9b034f1b,1
9,1.1914,0.7373,0.4678,1.4193,0.0,9b034f1b,1
1,147.0,68.6,44.7391,0.8352,0.0,9b034f1b,1
2,15.5385,3.93,2.5313,0.4311,0.0,9b034f1b,1
3,364.6667,182.3333,109.4,0.5952,0.0,9b034f1b,1
4,8.5085,1.9495,1.2597,0.3622,0.0,9b034f1b,1
5,366.6667,183.3333,110.0,0.6403,0.0,9b034f1b,1
6,638.0,425.3333,255.2,1.1183,0.0,9b034f1b,1
7,633.0,422.0,253.2,1.0377,0.0,9b034f1b,1
8,3.4082,0.957,0.6366,0.2688,0.0,9b034f1b,1
9,1.2014,0.7335,0.4615,1.4735,0.0,9b034f1b,1
1,172.0,68.8,44.8696,0.9125,0.0,9b034f1b,1
2,12.525,3.9141,2.5113,0.4258,0.0,9b034f1b,1
3,379.0,189.5,113.7,0.6724,0.0,9b034f1b,1
4,6.0422,1.94,1.2601,0.302,0.0,9b034f1b,1
5,389.3333,194.6667,116.8,0.7161,0.0,9b034f1b,1
6,651.5,434.3333,260.6,1.0733,0.0,9b034f1b,1
7,679.5,453.0,271.8,1.208,0.0,9b034f1b,1
8,6.9514,0.9561,0.628,0.3502,0.0,9b034f1b,1
9,1.3324,0.7395,0.4658,1.4233,0.0,9b034f1b,1
1,149.8571,69.9333,45.6087,0.8577,0.0,9b034f1b,1
2,11.4659,3.9414,2.5352,0.3766,0.0,9b034f1b,1
3,386.3333,193.1667,115.9,0.675,0.0,9b034f1b,1
4,7.2086,1.9195,1.2668,0.3034,0.0,9b034f1b,1
5,365.6667,182.8333,109.7,0.5962,0.0,9b034f1b,1
6,641.5,427.6667,256.6,1.0638,0.0,9b034f1b,1
7,652.0,434.6667,260.8,1.0786,0.0,9b034f1b,1
8,3.7249,1.008,0.6498,0.2712,0.0,9b034f1b,1
9,1.1914,0.733,0.4676,1.4233,0.0,9b034f1b,1
1,149.4286,69.7333,45.4783,0.8532,0.0,9b034f1b,1
2,12.3951,3.9066,2.5163,0.3691,0.0,9b034f1b,1
3,376.3333,188.1667,112.9,0.6173,0.0,9b034f1b,1
4,6.9241,1.9308,1.2629,0.301,0.0,9b034f1b,1
5,364.3333,182.1667,109.3,0.6452,0.0,9b034f1b,1
6,652.0,434.6667,260.8,1.1379,0.0,9b034f1b,1
7,666.5,444.3333,266.6,1.1316,0.0,9b034f1b,1
8,3.7632,0.9579,0.6392,0.2656,0.0,9b034f1b,1
9,1.1986,0.7378,0.4676,1.4253,0.0,9b034f1b,1
1,147.0,68.6,44.7391,0.8448,0.0,9b034f1b,1
2,17.0508,3.9297,2.515,0.4216,0.0,9b034f1b,1
3,371.6667,185.8333,111.5,0.6063,0.0,9b034f1b,1
4,6.4645,1.9381,1.2668,0.2962,0.0,9b034f1b,1
5,364.6667,182.3333,109.4,0.5901,0.0,9b034f1b,1
6,653.0,435.3333,261.2,1.0847,0.0,9b034f1b,1
7,680.0,453.3333,272.0,1.1899,0.0,9b034f1b,1
8,6.3822,0.9525,0.6298,0.3181,0.0,9b034f1b,1
9,1.1931,0.7344,0.4617,1.4656,0.0,9b034f1b,1
