stage,little,medium,big,vulkan,cuda,device,run
1,137.25,73.2,47.7391,0.9,0.0,9b034f1b,1
2,10.8065,3.9723,2.4938,0.3739,0.0,9b034f1b,1
3,368.3333,184.1667,110.5,0.6068,0.0,9b034f1b,1
4,6.9583,1.9686,1.2447,0.3035,0.0,9b034f1b,1
5,365.6667,182.8333,109.7,0.5988,0.0,9b034f1b,1
6,623.0,415.3333,249.2,1.0264,0.0,9b034f1b,1
7,612.0,408.0,244.8,1.0099,0.0,9b034f1b,1
8,3.0486,0.9862,0.6372,0.2647,0.0,9b034f1b,1
9,1.1532,0.7333,0.4656,1.4199,0.0,9b034f1b,1
1,147.0,68.6,46.7727,0.8878,0.0,9b034f1b,1
2,11.9762,3.9451,2.5276,0.3758,0.0,9b034f1b,1
3,370.0,185.0,111.0,0.6167,0.0,9b034f1b,1
4,6.5425,1.9666,1.2419,0.3001,0.0,9b034f1b,1
5,375.3333,187.6667,112.6,0.6841,0.0,9b034f1b,1
6,607.0,404.6667,242.8,1.052,0.0,9b034f1b,1
7,599.5,399.6667,239.8,0.9868,0.0,9b034f1b,1
8,3.4198,0.9853,0.6314,0.2659,0.0,9b034f1b,1
9,1.2267,0.7333,0.4615,1.4786,0.0,9b034f1b,1
1,149.7143,69.8667,45.5652,0.8726,0.0,9b034f1b,1
2,10.7957,3.9684,2.4851,0.3714,0.0,9b034f1b,1
3,396.3333,198.1667,132.1111,0.7312,0.0,9b034f1b,1
4,5.929,1.9763,1.2541,0.3014,0.0,9b034f1b,1
5,358.6667,179.3333,107.6,0.5838,0.0,9b034f1b,1
6,601.5,401.0,240.6,0.9909,0.0,9b034f1b,1
7,637.5,425.0,255.0,1.1435,0.0,9b034f1b,1
8,3.5035,0.9833,0.6403,0.2667,0.0,9b034f1b,1
9,1.1818,0.736,0.4684,1.4199,0.0,9b034f1b,1
1,150.0,70.0,45.6522,0.8592,0.0,9b034f1b,1
2,10.9457,3.9646,2.5821,0.373,0.0,9b034f1b,1
3,366.3333,183.1667,122.1111,0.6019,0.0,9b034f1b,1
4,6.1098,1.9686,1.2525,0.2996,0.0,9b034f1b,1
5,376.6667,188.3333,113.0,0.6828,0.0,9b034f1b,1
6,657.0,438.0,262.8,1.1557,0.0,9b034f1b,1
7,639.0,426.0,255.6,1.135,0.0,9b034f1b,1
8,3.5821,0.9872,0.6288,0.2683,0.0,9b034f1b,1
9,1.222,0.7298,0.468,1.4133,0.0,9b034f1b,1
1,151.4286,70.6667,48.1818,0.8923,0.0,9b034f1b,1
2,11.0549,3.9763,2.5213,0.3715,0.0,9b034f1b,1
3,378.3333,189.1667,126.1111,0.632,0.0,9b034f1b,1
4,5.6989,1.9667,1.246,0.2971,0.0,9b034f1b,1
5,360.3333,180.1667,108.1,0.5875,0.0,9b034f1b,1
6,611.5,407.6667,244.6,1.0099,0.0,9b034f1b,1
7,611.5,407.6667,244.6,1.0074,0.0,9b034f1b,1
8,7.4148,0.9843,0.6233,0.3447,0.0,9b034f1b,1
9,1.2234,0.769,0.4641,1.4911,0.0,9b034f1b,1
1,151.2857,70.6,46.0435,0.8723,0.0,9b034f1b,1
2,11.1444,3.9333,2.4765,0.3711,0.0,9b034f1b,1
3,367.3333,183.6667,110.2,0.6045,0.0,9b034f1b,1
4,5.8772,1.9783,1.2642,0.3013,0.0,9b034f1b,1
5,370.3333,185.1667,123.4444,0.6407,0.0,9b034f1b,1
6,624.5,416.3333,249.8,1.0452,0.0,9b034f1b,1
7,606.0,404.0,242.4,1.0168,0.0,9b034f1b,1
8,3.2323,0.9862,0.6342,0.265,0.0,9b034f1b,1
9,1.2297,0.7333,0.4604,1.4896,0.0,9b034f1b,1
1,137.25,73.2,47.7391,0.8971,0.0,9b034f1b,1
2,12.8846,3.9412,2.5125,0.3791,0.0,9b034f1b,1
3,368.6667,184.3333,110.6,0.6044,0.0,9b034f1b,1
4,6.6358,1.9532,1.2541,0.3017,0.0,9b034f1b,1
5,372.3333,186.1667,111.7,0.6709,0.0,9b034f1b,1
6,636.5,424.3333,254.6,1.1003,0.0,9b034f1b,1
7,599.5,399.6667,239.8,0.9885,0.0,9b034f1b,1
8,3.1609,0.9882,0.6314,0.2649,0.0,9b034f1b,1
9,1.2297,0.7437,0.4634,1.483,0.0,9b034f1b,1
1,151.0,70.4667,48.0455,0.9215,0.0,9b034f1b,1
2,11.033,3.9684,2.4975,0.3724,0.0,9b034f1b,1
3,378.6667,189.3333,113.6,0.669,0.0,9b034f1b,1
4,12.0964,1.9842,1.2472,0.3987,0.0,9b034f1b,1
5,369.3333,184.6667,110.8,0.6627,0.0,9b034f1b,1
6,625.5,417.0,250.2,1.0974,0.0,9b034f1b,1
7,628.5,419.0,251.4,1.1007,0.0,9b034f1b,1
8,3.4775,0.9892,0.6463,0.2681,0.0,9b034f1b,1
9,1.1943,0.7341,0.4652,1.4153,0.0,9b034f1b,1
