stage,little,medium,big,vulkan,cuda,device,run
1,127.5,74.4286,90.75,1.5407,0.0,9b034f1b,1
2,8.9732,4.2363,2.7054,1.0287,0.0,9b034f1b,1
3,293.5,192.3333,183.8333,1.2297,0.0,9b034f1b,1
4,4.5135,2.1184,2.3065,0.9185,0.0,9b034f1b,1
5,276.75,190.3333,187.0,1.2506,0.0,9b034f1b,1
6,549.0,379.6667,360.3333,1.5128,0.0,9b034f1b,1
7,550.0,379.3333,382.3333,1.5266,0.0,9b034f1b,1
8,2.2411,1.0626,1.256,0.893,0.0,9b034f1b,1
9,1.0415,0.7882,0.9479,2.2773,0.0,9b034f1b,1
1,127.25,74.2143,90.3333,1.555,0.0,9b034f1b,1
2,9.027,4.2363,4.8221,1.0481,0.0,9b034f1b,1
3,289.5,192.0,216.4,1.1761,0.0,9b034f1b,1
4,4.5135,2.0985,2.505,0.9176,0.0,9b034f1b,1
5,275.75,189.8333,207.4,1.2509,0.0,9b034f1b,1
6,544.5,378.6667,363.6667,1.509,0.0,9b034f1b,1
7,544.0,378.3333,367.0,1.5336,0.0,9b034f1b,1
8,2.2613,1.0604,1.1735,0.886,0.0,9b034f1b,1
9,1.0426,0.7863,0.8986,2.2613,0.0,9b034f1b,1
1,126.0,74.2857,86.5,1.4671,0.0,9b034f1b,1
2,8.9554,4.2363,4.8641,1.0394,0.0,9b034f1b,1
3,288.0,192.6667,210.2,1.2267,0.0,9b034f1b,1
4,4.4911,2.1074,2.5088,0.9443,0.0,9b034f1b,1
5,286.0,190.3333,187.1667,1.2432,0.0,9b034f1b,1
6,544.5,378.6667,285.25,1.5159,0.0,9b034f1b,1
7,552.0,377.6667,358.0,1.5392,0.0,9b034f1b,1
8,2.2539,1.0615,1.2623,0.8908,0.0,9b034f1b,1
9,1.0383,0.7865,0.9506,2.2686,0.0,9b034f1b,1
1,124.3333,76.7143,48.2857,1.5431,0.0,9b034f1b,1
2,8.9464,4.2185,5.025,1.0481,0.0,9b034f1b,1
3,297.0,191.5,225.4,1.2475,0.0,9b034f1b,1
4,4.4777,2.1118,2.49,0.9561,0.0,9b034f1b,1
5,278.75,197.5,211.0,1.2522,0.0,9b034f1b,1
6,543.5,379.0,391.6667,1.555,0.0,9b034f1b,1
7,545.0,378.0,404.6667,1.529,0.0,9b034f1b,1
8,2.2388,1.0694,0.7072,0.8963,0.0,9b034f1b,1
9,1.0405,0.7882,0.8637,2.267,0.0,9b034f1b,1
1,126.875,75.0,70.3333,1.5535,0.0,9b034f1b,1
2,8.9911,4.2269,4.1618,1.0395,0.0,9b034f1b,1
3,288.25,191.5,217.6,1.2463,0.0,9b034f1b,1
4,4.518,2.1184,2.5151,0.9607,0.0,9b034f1b,1
5,274.5,194.3333,192.5,1.2648,0.0,9b034f1b,1
6,553.0,379.0,395.0,1.5243,0.0,9b034f1b,1
7,552.5,377.6667,357.6667,1.5228,0.0,9b034f1b,1
8,2.2721,1.0548,1.2674,0.882,0.0,9b034f1b,1
9,1.0537,0.7882,0.9346,2.2613,0.0,9b034f1b,1
1,126.25,74.3571,86.4167,1.5455,0.0,9b034f1b,1
2,8.9292,4.2236,3.5371,1.047,0.0,9b034f1b,1
3,284.5,191.8333,217.0,1.2262,0.0,9b034f1b,1
4,4.5315,2.1904,2.2022,0.9003,0.0,9b034f1b,1
5,279.75,190.6667,105.8,1.2512,0.0,9b034f1b,1
6,552.5,379.3333,401.0,1.5955,0.0,9b034f1b,1
7,550.5,378.0,369.0,1.5829,0.0,9b034f1b,1
8,2.2692,1.0649,1.2544,0.8805,0.0,9b034f1b,1
9,1.0448,0.7869,0.8689,2.287,0.0,9b034f1b,1
