stage,little,medium,big,vulkan,cuda,device,run
1,34.3667,6.4037,4.8863,2.552,0.0,9b034f1b,1
2,32.0312,15.5303,10.049,3.0236,0.0,9b034f1b,1
3,19.8627,3.3213,2.4768,2.5776,0.0,9b034f1b,1
4,15.0448,7.937,5.0909,1.5,0.0,9b034f1b,1
5,10.07,1.9553,1.4243,1.359,0.0,9b034f1b,1
6,11.6744,1.9725,1.4363,1.453,0.0,9b034f1b,1
7,10.202,1.9612,1.4306,1.3704,0.0,9b034f1b,1
8,9.2385,4.1612,2.7895,0.9239,0.0,9b034f1b,1
9,0.1362,0.017,0.0128,0.3589,0.0,9b034f1b,1
1,36.3571,6.2073,4.713,3.7565,0.0,9b034f1b,1
2,29.2571,15.5152,10.1386,2.1787,0.0,9b034f1b,1
3,18.1071,3.3246,2.4792,2.4493,0.0,9b034f1b,1
4,15.0149,7.9213,5.1066,1.4816,0.0,9b034f1b,1
5,11.3258,1.9611,1.4278,1.4177,0.0,9b034f1b,1
6,10.09,1.9746,1.4539,1.3489,0.0,9b034f1b,1
7,9.9406,1.9648,1.4261,1.3549,0.0,9b034f1b,1
8,8.2975,4.166,2.7889,0.8753,0.0,9b034f1b,1
9,0.1136,0.0171,0.0147,0.2874,0.0,9b034f1b,1
1,36.7143,6.3457,4.872,2.8011,0.0,9b034f1b,1
2,28.7714,15.2576,9.8725,2.12,0.0,9b034f1b,1
3,18.2545,3.3026,2.4608,2.4193,0.0,9b034f1b,1
4,15.4769,7.9213,5.159,1.4816,0.0,9b034f1b,1
5,10.1616,1.9725,1.431,1.3467,0.0,9b034f1b,1
6,10.734,1.9823,1.4292,1.4132,0.0,9b034f1b,1
7,10.09,1.9707,1.4272,1.358,0.0,9b034f1b,1
8,8.1048,4.1875,2.7762,0.8732,0.0,9b034f1b,1
9,0.0911,0.0167,0.0147,0.283,0.0,9b034f1b,1
1,35.4483,6.2683,4.7814,2.8164,0.0,9b034f1b,1
2,30.7273,15.3636,9.8447,2.9649,0.0,9b034f1b,1
3,18.3455,3.3082,2.4791,2.467,0.0,9b034f1b,1
4,16.8167,7.9449,5.148,1.5815,0.0,9b034f1b,1
5,10.3918,1.9726,1.4257,1.3603,0.0,9b034f1b,1
6,10.2347,1.9744,1.4247,1.3518,0.0,9b034f1b,1
7,10.3402,1.9628,1.4227,1.3518,0.0,9b034f1b,1
8,8.8333,4.1784,2.7665,0.9281,0.0,9b034f1b,1
9,0.1197,0.0172,0.0126,0.3317,0.0,9b034f1b,1
1,35.3793,6.2945,4.7721,2.85,0.0,9b034f1b,1
2,31.0,15.5,10.0294,3.0088,0.0,9b034f1b,1
3,18.3091,3.3016,2.4621,2.4383,0.0,9b034f1b,1
4,14.9851,7.8438,5.0452,1.4896,0.0,9b034f1b,1
5,10.08,1.9611,1.4237,1.3585,0.0,9b034f1b,1
6,10.07,1.9745,1.4284,1.3627,0.0,9b034f1b,1
7,10.1717,1.9553,1.4243,1.3627,0.0,9b034f1b,1
8,9.5905,4.1784,2.7741,0.9664,0.0,9b034f1b,1
9,0.1185,0.0168,0.0127,0.3405,0.0,9b034f1b,1
1,34.8621,6.2025,4.7915,2.7775,0.0,9b034f1b,1
2,31.625,15.3333,9.8252,3.0299,0.0,9b034f1b,1
3,18.2182,3.2638,2.4439,2.4262,0.0,9b034f1b,1
4,16.7833,7.9291,5.0603,1.5734,0.0,9b034f1b,1
5,10.05,1.9667,1.4215,1.3544,0.0,9b034f1b,1
6,10.09,1.9784,1.4312,1.3544,0.0,9b034f1b,1
7,10.202,1.9612,1.4245,1.363,0.0,9b034f1b,1
8,9.5905,4.1784,2.7514,0.9536,0.0,9b034f1b,1
9,0.0966,0.0167,0.0147,0.2948,0.0,9b034f1b,1
1,36.1071,6.2025,4.7023,2.7928,0.0,9b034f1b,1
2,28.9714,15.3636,10.0396,2.7629,0.0,9b034f1b,1
3,18.3455,3.3191,2.4975,2.4431,0.0,9b034f1b,1
4,15.0597,7.9449,5.1744,1.497,0.0,9b034f1b,1
5,10.1515,1.9515,1.4235,1.3692,0.0,9b034f1b,1
6,10.2449,1.9764,1.4363,1.3549,0.0,9b034f1b,1
7,10.9239,1.9706,1.4235,1.4215,0.0,9b034f1b,1
8,8.6154,4.1653,2.8078,0.9273,0.0,9b034f1b,1
9,0.0998,0.0168,0.0145,0.2853,0.0,9b034f1b,1
