stage,little,medium,big,vulkan,cuda,device,run
1,35.9286,6.5752,4.6791,2.9415,0.0,9b034f1b,1
2,28.5278,15.5606,9.9709,2.806,0.0,9b034f1b,1
3,18.0,3.3158,2.4706,2.4348,0.0,9b034f1b,1
4,15.4615,7.8516,5.0758,1.5,0.0,9b034f1b,1
5,11.4432,1.9823,1.4263,1.4531,0.0,9b034f1b,1
6,10.07,1.9668,1.4243,1.3608,0.0,9b034f1b,1
7,11.3258,1.9611,1.4257,1.4441,0.0,9b034f1b,1
8,8.1545,4.1446,2.733,0.8707,0.0,9b034f1b,1
9,0.1514,0.0167,0.0123,0.3614,0.0,9b034f1b,1
1,34.6897,6.1718,4.7009,2.7562,0.0,9b034f1b,1
2,31.8125,15.4242,9.7885,3.0029,0.0,9b034f1b,1
3,18.9057,3.3179,2.4559,2.468,0.0,9b034f1b,1
4,15.7969,8.0238,5.1582,1.5045,0.0,9b034f1b,1
5,10.7234,1.9882,1.4298,1.4217,0.0,9b034f1b,1
6,10.1515,1.9591,1.4255,1.3581,0.0,9b034f1b,1
7,10.1212,1.9647,1.4274,1.3468,0.0,9b034f1b,1
8,8.7391,4.1189,2.7384,0.9246,0.0,9b034f1b,1
9,0.0847,0.017,0.0149,0.2885,0.0,9b034f1b,1
1,37.4074,6.1585,4.6759,4.9268,0.0,9b034f1b,1
2,30.6667,15.1045,9.8252,2.7879,0.0,9b034f1b,1
3,18.1429,3.3421,2.4963,2.472,0.0,9b034f1b,1
4,17.3621,7.8062,5.0603,1.6242,0.0,9b034f1b,1
5,10.4124,1.9882,1.4286,1.3612,0.0,9b034f1b,1
6,10.202,1.9727,1.4387,1.3594,0.0,9b034f1b,1
7,10.4021,1.9784,1.4353,1.3617,0.0,9b034f1b,1
8,8.2377,4.1701,2.7686,0.8732,0.0,9b034f1b,1
9,0.1231,0.0176,0.0147,0.292,0.0,9b034f1b,1
