stage,little,medium,big,vulkan,cuda,device,run
1,36.4643,6.6358,8.4454,6.0482,0.0,9b034f1b,1
2,28.0556,16.4262,18.7963,4.0524,0.0,9b034f1b,1
3,17.7193,3.5623,3.992,3.8992,0.0,9b034f1b,1
4,14.2535,8.437,9.1927,3.9762,0.0,9b034f1b,1
5,9.7864,2.1208,2.2545,2.5984,0.0,9b034f1b,1
6,9.3832,2.1319,2.2877,2.6989,0.0,9b034f1b,1
7,9.3925,2.1208,2.2802,2.5784,0.0,9b034f1b,1
8,7.375,4.4622,5.1015,2.6755,0.0,9b034f1b,1
9,0.033,0.0171,0.0336,1.0193,0.0,9b034f1b,1
1,35.3448,6.5921,9.4019,5.8372,0.0,9b034f1b,1
2,27.2432,16.2903,19.4808,3.4948,0.0,9b034f1b,1
3,17.569,3.5317,4.8829,3.2671,0.0,9b034f1b,1
4,14.0972,8.4083,10.3918,2.1735,0.0,9b034f1b,1
5,9.4623,2.1139,2.8905,2.1229,0.0,9b034f1b,1
6,9.3738,2.1116,1.7111,2.1757,0.0,9b034f1b,1
7,9.3738,2.1116,1.7053,2.1524,0.0,9b034f1b,1
8,7.1857,4.4425,3.69,2.2584,0.0,9b034f1b,1
9,0.0343,0.0168,0.033,0.8931,0.0,9b034f1b,1
1,33.3871,6.5855,9.3645,5.4457,0.0,9b034f1b,1
2,27.0,16.85,19.3846,3.6813,0.0,9b034f1b,1
3,17.431,3.5352,4.8829,3.3389,0.0,9b034f1b,1
4,14.0139,8.4202,10.07,2.2619,0.0,9b034f1b,1
5,9.3148,2.1116,2.4062,2.1478,0.0,9b034f1b,1
6,9.3611,2.1116,2.3947,2.1499,0.0,9b034f1b,1
7,9.4906,2.1116,2.86,2.2952,0.0,9b034f1b,1
8,7.1571,4.4292,5.4162,2.6421,0.0,9b034f1b,1
9,0.0341,0.0169,0.0298,0.8899,0.0,9b034f1b,1
