stage,little,medium,big,vulkan,cuda,device,run
1,4.008,0.9347,0.6378,0.5224,0.0,9b034f1b,1
2,2.7236,1.6667,1.844,31.4062,0.0,9b034f1b,1
3,0.7291,0.3386,0.6164,0.4556,0.0,9b034f1b,1
4,8.885,6.3949,4.2008,1.4657,0.0,9b034f1b,1
5,1.4444,0.2356,0.1747,0.4682,0.0,9b034f1b,1
6,0.3518,0.2486,0.5379,0.2824,0.0,9b034f1b,1
7,5.9583,1.9399,1.3329,1.2133,0.0,9b034f1b,1
1,3.4082,0.9201,0.6346,0.476,0.0,9b034f1b,1
2,2.8111,1.8136,2.0403,31.625,0.0,9b034f1b,1
3,0.6761,0.334,0.6072,0.3899,0.0,9b034f1b,1
4,8.7391,6.4013,4.1529,1.4565,0.0,9b034f1b,1
5,1.4985,0.232,0.1753,0.4801,0.0,9b034f1b,1
6,0.3445,0.2656,0.4647,0.4016,0.0,9b034f1b,1
7,6.7383,1.9382,1.3298,1.3245,0.0,9b034f1b,1
1,4.5917,0.9108,0.6233,0.5573,0.0,9b034f1b,1
2,3.0785,1.6047,2.0099,31.8438,0.0,9b034f1b,1
3,0.6647,0.3825,0.5347,0.3578,0.0,9b034f1b,1
4,8.4286,6.3481,4.1446,1.4452,0.0,9b034f1b,1
5,1.126,0.2339,0.1843,0.4147,0.0,9b034f1b,1
6,0.3542,0.3055,0.3968,0.4407,0.0,9b034f1b,1
7,5.7529,1.9287,1.3418,1.2419,0.0,9b034f1b,1
1,3.8764,0.9045,0.6283,0.5276,0.0,9b034f1b,1
2,2.6199,1.6864,2.0177,31.1212,0.0,9b034f1b,1
3,0.7084,0.4431,0.47,0.5518,0.0,9b034f1b,1
4,8.681,6.3333,4.144,1.5258,0.0,9b034f1b,1
5,1.3491,0.2348,0.1747,0.4968,0.0,9b034f1b,1
6,0.3557,0.2488,0.537,0.2664,0.0,9b034f1b,1
7,6.8095,1.9399,1.3258,1.3582,0.0,9b034f1b,1
1,3.8352,0.9018,0.6248,0.5181,0.0,9b034f1b,1
2,2.6632,1.8785,2.1294,31.875,0.0,9b034f1b,1
3,0.6935,0.335,0.6812,0.3406,0.0,9b034f1b,1
4,9.4434,6.2956,4.1535,1.5376,0.0,9b034f1b,1
5,1.3788,0.2491,0.1731,0.4717,0.0,9b034f1b,1
6,0.3504,0.4417,0.2851,0.3875,0.0,9b034f1b,1
7,6.179,1.925,1.375,1.2389,0.0,9b034f1b,1
1,3.4878,0.9158,0.6413,0.4728,0.0,9b034f1b,1
2,2.5496,1.6507,2.008,32.3226,0.0,9b034f1b,1
3,0.7289,0.4141,0.4649,0.4338,0.0,9b034f1b,1
4,8.4915,6.3019,4.1235,1.4714,0.0,9b034f1b,1
5,1.4039,0.2334,0.1731,0.5068,0.0,9b034f1b,1
6,0.3565,0.2633,0.4715,0.4013,0.0,9b034f1b,1
7,6.863,1.9232,1.345,1.3541,0.0,9b034f1b,1
1,4.175,0.906,0.6243,0.5431,0.0,9b034f1b,1
2,2.8515,1.7674,2.1208,30.8485,0.0,9b034f1b,1
3,0.702,0.358,0.6081,0.5112,0.0,9b034f1b,1
4,9.3738,6.3082,4.1276,1.5383,0.0,9b034f1b,1
5,1.5259,0.2335,0.1749,0.5066,0.0,9b034f1b,1
6,0.363,0.2523,0.5008,0.2631,0.0,9b034f1b,1
7,5.929,1.9269,1.3378,1.2401,0.0,9b034f1b,1
