stage,little,medium,big,vulkan,cuda,device,run
1,3.4757,0.9251,0.64,0.476,0.0,9b034f1b,1
2,2.3853,1.617,2.0343,31.5312,0.0,9b034f1b,1
3,0.7321,0.5187,0.4535,0.5435,0.0,9b034f1b,1
4,9.767,6.2875,4.157,1.5597,0.0,9b034f1b,1
5,1.0526,0.239,0.1884,0.3851,0.0,9b034f1b,1
6,0.3482,0.3115,0.3851,0.455,0.0,9b034f1b,1
7,6.0,1.8941,1.3342,1.2401,0.0,9b034f1b,1
1,4.6605,0.9356,0.6212,0.556,0.0,9b034f1b,1
2,3.1656,1.9785,2.1326,30.697,0.0,9b034f1b,1
3,0.7189,0.3682,0.6333,0.3303,0.0,9b034f1b,1
4,9.2477,6.2609,4.2,1.5508,0.0,9b034f1b,1
5,1.0581,0.2373,0.1884,0.3859,0.0,9b034f1b,1
6,0.3663,0.3551,0.3497,0.4342,0.0,9b034f1b,1
7,6.0482,1.8731,1.3405,1.238,0.0,9b034f1b,1
1,3.5371,0.9092,0.6288,0.5173,0.0,9b034f1b,1
2,3.9724,2.184,2.1606,32.5484,0.0,9b034f1b,1
3,0.7196,0.3671,0.4717,0.3365,0.0,9b034f1b,1
4,8.6724,6.2875,4.1399,1.4643,0.0,9b034f1b,1
5,1.4403,0.232,0.1753,0.4715,0.0,9b034f1b,1
6,0.3465,0.2533,0.444,0.265,0.0,9b034f1b,1
7,6.4295,1.8818,1.3499,1.2322,0.0,9b034f1b,1
1,3.7212,0.9452,0.6331,0.4776,0.0,9b034f1b,1
2,3.1429,1.8201,2.02,32.6452,0.0,9b034f1b,1
3,0.7377,0.3742,0.4968,0.3295,0.0,9b034f1b,1
4,9.4717,6.3544,4.166,1.5422,0.0,9b034f1b,1
5,1.1122,0.237,0.189,0.3913,0.0,9b034f1b,1
6,0.3497,0.2553,0.4831,0.292,0.0,9b034f1b,1
7,6.5921,1.8906,1.3219,1.3219,0.0,9b034f1b,1
1,3.4164,0.9243,0.6408,0.4808,0.0,9b034f1b,1
2,3.0269,1.9241,1.8436,32.7097,0.0,9b034f1b,1
3,0.7022,0.5952,0.3967,0.5672,0.0,9b034f1b,1
4,8.7391,6.2812,4.1358,1.5181,0.0,9b034f1b,1
5,1.2933,0.2345,0.176,0.4481,0.0,9b034f1b,1
6,0.356,0.2703,0.4369,0.3339,0.0,9b034f1b,1
7,5.8596,1.8729,1.3396,1.2355,0.0,9b034f1b,1
1,3.5193,0.9185,0.638,0.4778,0.0,9b034f1b,1
2,3.1577,1.8745,2.2698,32.2903,0.0,9b034f1b,1
3,0.7387,0.4162,0.4497,0.3808,0.0,9b034f1b,1
4,8.9732,6.2422,4.1529,1.5181,0.0,9b034f1b,1
5,1.321,0.2365,0.1843,0.4658,0.0,9b034f1b,1
6,0.3419,0.2541,0.5359,0.2709,0.0,9b034f1b,1
7,6.5987,1.8678,1.3356,1.3499,0.0,9b034f1b,1
