stage,little,medium,big,vulkan,cuda,device,run
1,2.6676,0.9497,1.2376,1.9705,0.0,9b034f1b,1
2,1.5632,0.8945,3.0895,43.8696,0.0,9b034f1b,1
3,0.7167,0.3671,0.6718,0.2215,0.0,9b034f1b,1
4,8.7217,6.8904,8.187,2.7432,0.0,9b034f1b,1
5,0.7096,0.3202,0.307,1.1309,0.0,9b034f1b,1
6,0.3541,0.2759,0.544,0.1887,0.0,9b034f1b,1
7,4.1276,2.2,2.0832,2.3744,0.0,9b034f1b,1
1,2.6622,0.9175,1.1874,1.6177,0.0,9b034f1b,1
2,1.5439,0.8614,2.7883,42.875,0.0,9b034f1b,1
3,0.6761,0.3643,0.3778,0.2186,0.0,9b034f1b,1
4,8.2377,6.9041,7.6212,2.5392,0.0,9b034f1b,1
5,0.7037,0.237,0.3231,0.998,0.0,9b034f1b,1
6,0.3487,0.2777,0.5277,0.1883,0.0,9b034f1b,1
7,4.1405,2.2906,1.994,2.1027,0.0,9b034f1b,1
1,2.6162,0.9217,1.164,1.6606,0.0,9b034f1b,1
2,1.5511,0.8644,2.7911,43.0833,0.0,9b034f1b,1
3,0.6709,0.3647,0.6702,0.2185,0.0,9b034f1b,1
4,8.2213,6.8299,8.2131,2.495,0.0,9b034f1b,1
5,0.7007,0.2366,0.3289,1.2616,0.0,9b034f1b,1
6,0.3489,0.3259,0.4675,0.1878,0.0,9b034f1b,1
7,4.0854,2.0597,2.2244,2.0875,0.0,9b034f1b,1
1,2.6491,0.9217,1.0081,1.7993,0.0,9b034f1b,1
2,1.5632,0.8773,1.9666,42.625,0.0,9b034f1b,1
3,0.6773,0.3639,0.3405,0.2183,0.0,9b034f1b,1
4,8.2541,6.8503,7.8125,2.4019,0.0,9b034f1b,1
5,0.7119,0.2364,0.3148,1.0101,0.0,9b034f1b,1
6,0.3537,0.2746,0.4675,0.1875,0.0,9b034f1b,1
7,4.0813,2.0597,2.1878,2.1027,0.0,9b034f1b,1
1,2.6325,0.9728,1.1012,1.7413,0.0,9b034f1b,1
2,1.5575,0.8592,2.4963,42.7917,0.0,9b034f1b,1
3,0.6786,0.3659,0.6127,0.2193,0.0,9b034f1b,1
4,8.1707,6.9041,7.7231,2.2692,0.0,9b034f1b,1
5,0.7081,0.2393,0.3119,1.2855,0.0,9b034f1b,1
6,0.3478,0.2763,0.4619,0.1867,0.0,9b034f1b,1
7,4.4888,2.1029,2.2048,2.0407,0.0,9b034f1b,1
1,2.6368,0.9209,1.1375,1.6074,0.0,9b034f1b,1
2,1.5559,0.8614,2.6162,43.0417,0.0,9b034f1b,1
3,0.6782,0.3802,0.672,0.2196,0.0,9b034f1b,1
4,8.2893,6.8435,8.2213,2.5482,0.0,9b034f1b,1
5,0.7207,0.2373,0.3128,1.1297,0.0,9b034f1b,1
6,0.3488,0.2827,0.5294,0.1875,0.0,9b034f1b,1
7,4.1189,2.0702,2.5561,2.1641,0.0,9b034f1b,1
