stage,little,medium,big,vulkan,cuda,device,run
1,168.4667,67.3867,45.125,0.8243,0.0,9b034f1b,1
2,11.2197,3.9683,2.4675,0.3698,0.0,9b034f1b,1
3,467.0,177.1379,109.2979,0.6004,0.0,9b034f1b,1
4,6.0084,1.9543,1.255,0.2976,0.0,9b034f1b,1
5,405.4615,181.7586,109.8125,0.5719,0.0,9b034f1b,1
6,761.7143,355.4667,213.28,0.9289,0.0,9b034f1b,1
7,745.2857,347.8,208.68,0.8669,0.0,9b034f1b,1
8,3.3564,0.9766,0.6258,0.2642,0.0,9b034f1b,1
9,1.1789,0.7297,0.4621,1.411,0.0,9b034f1b,1
1,170.8667,68.3467,44.5739,0.8364,0.0,9b034f1b,2
2,12.0578,3.9526,2.6903,0.3875,0.0,9b034f1b,2
3,426.4167,176.4483,119.0,0.5806,0.0,9b034f1b,2
4,8.9021,1.9551,1.2467,0.3643,0.0,9b034f1b,2
5,436.25,180.5172,106.8367,0.6233,0.0,9b034f1b,2
6,748.1429,349.1333,218.2083,0.8612,0.0,9b034f1b,2
7,751.0,350.4667,210.28,0.8614,0.0,9b034f1b,2
8,3.3148,0.9745,0.6282,0.2629,0.0,9b034f1b,2
9,1.1839,0.7284,0.4656,1.4118,0.0,9b034f1b,2
1,164.9355,68.1733,45.2478,0.8327,0.0,9b034f1b,3
2,11.719,3.9247,2.4578,0.3699,0.0,9b034f1b,3
3,432.3333,178.8966,110.383,0.564,0.0,9b034f1b,3
4,6.0338,2.0008,1.2908,0.2975,0.0,9b034f1b,3
5,429.5833,177.7586,105.2041,0.6018,0.0,9b034f1b,3
6,744.7143,347.5333,208.52,0.8515,0.0,9b034f1b,3
7,750.4286,350.2,210.12,0.8599,0.0,9b034f1b,3
8,4.5815,0.9745,0.622,0.3093,0.0,9b034f1b,3
9,1.1717,0.7279,0.4664,1.4114,0.0,9b034f1b,3
