stage,little,medium,big,vulkan,cuda,device,run
1,37.7368,6.8659,5.019,2.6305,0.0,9b034f1b,1
2,30.018,15.0994,9.791,2.1872,0.0,9b034f1b,1
3,18.7341,3.5176,2.446,2.4048,0.0,9b034f1b,1
4,15.234,7.7826,5.1723,1.4815,0.0,9b034f1b,1
5,10.1582,2.0754,1.4171,1.3383,0.0,9b034f1b,1
6,9.9483,2.0729,1.418,1.3408,0.0,9b034f1b,1
7,10.1501,2.0999,1.4172,1.338,0.0,9b034f1b,1
8,8.4435,4.2979,2.7406,0.8729,0.0,9b034f1b,1
9,0.0939,0.0166,0.0146,0.2862,0.0,9b034f1b,1
1,35.4366,6.6561,4.6421,3.9653,0.0,9b034f1b,2
2,28.8851,15.2303,9.7973,2.4002,0.0,9b034f1b,2
3,18.2883,3.5165,2.4456,2.4149,0.0,9b034f1b,2
4,15.3558,7.7975,5.1134,1.4819,0.0,9b034f1b,2
5,10.5189,2.0682,1.4164,1.3373,0.0,9b034f1b,2
6,10.3347,2.0868,1.4134,1.3374,0.0,9b034f1b,2
7,10.4593,2.141,1.4177,1.3428,0.0,9b034f1b,2
8,8.7178,4.1527,2.7419,0.8657,0.0,9b034f1b,2
9,0.1328,0.017,0.0129,0.3545,0.0,9b034f1b,2
1,36.442,6.8051,4.6695,2.4424,0.0,9b034f1b,3
2,31.7911,15.2212,9.849,2.8686,0.0,9b034f1b,3
3,18.5519,3.5225,2.4494,2.4093,0.0,9b034f1b,3
4,15.231,7.8297,5.0977,1.4808,0.0,9b034f1b,3
5,10.2643,2.0733,1.4234,1.3389,0.0,9b034f1b,3
6,10.2184,2.0836,1.4132,1.3388,0.0,9b034f1b,3
7,10.5305,2.0764,1.4234,1.3396,0.0,9b034f1b,3
8,8.991,4.3322,2.8915,0.8713,0.0,9b034f1b,3
9,0.1241,0.0181,0.0134,0.3468,0.0,9b034f1b,3
