stage,little,medium,big,vulkan,cuda,device,run
1,33.1854,7.1486,7.0253,5.3785,0.0,9b034f1b,1
2,27.0811,16.1677,19.0608,3.6545,0.0,9b034f1b,1
3,17.3114,3.7973,2.8632,3.3302,0.0,9b034f1b,1
4,14.0,8.3506,8.8392,2.2602,0.0,9b034f1b,1
5,9.3727,2.234,1.7622,2.15,0.0,9b034f1b,1
6,9.406,2.238,1.7103,2.15,0.0,9b034f1b,1
7,9.3433,2.2335,2.6527,2.1662,0.0,9b034f1b,1
8,7.3372,4.3942,4.7684,2.3407,0.0,9b034f1b,1
9,0.0332,0.0167,0.0138,0.857,0.0,9b034f1b,1
1,33.1258,7.1443,6.4293,5.4284,0.0,9b034f1b,2
2,32.7908,16.1323,20.6543,3.6511,0.0,9b034f1b,2
3,20.8299,3.7967,5.3759,3.328,0.0,9b034f1b,2
4,16.8687,8.3662,10.6404,2.3628,0.0,9b034f1b,2
5,11.2152,2.237,1.9901,2.1542,0.0,9b034f1b,2
6,9.3123,2.2356,2.8572,2.1537,0.0,9b034f1b,2
7,9.334,2.2336,1.7694,2.1611,0.0,9b034f1b,2
8,7.3143,4.4139,5.3633,2.3092,0.0,9b034f1b,2
9,0.0306,0.0155,0.0409,0.8372,0.0,9b034f1b,2
1,35.2606,7.15,6.4916,5.3781,0.0,9b034f1b,3
2,32.8693,16.2071,11.1381,3.6598,0.0,9b034f1b,3
3,20.6736,3.7959,5.2244,3.3265,0.0,9b034f1b,3
4,17.0819,8.335,9.4453,2.5422,0.0,9b034f1b,3
5,11.2494,2.2365,4.7287,2.1597,0.0,9b034f1b,3
6,11.2036,2.235,1.983,2.1528,0.0,9b034f1b,3
7,11.2265,2.2385,1.8865,2.1685,0.0,9b034f1b,3
8,8.8325,4.4187,5.7517,2.3296,0.0,9b034f1b,3
9,0.0339,0.017,0.0427,0.8551,0.0,9b034f1b,3
1,33.1325,7.1514,6.3883,5.3666,0.0,9b034f1b,1
2,27.0919,16.1581,11.2404,3.6625,0.0,9b034f1b,1
3,17.1781,3.7945,4.6153,3.322,0.0,9b034f1b,1
4,13.9359,8.3433,8.8236,2.2587,0.0,9b034f1b,1
5,9.3123,2.234,1.9433,2.1262,0.0,9b034f1b,1
6,9.3203,2.234,2.6564,2.1285,0.0,9b034f1b,1
7,9.334,2.2339,2.6129,2.1472,0.0,9b034f1b,1
8,7.3202,4.3993,4.7648,2.3313,0.0,9b034f1b,1
9,0.0307,0.0172,0.0345,0.818,0.0,9b034f1b,1
1,33.3179,7.1602,6.7581,5.3738,0.0,9b034f1b,2
2,27.0703,16.1742,19.0418,3.6405,0.0,9b034f1b,2
3,17.3391,3.7915,4.6496,3.2508,0.0,9b034f1b,2
4,14.2536,8.3606,5.0709,2.2501,0.0,9b034f1b,2
5,9.3123,2.232,1.8647,2.1421,0.0,9b034f1b,2
6,9.3451,2.234,2.6516,2.1266,0.0,9b034f1b,2
7,9.3203,2.233,1.7719,2.1412,0.0,9b034f1b,2
8,7.325,4.4118,4.709,2.3247,0.0,9b034f1b,2
9,0.0328,0.0168,0.0316,0.8553,0.0,9b034f1b,2
1,34.2109,7.1545,8.9803,5.4002,0.0,9b034f1b,3
2,32.8497,16.1839,20.7314,3.6606,0.0,9b034f1b,3
3,21.0588,3.7945,5.1663,3.2334,0.0,9b034f1b,3
4,16.8389,8.3943,9.6455,2.4469,0.0,9b034f1b,3
5,11.2013,2.2336,2.7388,2.1088,0.0,9b034f1b,3
6,9.3489,2.3014,2.7478,2.1593,0.0,9b034f1b,3
7,9.3727,2.236,2.7363,2.1729,0.0,9b034f1b,3
8,7.3003,4.4187,5.3555,2.3219,0.0,9b034f1b,3
9,0.0307,0.0167,0.0166,0.8602,0.0,9b034f1b,3
