stage,little,medium,big,vulkan,cuda,device,run
1,37.7368,6.8659,5.019,2.6305,0.0,9b034f1b,1
2,30.018,15.0994,9.791,2.1872,0.0,9b034f1b,1
3,18.7341,3.5176,2.446,2.4048,0.0,9b034f1b,1
4,15.234,7.7826,5.1723,1.4815,0.0,9b034f1b,1
5,10.1582,2.0754,1.4171,1.3383,0.0,9b034f1b,1
6,9.9483,2.0729,1.418,1.3408,0.0,9b034f1b,1
7,10.1501,2.0999,1.4172,1.338,0.0,9b034f1b,1
8,8.4435,4.2979,2.7406,0.8729,0.0,9b034f1b,1
9,0.0939,0.0166,0.0146,0.2862,0.0,9b034f1b,1
1,35.4366,6.6561,4.6421,3.9653,0.0,9b034f1b,2
2,28.8851,15.2303,9.7973,2.4002,0.0,9b034f1b,2
3,18.2883,3.5165,2.4456,2.4149,0.0,9b034f1b,2
4,15.3558,7.7975,5.1134,1.4819,0.0,9b034f1b,2
5,10.5189,2.0682,1.4164,1.3373,0.0,9b034f1b,2
6,10.3347,2.0868,1.4134,1.3374,0.0,9b034f1b,2
7,10.4593,2.141,1.4177,1.3428,0.0,9b034f1b,2
8,8.7178,4.1527,2.7419,0.8657,0.0,9b034f1b,2
9,0.1328,0.017,0.0129,0.3545,0.0,9b034f1b,2
1,36.442,6.8051,4.6695,2.4424,0.0,9b034f1b,3
2,31.7911,15.2212,9.849,2.8686,0.0,9b034f1b,3
3,18.5519,3.5225,2.4494,2.4093,0.0,9b034f1b,3
4,15.231,7.8297,5.0977,1.4808,0.0,9b034f1b,3
5,10.2643,2.0733,1.4234,1.3389,0.0,9b034f1b,3
6,10.2184,2.0836,1.4132,1.3388,0.0,9b034f1b,3
7,10.5305,2.0764,1.4234,1.3396,0.0,9b034f1b,3
8,8.991,4.3322,2.8915,0.8713,0.0,9b034f1b,3
9,0.1241,0.0181,0.0134,0.3468,0.0,9b034f1b,3
1,168.4667,67.3867,45.125,0.8243,0.0,9b034f1b,1
2,11.2197,3.9683,2.4675,0.3698,0.0,9b034f1b,1
3,467.0,177.1379,109.2979,0.6004,0.0,9b034f1b,1
4,6.0084,1.9543,1.255,0.2976,0.0,9b034f1b,1
5,405.4615,181.7586,109.8125,0.5719,0.0,9b034f1b,1
6,761.7143,355.4667,213.28,0.9289,0.0,9b034f1b,1
7,745.2857,347.8,208.68,0.8669,0.0,9b034f1b,1
8,3.3564,0.9766,0.6258,0.2642,0.0,9b034f1b,1
9,1.1789,0.7297,0.4621,1.411,0.0,9b034f1b,1
1,170.8667,68.3467,44.5739,0.8364,0.0,9b034f1b,2
2,12.0578,3.9526,2.6903,0.3875,0.0,9b034f1b,2
3,426.4167,176.4483,119.0,0.5806,0.0,9b034f1b,2
4,8.9021,1.9551,1.2467,0.3643,0.0,9b034f1b,2
5,436.25,180.5172,106.8367,0.6233,0.0,9b034f1b,2
6,748.1429,349.1333,218.2083,0.8612,0.0,9b034f1b,2
7,751.0,350.4667,210.28,0.8614,0.0,9b034f1b,2
8,3.3148,0.9745,0.6282,0.2629,0.0,9b034f1b,2
9,1.1839,0.7284,0.4656,1.4118,0.0,9b034f1b,2
1,164.9355,68.1733,45.2478,0.8327,0.0,9b034f1b,3
2,11.719,3.9247,2.4578,0.3699,0.0,9b034f1b,3
3,432.3333,178.8966,110.383,0.564,0.0,9b034f1b,3
4,6.0338,2.0008,1.2908,0.2975,0.0,9b034f1b,3
5,429.5833,177.7586,105.2041,0.6018,0.0,9b034f1b,3
6,744.7143,347.5333,208.52,0.8515,0.0,9b034f1b,3
7,750.4286,350.2,210.12,0.8599,0.0,9b034f1b,3
8,4.5815,0.9745,0.622,0.3093,0.0,9b034f1b,3
9,1.1717,0.7279,0.4664,1.4114,0.0,9b034f1b,3
